name	charge
type	item
health  25
shadow	5
alpha   5
nolife  1
offscreenkill 	30000









anim	idle
	loop	1
	delay	6
	offset	30 73
	bbox	13 40 31 35
	frame	data/chars/misc/food/charge01.gif
	frame	data/chars/misc/food/charge02.gif
	frame	data/chars/misc/food/charge03.gif
	frame	data/chars/misc/food/charge04.gif
	frame	data/chars/misc/food/charge05.gif
	frame	data/chars/misc/food/charge06.gif
	frame	data/chars/misc/food/charge07.gif
	frame	data/chars/misc/food/charge08.gif
	frame	data/chars/misc/food/charge09.gif
	frame	data/chars/misc/food/charge10.gif
	frame	data/chars/misc/food/charge11.gif
	frame	data/chars/misc/food/charge12.gif
	frame	data/chars/misc/food/charge13.gif
	frame	data/chars/misc/food/charge14.gif
	frame	data/chars/misc/food/charge15.gif
	frame	data/chars/misc/food/charge16.gif
		
anim	spawn
	loop	0
	delay	7
	offset	30 73
	jumpframe	0 3 0 0 0.5
	landframe	2
	bbox	0 0 0 0
	frame	data/chars/misc/food/charge00.gif
	delay	100
	frame	data/chars/misc/food/charge00.gif
	delay	10
	frame	data/chars/misc/food/charge00.gif
	frame	data/chars/misc/food/charge00.gif
		
#|edited by openBor Stats v 0.53
		
