name	fluid
health  70
type	item
nolife  1
shadow	4
offscreenkill 	30000



anim	idle
	loop	1
	delay	11
	offset	26 31
	bbox	11 12 30 20
	frame	data/chars/misc/food/fluid01.gif
	frame	data/chars/misc/food/fluid02.gif
	frame	data/chars/misc/food/fluid03.gif
	frame	data/chars/misc/food/fluid04.gif
	delay	4
	frame	data/chars/misc/food/fluid05.gif
		
anim	spawn
	loop	0
	delay	10
	offset	26 31
	bbox	0 0 0 0
	jumpframe	0 3 0 0 0.5
	landframe	2
	frame	data/chars/misc/food/fluid01.gif
	delay	100
	frame	data/chars/misc/food/fluid01.gif
	delay	10
	frame	data/chars/misc/food/fluid01.gif
	frame	data/chars/misc/food/fluid01.gif
		
#|edited by openBor Stats v 0.53
		
