name	apple2
health	10
type	item
nolife  1
offscreenkill 	30000
candamage player


anim	idle
	loop	1
	delay	4
	offset	25 20
	bbox	10 5 30 20
	frame	data/chars/misc/food/redapple02.gif
	delay	30
	frame	data/chars/misc/food/redapple01.gif
		
anim	spawn
	loop	0
	delay	4
	offset	27 16
	bbox	0 0 0 0
	jumpframe	1 3 0 0 1
	frame	data/chars/misc/food/redapple01.gif
	frame	data/chars/misc/food/redapple02.gif
	frame	data/chars/misc/food/redapple01.gif
	frame	data/chars/misc/food/redapple02.gif
		
#|edited by openBor Stats v 0.53
		
