name	   Time
health	   0
type	   item
shadow	   0
facing     1


anim	idle
	loop	1
	delay	5
	offset	35 50
	itembox	18 30 33 33
	flipframe	16
	jumpframe	11 3 0 0 1
	move	3
	movez	-4
	frame	data/chars/misc/food/clock01.gif
	frame	data/chars/misc/food/clock02.gif
	frame	data/chars/misc/food/clock03.gif
	frame	data/chars/misc/food/clock04.gif

	frame	data/chars/misc/food/clock01.gif
	frame	data/chars/misc/food/clock02.gif
	frame	data/chars/misc/food/clock03.gif
	frame	data/chars/misc/food/clock04.gif


	frame	data/chars/misc/food/clock01.gif
	frame	data/chars/misc/food/clock02.gif
	frame	data/chars/misc/food/clock03.gif
	frame	data/chars/misc/food/clock04.gif


	frame	data/chars/misc/food/clock01.gif
	frame	data/chars/misc/food/clock02.gif
	frame	data/chars/misc/food/clock03.gif
	frame	data/chars/misc/food/clock04.gif
	movez	0
	move	0

	move	-3
	movez	4
	frame	data/chars/misc/food/clock01.gif
	frame	data/chars/misc/food/clock02.gif
	frame	data/chars/misc/food/clock03.gif
	frame	data/chars/misc/food/clock04.gif

	frame	data/chars/misc/food/clock01.gif
	frame	data/chars/misc/food/clock02.gif
	frame	data/chars/misc/food/clock03.gif
	frame	data/chars/misc/food/clock04.gif

	frame	data/chars/misc/food/clock01.gif
	frame	data/chars/misc/food/clock02.gif
	frame	data/chars/misc/food/clock03.gif
	frame	data/chars/misc/food/clock04.gif

	frame	data/chars/misc/food/clock01.gif
	frame	data/chars/misc/food/clock02.gif
	frame	data/chars/misc/food/clock03.gif
	frame	data/chars/misc/food/clock04.gif


		
anim	spawn
	loop	0
	delay	12
	offset	25 35
	bbox	0 0 0 0
	jumpframe	1 4 0 0
	frame	data/chars/misc/food/clock01.gif
	frame	data/chars/misc/food/clock02.gif
	frame	data/chars/misc/food/clock03.gif
	frame	data/chars/misc/food/clock04.gif
