name	 rmbyotlk4
type	 text
#subtype  noskip
facing   1
lifespan 800
setlayer	999999998




anim	idle
	loop	0
	delay	7
	offset	1 1
	frame	data/bgs/beyond/0start/text/byor01.gif
	sound   data/sounds/blink.wav
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	delay	100
	frame	data/bgs/beyond/0start/text/byor01.gif
	delay	10
	frame	data/bgs/beyond/0start/text/byor03.gif
	sound	data/sounds/super2.wav
	frame	data/bgs/beyond/0start/text/byor04.gif
	frame	data/bgs/beyond/0start/text/byor05.gif
	frame	data/bgs/beyond/0start/text/byor06.gif
	frame	data/bgs/beyond/0start/text/byor07.gif
	frame	data/bgs/beyond/0start/text/byor08.gif
	frame	data/bgs/beyond/0start/text/byor09.gif
	delay	55
	frame	data/bgs/beyond/0start/text/byor10.gif
	delay	500
	frame	data/bgs/beyond/0start/text/byor11.gif
	delay	30
	frame	data/bgs/beyond/0start/text/byor11.gif
	frame	data/bgs/beyond/0start/text/byor11.gif
	delay	850
	frame	data/bgs/beyond/0start/text/byor12.gif
	delay	30
	frame	data/bgs/beyond/0start/text/byor12.gif
	frame	data/bgs/beyond/0start/text/byor12.gif
	delay	10
	frame	data/bgs/beyond/0start/text/byor09.gif
	sound	data/sounds/super2.wav
	frame	data/bgs/beyond/0start/text/byor08.gif
	frame	data/bgs/beyond/0start/text/byor07.gif
	frame	data/bgs/beyond/0start/text/byor06.gif
	frame	data/bgs/beyond/0start/text/byor05.gif
	frame	data/bgs/beyond/0start/text/byor04.gif
	frame	data/bgs/beyond/0start/text/byor03.gif
	delay	6
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/emp.gif










		
