name	marya
type	none
lifespan  20
gfxshadow	1
subject_to_wall 0
offscreenkill 	350


alternatepal       data/chars/misc/runpeople/marya/map1.gif
alternatepal       data/chars/misc/runpeople/marya/map2.gif
alternatepal       data/chars/misc/runpeople/marya/map3.gif
alternatepal       data/chars/misc/runpeople/marya/map4.gif


anim	idle
	loop	1
	delay	4
	offset	45 105
	move	-5
	frame	data/chars/misc/runpeople/marya/marya03.gif
	frame	data/chars/misc/runpeople/marya/marya03.gif
	frame	data/chars/misc/runpeople/marya/marya04.gif
	frame	data/chars/misc/runpeople/marya/marya04.gif
	frame	data/chars/misc/runpeople/marya/marya05.gif
	frame	data/chars/misc/runpeople/marya/marya05.gif
	frame	data/chars/misc/runpeople/marya/marya06.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/marya/marya06.gif
	frame	data/chars/misc/runpeople/marya/marya07.gif
	sound	data/sounds/eek.wav
	frame	data/chars/misc/runpeople/marya/marya07.gif
	frame	data/chars/misc/runpeople/marya/marya08.gif
	frame	data/chars/misc/runpeople/marya/marya08.gif
	frame	data/chars/misc/runpeople/marya/marya09.gif
	frame	data/chars/misc/runpeople/marya/marya09.gif
	frame	data/chars/misc/runpeople/marya/marya10.gif
	frame	data/chars/misc/runpeople/marya/marya10.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/marya/marya03.gif
	frame	data/chars/misc/runpeople/marya/marya03.gif
	frame	data/chars/misc/runpeople/marya/marya04.gif
	frame	data/chars/misc/runpeople/marya/marya04.gif
	frame	data/chars/misc/runpeople/marya/marya05.gif
	frame	data/chars/misc/runpeople/marya/marya05.gif
	frame	data/chars/misc/runpeople/marya/marya06.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/marya/marya06.gif
	frame	data/chars/misc/runpeople/marya/marya07.gif
	frame	data/chars/misc/runpeople/marya/marya07.gif
	frame	data/chars/misc/runpeople/marya/marya08.gif
	frame	data/chars/misc/runpeople/marya/marya08.gif
	frame	data/chars/misc/runpeople/marya/marya09.gif
	frame	data/chars/misc/runpeople/marya/marya09.gif
	frame	data/chars/misc/runpeople/marya/marya10.gif
	frame	data/chars/misc/runpeople/marya/marya10.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/marya/marya03.gif
	frame	data/chars/misc/runpeople/marya/marya03.gif
	frame	data/chars/misc/runpeople/marya/marya04.gif
	frame	data/chars/misc/runpeople/marya/marya04.gif
	frame	data/chars/misc/runpeople/marya/marya05.gif
	frame	data/chars/misc/runpeople/marya/marya05.gif
	frame	data/chars/misc/runpeople/marya/marya06.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/marya/marya06.gif
	frame	data/chars/misc/runpeople/marya/marya07.gif
	sound	data/sounds/eek.wav
	frame	data/chars/misc/runpeople/marya/marya07.gif
	frame	data/chars/misc/runpeople/marya/marya08.gif
	frame	data/chars/misc/runpeople/marya/marya08.gif
	frame	data/chars/misc/runpeople/marya/marya09.gif
	frame	data/chars/misc/runpeople/marya/marya09.gif
	frame	data/chars/misc/runpeople/marya/marya10.gif
	frame	data/chars/misc/runpeople/marya/marya10.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/marya/marya03.gif
	frame	data/chars/misc/runpeople/marya/marya03.gif
	frame	data/chars/misc/runpeople/marya/marya04.gif
	frame	data/chars/misc/runpeople/marya/marya04.gif
	frame	data/chars/misc/runpeople/marya/marya05.gif
	frame	data/chars/misc/runpeople/marya/marya05.gif
	frame	data/chars/misc/runpeople/marya/marya06.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/marya/marya06.gif
	frame	data/chars/misc/runpeople/marya/marya07.gif
	sound	data/sounds/eek.wav
	frame	data/chars/misc/runpeople/marya/marya07.gif
	frame	data/chars/misc/runpeople/marya/marya08.gif
	frame	data/chars/misc/runpeople/marya/marya08.gif
	frame	data/chars/misc/runpeople/marya/marya09.gif
	frame	data/chars/misc/runpeople/marya/marya09.gif
	frame	data/chars/misc/runpeople/marya/marya10.gif
	frame	data/chars/misc/runpeople/marya/marya10.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/marya/marya03.gif
	frame	data/chars/misc/runpeople/marya/marya03.gif
	frame	data/chars/misc/runpeople/marya/marya04.gif
	frame	data/chars/misc/runpeople/marya/marya04.gif
	frame	data/chars/misc/runpeople/marya/marya05.gif
	frame	data/chars/misc/runpeople/marya/marya05.gif
	frame	data/chars/misc/runpeople/marya/marya06.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/marya/marya06.gif
	frame	data/chars/misc/runpeople/marya/marya07.gif
	frame	data/chars/misc/runpeople/marya/marya07.gif
	frame	data/chars/misc/runpeople/marya/marya08.gif
	frame	data/chars/misc/runpeople/marya/marya08.gif
	frame	data/chars/misc/runpeople/marya/marya09.gif
	frame	data/chars/misc/runpeople/marya/marya09.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/marya/marya10.gif
	frame	data/chars/misc/runpeople/marya/marya10.gif
	move	0
	delay	20
	frame	data/chars/misc/runpeople/marya/marya02.gif
	delay	100
	frame	data/chars/misc/runpeople/marya/marya01.gif
	delay	20
	frame	data/chars/misc/runpeople/marya/marya02.gif


	
		
#|edited by openBor Stats v 0.53
		
