name	stppl1
type	none
setlayer 10
offscreenkill 	1600
hostile	player

animationscript data/scripts/escript.c

load	allsmtlk	



anim	idle
	loop	1
	delay	17
	offset	35 10
	frame	data/chars/misc/runpeople/ppl2/b1.gif
	@cmd	attack1 -30 30 88 "ANI_FOLLOW1"
	frame	data/chars/misc/runpeople/ppl2/b2.gif
	@cmd	attack1 -30 30 88 "ANI_FOLLOW1"
	frame	data/chars/misc/runpeople/ppl2/b3.gif
	@cmd	attack1 -30 30 88 "ANI_FOLLOW1"
	frame	data/chars/misc/runpeople/ppl2/b2.gif


anim	follow1
	loop	0
	delay	17
	offset	35 10
	frame	data/chars/misc/runpeople/ppl2/b1.gif
	@cmd	spawnbind "allsmtlk" 5 10 15 
	frame	data/chars/misc/runpeople/ppl2/b2.gif
	frame	data/chars/misc/runpeople/ppl2/b3.gif
	frame	data/chars/misc/runpeople/ppl2/b2.gif
	frame	data/chars/misc/runpeople/ppl2/b1.gif
	frame	data/chars/misc/runpeople/ppl2/b2.gif
	frame	data/chars/misc/runpeople/ppl2/b3.gif
	@cmd	looper 3 10
	frame	data/chars/misc/runpeople/ppl2/b2.gif
	frame	data/chars/misc/runpeople/ppl2/b1.gif
	frame	data/chars/misc/runpeople/ppl2/b2.gif
	frame	data/chars/misc/runpeople/ppl2/b3.gif
	frame	data/chars/misc/runpeople/ppl2/b2.gif
	frame	data/chars/misc/runpeople/ppl2/b1.gif
	frame	data/chars/misc/runpeople/ppl2/b2.gif
	frame	data/chars/misc/runpeople/ppl2/b3.gif
	frame	data/chars/misc/runpeople/ppl2/b2.gif
	@cmd	beidle
	frame	data/chars/misc/runpeople/ppl2/b3.gif


		
#|edited by openBor Stats v 0.53
		
