name		MBvan1
type		enemy
health		600
mp		100
speedf		1.5
jumpheight	0
nolife          1
noquake		1
falldie		1
nodieblink	2
makeinv		3
gfxshadow	1
nodrop		1
facing          3
nomove          0 1
antigrab	10
KOMap		3 0
aggression      15
nopain		1
hostile				player obstacle
candamage			player obstacle
diesound        data/sounds/die1.wav
animationscript data/scripts/escript.c

load	explosion1
load	explosion2
load	explosion3
load	cardam2

alternatepal       data/chars/2car2/map1.gif
alternatepal       data/chars/2car2/map2.gif
alternatepal       data/chars/2car2/map3.gif
alternatepal       data/chars/2car2/map4.gif





anim	attack1
	range	20 260
	loop	0
	delay	8
	offset	210 230
	bbox	75 110 290 110
	#platform	65 225 25 25 290 290 15 80
	frame	data/chars/2car2/zvanatck01.gif
	frame	data/chars/2car2/zvanatck02.gif
	frame	data/chars/2car2/zvanatck03.gif
	frame	data/chars/2car2/zvanatck04.gif
	frame	data/chars/2car2/zvanatck05.gif
	frame	data/chars/2car2/zvanatck06.gif
	sound	data/sounds/fire.wav
	frame	data/chars/2car2/zvanatck07.gif
	forcedirection 2
	attack	230 130 245 35 6 1 0 0 11 0
	frame	data/chars/2car2/zvanatck08.gif
	attack	0 0 0 0
	frame	data/chars/2car2/zvanatck05.gif
	frame	data/chars/2car2/zvanatck06.gif
	sound	data/sounds/fire.wav
	frame	data/chars/2car2/zvanatck07.gif
	frame	data/chars/2car2/zvanatck08.gif
	frame	data/chars/2car2/zvanatck05.gif
	frame	data/chars/2car2/zvanatck12.gif
	sound	data/sounds/fire.wav
	frame	data/chars/2car2/zvanatck13.gif
	attack	145 130 330 35 4 1 0 0 11 0
	frame	data/chars/2car2/zvanatck14.gif
	attack	0 0 0 0
	sound	data/sounds/fire.wav
	frame	data/chars/2car2/zvanatck15.gif
	frame	data/chars/2car2/zvanatck12.gif
	sound	data/sounds/fire.wav
	frame	data/chars/2car2/zvanatck13.gif
	attack	145 130 330 35 4 1 0 0 11 0
	frame	data/chars/2car2/zvanatck14.gif
	attack	0 0 0 0
	sound	data/sounds/fire.wav
	frame	data/chars/2car2/zvanatck15.gif
	frame	data/chars/2car2/zvanatck12.gif
	sound	data/sounds/fire.wav
	frame	data/chars/2car2/zvanatck13.gif
	attack	145 130 330 35 4 1 0 0 11 0
	frame	data/chars/2car2/zvanatck14.gif
	attack	0 0 0 0
