name          morph
type          enemy
subtype       chase
health        300
speed         7
jumpheight    12
height		90
throw         5 2
throwdamage   18
shadow        0
noquake       1
falldie	      2
escapehits    5
blockodds     1
nodieblink    1
gfxshadow     1
offscreenkill 15000
dust            dust
subject_to_wall 0
subject_to_platform 0
candamage     player npc
hostile       player npc
projectilehit enemy obstacle
diesound      data/sounds/alien6.wav
icon		data/chars/beyond/1alien7/icon.gif
icondie		data/chars/beyond/1alien7/icond.gif
animationscript data/scripts/escript.c



load	gnpwr3

palette			data/chars/beyond/1alien7/idle01.gif
alternatepal	data/chars/beyond/1alien7/mpal.gif
alternatepal	data/chars/beyond/1alien7/map1.gif
alternatepal	data/chars/beyond/1alien7/map2.gif
alternatepal	data/chars/beyond/1alien7/map3.gif
alternatepal	data/chars/beyond/1alien7/map4.gif
alternatepal	data/chars/beyond/1alien7/map5.gif
alternatepal	data/chars/beyond/1alien7/map6.gif



anim	attack1
	range	40 110
	loop	0
	delay	35
	offset	100 185
	bbox	79 97 50 91
	followanim	1
	followcond	1
	fastattack	1
	hitflash	Flash6
	hitfx	data/sounds/beat2.wav
	frame	data/chars/beyond/1alien7/rise4a.gif
	delay	9
	frame	data/chars/beyond/1alien7/a10.gif
	frame	data/chars/beyond/1alien7/a11.gif
	delay	11
	attack	110 95 100 45 8 0 0 0 18 0
	frame	data/chars/beyond/1alien7/a12.gif
	frame	data/chars/beyond/1alien7/a13.gif
	attack	0 0 0 0
	delay	9
	frame	data/chars/beyond/1alien7/a14.gif
	frame	data/chars/beyond/1alien7/a10.gif
		
anim	attack2
	range	145 185
	loop	0
	delay	15
	offset	100 183
	bbox	85 70 30 60
	fastattack	1
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	jumpframe	2 6 1.5
	landframe	12
	frame	data/chars/beyond/1alien7/rise4a.gif
	frame	data/chars/beyond/1alien7/a00.gif
	delay	12
	frame	data/chars/beyond/1alien7/ju01.gif
	frame	data/chars/beyond/1alien7/ju02.gif
	frame	data/chars/beyond/1alien7/ju03.gif
	frame	data/chars/beyond/1alien7/ju05.gif
	frame	data/chars/beyond/1alien7/ju06.gif
	attack	105 95 55 100 12 1 0 0 40 8
	frame	data/chars/beyond/1alien7/ju07.gif
	frame	data/chars/beyond/1alien7/ju08.gif
	delay	55
	frame	data/chars/beyond/1alien7/ju09.gif
	attack	0 0 0 0
	delay	9
	frame	data/chars/beyond/1alien7/ju06.gif
	delay	300
	frame	data/chars/beyond/1alien7/ju04.gif
	delay	12
	frame	data/chars/beyond/1alien7/a00.gif
		
anim	attack4
	range	110 155
	rangez	20 50
	loop	0
	delay	9
	offset	110 165
	bbox	79 97 40 45
	fastattack	1
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	@cmd	dasher 3 0 1
	frame	data/chars/beyond/1alien7/ju03.gif
	frame	data/chars/beyond/1alien7/ju04.gif
	offset	100 183
	frame	data/chars/beyond/1alien7/b01.gif
	frame	data/chars/beyond/1alien7/b02.gif
	@cmd	dasher 2 0 0.2
	attack	75 50 55 100 12 1 0 0 20 8
	dropv	3 3
	frame	data/chars/beyond/1alien7/b03.gif
	attack	75 70 120 95 12 1 0 0 40 8
	dropv	3 3
	bbox	64 117 34 42
	offset	100 195
	frame	data/chars/beyond/1alien7/b04.gif
	@cmd	dasher 1 0 0
	frame	data/chars/beyond/1alien7/b05.gif
	attack	0 0 0 0
	frame	data/chars/beyond/1alien7/b06.gif
	@cmd	stop
	offset	100 180
	frame	data/chars/beyond/1alien7/rise5.gif
		
anim	attack5
	range	110 155
	rangez	-50 -20
	loop	0
	delay	9
	offset	110 165
	bbox	79 97 40 45
	fastattack	1
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	@cmd	dasher 3 0 -1
	frame	data/chars/beyond/1alien7/ju03.gif
	frame	data/chars/beyond/1alien7/ju04.gif
	offset	100 183
	frame	data/chars/beyond/1alien7/b01.gif
	frame	data/chars/beyond/1alien7/b02.gif
	@cmd	dasher 2 0 -0.2
	attack	75 50 55 100 12 1 0 0 20 15
	dropv	3 3
	frame	data/chars/beyond/1alien7/b03.gif
	attack	75 70 120 95 12 1 0 0 40 15
	dropv	3 3
	bbox	64 117 34 42
	offset	100 195
	frame	data/chars/beyond/1alien7/b04.gif
	@cmd	dasher 1 0 0
	frame	data/chars/beyond/1alien7/b05.gif
	attack	0 0 0 0
	frame	data/chars/beyond/1alien7/b06.gif
	@cmd	stop
	offset	100 180
	frame	data/chars/beyond/1alien7/rise5.gif
		
anim	attack6
	range	190 280
	rangez	-15 15
	loop	0
	delay	12
	offset	110 183
	bbox	79 97 40 45
	frame	data/chars/beyond/1alien7/rise4a.gif
	delay	7
	frame	data/chars/beyond/1alien7/rise5.gif
	frame	data/chars/beyond/1alien7/rise5a.gif
	frame	data/chars/beyond/1alien7/rise5.gif
	frame	data/chars/beyond/1alien7/rise5a.gif
	frame	data/chars/beyond/1alien7/rise5.gif
	frame	data/chars/beyond/1alien7/rise5a.gif
	frame	data/chars/beyond/1alien7/rise5.gif
	frame	data/chars/beyond/1alien7/rise5a.gif
	frame	data/chars/beyond/1alien7/rise5.gif
	frame	data/chars/beyond/1alien7/rise5a.gif
	frame	data/chars/beyond/1alien7/rise5.gif
	frame	data/chars/beyond/1alien7/rise5a.gif
	frame	data/chars/beyond/1alien7/rise5.gif
	frame	data/chars/beyond/1alien7/rise5a.gif
	delay	12
	frame	data/chars/beyond/1alien7/rise4a.gif
	frame	data/chars/beyond/1alien7/e01.gif
