name          omega
type          enemy
subtype       chase
health        400
mp		3000
speed         9
running	      18 0 0 1 0
jumpheight    4
throw         5 2
throwdamage   18
shadow        0
noquake       1
falldie	      2
escapehits    5
blockodds     1
nodieblink    1
gfxshadow     1
offscreenkill 	10000
candamage     player npc
hostile       player npc
dust            dust
projectilehit enemy obstacle
diesound      data/sounds/alien5.wav
icon		data/chars/beyond/1alien5/icon.gif
icondie		data/chars/beyond/1alien5/icond.gif
animationscript data/scripts/escript.c


palette		data/chars/beyond/1alien5/idle01.gif
alternatepal	data/chars/beyond/1alien5/map0.gif
alternatepal	data/chars/beyond/1alien5/map1.gif
alternatepal	data/chars/beyond/1alien5/map2.gif
alternatepal	data/chars/beyond/1alien5/map3.gif
alternatepal	data/chars/beyond/1alien5/map4.gif
alternatepal	data/chars/beyond/1alien5/map5.gif


load	gnpwr2


anim	attack1
	range	40 95
	loop	0
	delay	10
	offset	100 189
	bbox	79 97 50 91
	fastattack	1
	hitfx	data/sounds/beat2.wav
	@cmd	dasher 1 0 0
	frame	data/chars/beyond/1alien5/b01.gif
	sound	data/sounds/alien15.wav
	frame	data/chars/beyond/1alien5/b02.gif
	attack2	95 106 60 35 10 0 0 0 35 0
	frame	data/chars/beyond/1alien5/b03.gif
	attack2	0 0 0 0
	@cmd	stop
	frame	data/chars/beyond/1alien5/b04.gif
	frame	data/chars/beyond/1alien5/b05.gif
	attack2	95 106 60 35 12 1 0 0 15 0
	dropv	4 2
	frame	data/chars/beyond/1alien5/b06.gif
	attack2	0 0 0 0
	frame	data/chars/beyond/1alien5/b07.gif
	frame	data/chars/beyond/1alien5/b08.gif
	frame	data/chars/beyond/1alien5/b09.gif
		
anim	attack2
	range	60 190
	rangez	30 70
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	fastattack	1
	jumpframe	1 5 1 0.7
	landframe	8
	hitfx	data/sounds/beat2.wav
	frame	data/chars/beyond/1alien5/rise4.gif
	frame	data/chars/beyond/1alien5/jump01.gif
	frame	data/chars/beyond/1alien5/jump02.gif
	delay	15
	frame	data/chars/beyond/1alien5/jump03.gif
	delay	12
	frame	data/chars/beyond/1alien5/jua01.gif
	attack2	80 104 70 79 12 1 0 0 25 15
	dropv	4 2
	frame	data/chars/beyond/1alien5/jua02.gif
	delay	30
	frame	data/chars/beyond/1alien5/jua03.gif
	attack2	0 0 0 0
	delay	400
	frame	data/chars/beyond/1alien5/jua04.gif
	delay	12
	frame	data/chars/beyond/1alien5/rise4.gif
		
anim	attack3
	range	60 190
	rangez	-70 -30
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	fastattack	1
	jumpframe	1 5 1 -0.7
	landframe	8
	hitfx	data/sounds/beat2.wav
	frame	data/chars/beyond/1alien5/rise4.gif
	frame	data/chars/beyond/1alien5/jump01.gif
	frame	data/chars/beyond/1alien5/jump02.gif
	delay	15
	frame	data/chars/beyond/1alien5/jump03.gif
	delay	12
	frame	data/chars/beyond/1alien5/jua01.gif
	attack2	80 104 70 79 12 1 0 0 25 15
	dropv	4 2
	frame	data/chars/beyond/1alien5/jua02.gif
	delay	30
	frame	data/chars/beyond/1alien5/jua03.gif
	attack2	0 0 0 0
	delay	400
	frame	data/chars/beyond/1alien5/jua04.gif
	delay	12
	frame	data/chars/beyond/1alien5/rise4.gif
		
anim	attack4
	range	115 150
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	followanim	1
	followcond	1
	fastattack	1
	hitfx	data/sounds/beat3.wav
	@cmd	dasher 2 0 0
	frame	data/chars/beyond/1alien5/a07.gif
	sound	data/sounds/alien15.wav
	frame	data/chars/beyond/1alien5/a06.gif
	delay	15
	attack2	95 130 77 45 10 0 0 0 20 0
	frame	data/chars/beyond/1alien5/a05.gif
	attack2	0 0 0 0
	delay	12
	frame	data/chars/beyond/1alien5/a04.gif
	@cmd	dasher 1 0 0
	frame	data/chars/beyond/1alien5/a03.gif
	frame	data/chars/beyond/1alien5/a02.gif
	@cmd	stop
	frame	data/chars/beyond/1alien5/a01.gif
		
anim	attack5
	range	30 85
	loop	0
	delay	9
	offset	100 189
	bbox	0 0 0 0
	followanim	2
	followcond	1
	fastattack	1
	hitfx	data/sounds/grab.wav
	frame	data/chars/beyond/1alien5/sp01.gif
	attack	95 80 60 35 0 0 1 1 9 14
	frame	data/chars/beyond/1alien5/grab01.gif
	frame	data/chars/beyond/1alien5/grab01.gif
	attack	0 0 0 0
	bbox	79 97 50 91
	frame	data/chars/beyond/1alien5/sp01.gif
		
anim	attack6
	range	190 250
	rangez	-15 15
	loop	0
	delay	9
	offset	100 189
	bbox	79 97 50 91
	hitfx	data/sounds/grab.wav
	frame	data/chars/beyond/1alien5/sp01.gif
	frame	data/chars/beyond/1alien5/sp02.gif
	sound	data/sounds/alien4.wav
	frame	data/chars/beyond/1alien5/sp03.gif
	frame	data/chars/beyond/1alien5/sp04.gif
	delay	7
	frame	data/chars/beyond/1alien5/sp05.gif
	frame	data/chars/beyond/1alien5/sp05a.gif
	frame	data/chars/beyond/1alien5/sp05.gif
	frame	data/chars/beyond/1alien5/sp05a.gif
	frame	data/chars/beyond/1alien5/sp05.gif
	frame	data/chars/beyond/1alien5/sp05a.gif
	frame	data/chars/beyond/1alien5/sp05.gif
	frame	data/chars/beyond/1alien5/sp05a.gif
	frame	data/chars/beyond/1alien5/sp05.gif
	frame	data/chars/beyond/1alien5/sp05a.gif
	frame	data/chars/beyond/1alien5/sp05.gif
	frame	data/chars/beyond/1alien5/sp05a.gif
