name		clarkplr
type		player
health		150
mp		100
mprate          1
chargerate      2
speed		11
running		26 3.1 3 1 1
jumpheight	4
nodieblink	2
secret		0 1
weaploss	3
modelflag	1
noquake         0
makeinv		3
riseinv		1
gfxshadow	1
fmap		1
holdblock 	1
falldie		2
dust            dust
candamage	enemy obstacle
projectilehit 	player npc enemy
weapons		Ryobike clarkplr Ryobike2 Ryofall ryowtr ryovent mapcurs mrzero ryoturt
atchain         1 1 2 3 4 0 5 6 7 0 8 1
combostyle      1
icon		data/chars/xclark/iconpl.png
parrow          data/chars/misc/flash/flash/player1.gif  -36 -145
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -145
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -145


animationscript		data/scripts/grabscript.c
ondrawscript 		data/scripts/water_puddle_script.c
script			data/scripts/player_script.c


palette		data/chars/xclark/idle01.png
alternatepal		data/chars/xclark/idle01.png
alternatepal	data/chars/xclark/map1.png
alternatepal	data/chars/xclark/map2.png
alternatepal	data/chars/xclark/map3.png



load	plgrdaim

com	a3	  freespecial29
com	a2 	  freespecial15
com	d f a	  freespecial3
com	f d f s freespecial27



































anim	attack1
	range	0 140
	rangez	-15 15
	loop	0
	delay	3
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat2.wav
	@cmd	attackgrd -60 60 0 1 10 "ANI_FOLLOW10"
	frame	data/chars/xclark/a01.png
	attack	143 115 86 25 6 0 0 0 1 0
	frame	data/chars/xclark/a02.png
	delay	6
	frame	data/chars/xclark/a03.png
	attack	0 0 0 0
	delay	3
	frame	data/chars/xclark/a04.png
		
anim	attack2
	range	0 55
	rangez	-15 15
	loop	0
	delay	4
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xclark/b30.png
	frame	data/chars/xclark/b31.png
	attack2	135 140 68 35 20 0 0 0 15 0
	frame	data/chars/xclark/b32.png
	delay	5
	frame	data/chars/xclark/b33.png
	attack2	0 0 0 0
	frame	data/chars/xclark/b30.png
		
anim	attack3
	range	0 55
	rangez	-15 15
	loop	0
	delay	4
	offset	130 212
	bbox	118 119 30 75
	fastattack	1
	sound	data/sounds/xclark01.wav
	hitfx	data/sounds/beat2.wav
	frame	data/chars/xclark/b01.png
	attack2	125 125 50 50 20 0 0 0 15 0
	delay	5
	frame	data/chars/xclark/b05.png
	attack2	0 0 0 0
	frame	data/chars/xclark/b02.png
	frame	data/chars/xclark/b01.png
		
anim	attack4
	range	0 55
	rangez	-15 15
	loop	0
	delay	4
	offset	145 211
	bbox	130 125 30 75
	staydown	500 500
	sound	data/sounds/xclark02.wav
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xclark/a01.png
	frame	data/chars/xclark/a05.png
	frame	data/chars/xclark/a06.png
	attack	140 110 57 42 40 1 0 0 30 15
	dropv	2 3
	frame	data/chars/xclark/a07.png
	delay	15
	frame	data/chars/xclark/a08.png
	attack	0 0 0 0
	delay	6
	frame	data/chars/xclark/a07.png
	frame	data/chars/xclark/a06.png
	frame	data/chars/xclark/a05.png
		
anim	attack5
	range	55 85
	rangez	-15 15
	loop	0
	delay	4
	offset	150 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xclark/b40.png
	frame	data/chars/xclark/b41.png
	frame	data/chars/xclark/b42.png
	attack2	143 135 90 30 20 0 0 0 10 0
	frame	data/chars/xclark/b43.png
	frame	data/chars/xclark/b44.png
	attack2	0 0 0 0
	frame	data/chars/xclark/b42.png
	frame	data/chars/xclark/b11.png
	frame	data/chars/xclark/b10.png
		
anim	attack6
	range	55 85
	rangez	-15 15
	loop	0
	delay	4
	offset	130 211
	bbox	130 125 30 75
	fastattack	1
	sound	data/sounds/xclark01.wav
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xclark/b01.png
	frame	data/chars/xclark/b02.png
	attack2	140 135 90 30 20 0 0 0 10 0
	frame	data/chars/xclark/b02a.png
	frame	data/chars/xclark/b03.png
	attack2	0 0 0 0
	frame	data/chars/xclark/b02.png
	frame	data/chars/xclark/b01a.png
		
anim	attack7
	range	55 85
	rangez	-15 15
	loop	0
	delay	5
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	sound	data/sounds/xclark02.wav
