name	 choppatck3
health   0
type     trap
nolife   1
hostile		player npc
candamage	player npc
subject_to_gravity 0
setlayer	10
lifespan  	5













anim	idle
	loop	1
	delay	7
	offset	75 70
	bbox	0 0 0 0
	move	6
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	attack	0 130 300 120 5 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
	frame	data/chars/misc/car/Mtruck/2choppafire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/car/Mtruck/2choppafire08.gif
	attack	0 130 300 120 5 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
	attack	0 0 0 0
	frame	data/chars/misc/car/Mtruck/2choppafire07.gif
	attack	0 130 300 120 5 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire08.gif
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
	attack	0 0 0 0
	frame	data/chars/misc/car/Mtruck/2choppafire07.gif
	frame	data/chars/misc/car/Mtruck/2choppafire08.gif
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	attack	0 130 300 120 5 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
	frame	data/chars/misc/car/Mtruck/2choppafire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/car/Mtruck/2choppafire08.gif
	attack	0 130 300 120 5 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
	attack	0 0 0 0
	frame	data/chars/misc/car/Mtruck/2choppafire07.gif
