name	 runetb1
type	 text
#subtype  noskip
facing   1
#lifespan 600
offscreenkill	55000
setlayer	999999998
subject_to_wall		0
subject_to_platform	0
subject_to_obstacle	0
subject_to_obstacle	0
subject_to_hole		0
subject_to_gravity	0
subject_to_screen	0
subject_to_minz		0
subject_to_maxz		0
animationscript data/scripts/escript.c


#-----------//---------MAP-1--------//-------------------

anim	idle
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnmap1.gif
	frame	data/chars/misc/runetb/rnmap1.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnmap1.gif
	delay	8500
	frame	data/chars/misc/runetb/rnmap1.gif
	frame	data/chars/misc/runetb/rnmap1.gif
	frame	data/chars/misc/runetb/rnmap1.gif
	delay	5
	frame	data/chars/misc/runetb/rnmap1.gif
	frame	data/chars/misc/runetb/rnmap1.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnmap1.gif

#-----------//---------MAP-2--------//-------------------

anim	follow1
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnmap2.gif
	frame	data/chars/misc/runetb/rnmap2.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnmap2.gif
	delay	8500
	frame	data/chars/misc/runetb/rnmap2.gif
	frame	data/chars/misc/runetb/rnmap2.gif
	frame	data/chars/misc/runetb/rnmap2.gif
	delay	5
	frame	data/chars/misc/runetb/rnmap2.gif
	frame	data/chars/misc/runetb/rnmap2.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnmap2.gif

#-----------//---------MAP-3--------//-------------------

anim	follow2
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnmap3.gif
	frame	data/chars/misc/runetb/rnmap3.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnmap3.gif
	delay	8500
	frame	data/chars/misc/runetb/rnmap3.gif
	frame	data/chars/misc/runetb/rnmap3.gif
	frame	data/chars/misc/runetb/rnmap3.gif
	delay	5
	frame	data/chars/misc/runetb/rnmap3.gif
	frame	data/chars/misc/runetb/rnmap3.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnmap3.gif

#-----------//---------MAP-4--------//-------------------

anim	follow3
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnmap4.gif
	frame	data/chars/misc/runetb/rnmap4.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnmap4.gif
	delay	8500
	frame	data/chars/misc/runetb/rnmap4.gif
	frame	data/chars/misc/runetb/rnmap4.gif
	frame	data/chars/misc/runetb/rnmap4.gif
	delay	5
	frame	data/chars/misc/runetb/rnmap4.gif
	frame	data/chars/misc/runetb/rnmap4.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnmap4.gif

#-----------//---------MAP-5--------//-------------------

anim	follow4
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnmap5.gif
	frame	data/chars/misc/runetb/rnmap5.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnmap5.gif
	delay	8500
	frame	data/chars/misc/runetb/rnmap5.gif
	frame	data/chars/misc/runetb/rnmap5.gif
	frame	data/chars/misc/runetb/rnmap5.gif
	delay	5
	frame	data/chars/misc/runetb/rnmap5.gif
	frame	data/chars/misc/runetb/rnmap5.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnmap5.gif

#-----------//---------MAP-6--------//-------------------

anim	follow5
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnmap6.gif
	frame	data/chars/misc/runetb/rnmap6.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnmap6.gif
	delay	8500
	frame	data/chars/misc/runetb/rnmap6.gif
	frame	data/chars/misc/runetb/rnmap6.gif
	frame	data/chars/misc/runetb/rnmap6.gif
	delay	5
	frame	data/chars/misc/runetb/rnmap6.gif
	frame	data/chars/misc/runetb/rnmap6.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnmap6.gif

#-----------//---------MAP-7--------//-------------------

anim	follow6
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnmap7.gif
	frame	data/chars/misc/runetb/rnmap7.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnmap7.gif
	delay	8500
	frame	data/chars/misc/runetb/rnmap7.gif
	frame	data/chars/misc/runetb/rnmap7.gif
	frame	data/chars/misc/runetb/rnmap7.gif
	delay	5
	frame	data/chars/misc/runetb/rnmap7.gif
	frame	data/chars/misc/runetb/rnmap7.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnmap7.gif

#-----------//---------MAP-8--------//-------------------

anim	follow7
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnmap8.gif
	frame	data/chars/misc/runetb/rnmap8.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnmap8.gif
	delay	8500
	frame	data/chars/misc/runetb/rnmap8.gif
	frame	data/chars/misc/runetb/rnmap8.gif
	frame	data/chars/misc/runetb/rnmap8.gif
	delay	5
	frame	data/chars/misc/runetb/rnmap8.gif
	frame	data/chars/misc/runetb/rnmap8.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnmap8.gif

#-----------//---------MAP-9--------//-------------------

anim	follow8
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnmap9.gif
	frame	data/chars/misc/runetb/rnmap9.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnmap9.gif
	delay	8500
	frame	data/chars/misc/runetb/rnmap9.gif
	frame	data/chars/misc/runetb/rnmap9.gif
	frame	data/chars/misc/runetb/rnmap9.gif
	delay	5
	frame	data/chars/misc/runetb/rnmap9.gif
	frame	data/chars/misc/runetb/rnmap9.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnmap9.gif

#-----------//---------MAP-10-------//-------------------

anim	follow9
	loop	0
	delay	5
