name	thund1
type	text
shadow	0
alpha	1
setlayer	999999998
lifespan 5
subject_to_gravity 0


anim	idle
	loop	0
	delay	7
	offset	1 1
	drawmethod	300 350 0 0 0 1
	frame	data/chars/misc/dusts/thunder/th01.gif
	sound     data/sounds/xplosion.wav
	frame	data/chars/misc/dusts/thunder/th02.gif
	frame	data/chars/misc/dusts/thunder/th03.gif
	frame	data/chars/misc/dusts/thunder/th04.gif
	frame	data/chars/misc/dusts/thunder/th05.gif
	frame	data/chars/misc/dusts/thunder/th01.gif
	frame	data/chars/misc/dusts/thunder/th02.gif
	frame	data/chars/misc/dusts/thunder/th03.gif
	frame	data/chars/misc/dusts/thunder/th04.gif
	frame	data/chars/misc/dusts/thunder/th05.gif
	frame	data/chars/misc/dusts/thunder/th01.gif
	frame	data/chars/misc/dusts/thunder/th02.gif
	frame	data/chars/misc/dusts/thunder/th03.gif
	frame	data/chars/misc/dusts/thunder/th04.gif
	frame	data/chars/misc/dusts/thunder/th05.gif


		
#|edited by openBor Stats v 0.53
		
