name          nosedgrey
type          enemy
health        280
speed         12
jumpheight    5
jumpspeed     25
throw         5 2
throwdamage   18
shadow        0
noquake       1
nolife        1
falldie	      2
nodieblink    1
escapehits    3
blockodds     1
gfxshadow     1
candamage     player npc
hostile       player npc
dust            dust
projectilehit enemy obstacle
diesound      data/sounds/alien14.wav
animationscript data/scripts/escript.c

palette		data/chars/beyond/1alien3/map0.gif
alternatepal    data/chars/beyond/1alien3/map1.gif
alternatepal    data/chars/beyond/1alien3/map2.gif
alternatepal    data/chars/beyond/1alien3/map3.gif
alternatepal    data/chars/beyond/1alien3/map4.gif

load	pw16




anim	follow10
	loop	1
	delay	6
	offset	100 189
	bbox	0 0 0 0
	@cmd	attack1 -180 180 200 "ANI_ATTACK1"
	frame	data/chars/beyond/1alien3/idle01.gif
	frame	data/chars/beyond/1alien3/idle02.gif
	@cmd	attack1 -120 120 200 "ANI_ATTACK1"
	frame	data/chars/beyond/1alien3/idle03.gif
	frame	data/chars/beyond/1alien3/idle04.gif
	@cmd	attack1 -120 120 200 "ANI_ATTACK1"
	frame	data/chars/beyond/1alien3/idle05.gif
	frame	data/chars/beyond/1alien3/idle06.gif
	@cmd	attack1 -120 120 200 "ANI_ATTACK1"
	frame	data/chars/beyond/1alien3/idle07.gif
	frame	data/chars/beyond/1alien3/idle08.gif





anim	jump
	range	50 200
	loop	0
	delay	20
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/1alien3/wk05.gif
	frame	data/chars/beyond/1alien3/wk06.gif
	frame	data/chars/beyond/1alien3/wk07.gif

anim	jumpland
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/1alien3/rise3.gif



anim	attack1
	range	35 100
	loop	0
	delay	9
	offset	100 189
	bbox	79 97 50 91
	hitfx	data/sounds/beat1.wav
	@cmd	spawnAni "pw16" 75 80 1 "ANI_FOLLOW6"
	frame	data/chars/beyond/1alien3/b01.gif
	attack3	95 80 130 40 6 0 0 0 15 15
	frame	data/chars/beyond/1alien3/b02.gif
	frame	data/chars/beyond/1alien3/b03.gif
	attack3	0 0 0 0
	frame	data/chars/beyond/1alien3/b04.gif
	frame	data/chars/beyond/1alien3/b05.gif
	attack	95 110 140 55 9 1 0 0 15 15
	dropv	1.5 6
	@cmd	spawnAni "pw16" 90 20 1 "ANI_FOLLOW6"
	frame	data/chars/beyond/1alien3/b06.gif
	frame	data/chars/beyond/1alien3/b07.gif
	attack	0 0 0 0
	frame	data/chars/beyond/1alien3/b08.gif
		
anim	attack2
	range	180 250
	loop	0
	delay	6
	offset	100 189
	bbox	0 0 0 0
	hitfx	data/sounds/beat2.wav
	frame	data/chars/beyond/1alien3/tel01.gif
	frame	data/chars/beyond/1alien3/tel02.gif
	frame	data/chars/beyond/1alien3/tel03.gif
	frame	data/chars/beyond/1alien3/tel04.gif
	frame	data/chars/beyond/1alien3/tel05.gif
	delay	10
	@cmd	teletarget 5 5 5
	frame	data/chars/beyond/1alien3/tel06.gif
	delay	6
	frame	data/chars/beyond/1alien3/tel03.gif
	frame	data/chars/beyond/1alien3/tel02.gif
	frame	data/chars/beyond/1alien3/tel01.gif
	delay	9
	sound	data/sounds/alien15.wav
	@cmd	target 1 1 1 1 0
	@cmd	spawnAni "pw16" 0 1 1 "ANI_FOLLOW1"
	frame	data/chars/beyond/1alien3/c01.gif
	attack3	95 80 115 55 6 1 0 0 35 15
	dropv	3 0.5
	frame	data/chars/beyond/1alien3/c02.gif
	frame	data/chars/beyond/1alien3/c03.gif
	attack3	0 0 0 0
	frame	data/chars/beyond/1alien3/c04.gif
	burn	95 90 125 60 9 1 0 0 35 20
	dropv	4 4
	frame	data/chars/beyond/1alien3/c05.gif
	frame	data/chars/beyond/1alien3/c06.gif
	bbox	79 97 50 91
	frame	data/chars/beyond/1alien3/c07.gif
	frame	data/chars/beyond/1alien3/c08.gif
	frame	data/chars/beyond/1alien3/c09.gif
	frame	data/chars/beyond/1alien3/c10.gif
	burn	0 0 0 0
	frame	data/chars/beyond/1alien3/c11.gif
	frame	data/chars/beyond/1alien3/c12.gif
		
anim	attack4
	range	-45 45
	rangez	20 90
	loop	0
	delay	6
	offset	100 189
	bbox	0 0 0 0
	hitfx	data/sounds/beat2.wav
	frame	data/chars/beyond/1alien3/tel01.gif
	frame	data/chars/beyond/1alien3/tel02.gif
	frame	data/chars/beyond/1alien3/tel03.gif
	frame	data/chars/beyond/1alien3/tel04.gif
	frame	data/chars/beyond/1alien3/tel05.gif
	delay	10
	@cmd	teletarget 5 5 5
	frame	data/chars/beyond/1alien3/tel06.gif
	delay	6
	frame	data/chars/beyond/1alien3/tel03.gif
	frame	data/chars/beyond/1alien3/tel02.gif
	frame	data/chars/beyond/1alien3/tel01.gif
	offset	109 204
	delay	9
	sound	data/sounds/alien15.wav
	@cmd	target 1 1 1 1 0
	@cmd	spawnAni "pw16" -10 1 1 "ANI_FOLLOW2"
	frame	data/chars/beyond/1alien3/d01.gif
	frame	data/chars/beyond/1alien3/d02.gif
	burn	95 135 135 60 9 1 0 0 35 20
	dropv	1.5 6
	frame	data/chars/beyond/1alien3/d03.gif
	frame	data/chars/beyond/1alien3/d04.gif
	bbox	79 97 50 91
	frame	data/chars/beyond/1alien3/d05.gif
	frame	data/chars/beyond/1alien3/d06.gif
	frame	data/chars/beyond/1alien3/d07.gif
	frame	data/chars/beyond/1alien3/d08.gif
	burn	0 0 0 0
	frame	data/chars/beyond/1alien3/d09.gif
	frame	data/chars/beyond/1alien3/d10.gif
	frame	data/chars/beyond/1alien3/d11.gif
		
anim	attack5
	range	110 190
	rangez	25 90
	loop	0
	delay	7
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/1alien3/c12.gif
	frame	data/chars/beyond/1alien3/c11.gif
	frame	data/chars/beyond/1alien3/c10.gif
	frame	data/chars/beyond/1alien3/c09.gif
	frame	data/chars/beyond/1alien3/c08.gif
	frame	data/chars/beyond/1alien3/c07.gif
	frame	data/chars/beyond/1alien3/c04.gif
	@cmd	tosser "pw16" 85 1 0 1 3 0.4
	delay	25
	frame	data/chars/beyond/1alien3/c04.gif
	delay	7
	frame	data/chars/beyond/1alien3/c04.gif
	frame	data/chars/beyond/1alien3/c07.gif
	frame	data/chars/beyond/1alien3/c08.gif
	frame	data/chars/beyond/1alien3/c09.gif
	frame	data/chars/beyond/1alien3/c10.gif
	frame	data/chars/beyond/1alien3/c11.gif
	frame	data/chars/beyond/1alien3/c12.gif
		
