name	 jbyoatk
type     trap
nolife   1
subject_to_platform 0
hostile		player
candamage	player npc enemy
lifespan  	55



anim	follow5
	loop	1
	delay	6
	offset	130 210
	bbox	0 0 0 0
	sound	data/sounds/gun1.wav
	frame	data/chars/misc/traps/plane1/effect/planefire01.gif
	attack	0 160 280 90 6 0 0 0 10 35
	frame	data/chars/misc/traps/plane1/effect/planefire02.gif
	frame	data/chars/misc/traps/plane1/effect/planefire03.gif
	frame	data/chars/misc/traps/plane1/effect/planefire04.gif
	frame	data/chars/misc/traps/plane1/effect/planefire05.gif
	frame	data/chars/misc/traps/plane1/effect/planefire06.gif
	frame	data/chars/misc/traps/plane1/effect/planefire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/plane1/effect/planefire08.gif
	sound	data/sounds/gun6.wav
	frame	data/chars/misc/traps/plane1/effect/planefire01.gif
	attack	0 160 280 90 6 0 0 0 10 35
	frame	data/chars/misc/traps/plane1/effect/planefire02.gif
	frame	data/chars/misc/traps/plane1/effect/planefire03.gif
	frame	data/chars/misc/traps/plane1/effect/planefire04.gif
	frame	data/chars/misc/traps/plane1/effect/planefire05.gif
	frame	data/chars/misc/traps/plane1/effect/planefire06.gif
	frame	data/chars/misc/traps/plane1/effect/planefire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/plane1/effect/planefire08.gif



anim	follow6
	loop	1
	delay	6
	offset	130 210
	bbox	0 0 0 0
	sound	data/sounds/gun1.wav
	frame	data/chars/misc/traps/plane1/effect/planefire01.gif
	attack	0 160 280 90 6 0 0 0 10 35
	frame	data/chars/misc/traps/plane1/effect/planefire02.gif
	frame	data/chars/misc/traps/plane1/effect/planefire03.gif
	frame	data/chars/misc/traps/plane1/effect/planefire04.gif
	frame	data/chars/misc/traps/plane1/effect/planefire05.gif
	frame	data/chars/misc/traps/plane1/effect/planefire06.gif
	frame	data/chars/misc/traps/plane1/effect/planefire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/plane1/effect/planefire08.gif
	sound	data/sounds/gun6.wav
	frame	data/chars/misc/traps/plane1/effect/planefire01.gif
	attack	0 160 280 90 6 0 0 0 10 35
	frame	data/chars/misc/traps/plane1/effect/planefire02.gif
	frame	data/chars/misc/traps/plane1/effect/planefire03.gif
	frame	data/chars/misc/traps/plane1/effect/planefire04.gif
	frame	data/chars/misc/traps/plane1/effect/planefire05.gif
	frame	data/chars/misc/traps/plane1/effect/planefire06.gif
	frame	data/chars/misc/traps/plane1/effect/planefire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/plane1/effect/planefire08.gif


anim	follow7
	loop	1
	delay	6
	offset	130 210
	bbox	0 0 0 0
	sound	data/sounds/gun1.wav
	frame	data/chars/misc/traps/plane1/effect/planefire01.gif
	attack	0 160 280 90 6 0 0 0 10 35
	frame	data/chars/misc/traps/plane1/effect/planefire02.gif
	frame	data/chars/misc/traps/plane1/effect/planefire03.gif
	frame	data/chars/misc/traps/plane1/effect/planefire04.gif
	frame	data/chars/misc/traps/plane1/effect/planefire05.gif
	frame	data/chars/misc/traps/plane1/effect/planefire06.gif
	frame	data/chars/misc/traps/plane1/effect/planefire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/plane1/effect/planefire08.gif
	sound	data/sounds/gun6.wav
	frame	data/chars/misc/traps/plane1/effect/planefire01.gif
	attack	0 160 280 90 6 0 0 0 10 35
	frame	data/chars/misc/traps/plane1/effect/planefire02.gif
	frame	data/chars/misc/traps/plane1/effect/planefire03.gif
	frame	data/chars/misc/traps/plane1/effect/planefire04.gif
	frame	data/chars/misc/traps/plane1/effect/planefire05.gif
	frame	data/chars/misc/traps/plane1/effect/planefire06.gif
	frame	data/chars/misc/traps/plane1/effect/planefire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/plane1/effect/planefire08.gif


anim	follow9
	loop	1
	delay	6
	offset	130 210
	bbox	0 0 0 0
	sound	data/sounds/gun1.wav
	frame	data/chars/misc/traps/plane1/effect/planefire01.gif
	attack	0 160 280 90 6 0 0 0 10 35
	frame	data/chars/misc/traps/plane1/effect/planefire02.gif
	frame	data/chars/misc/traps/plane1/effect/planefire03.gif
	frame	data/chars/misc/traps/plane1/effect/planefire04.gif
	frame	data/chars/misc/traps/plane1/effect/planefire05.gif
	frame	data/chars/misc/traps/plane1/effect/planefire06.gif
	frame	data/chars/misc/traps/plane1/effect/planefire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/plane1/effect/planefire08.gif
	sound	data/sounds/gun6.wav
	frame	data/chars/misc/traps/plane1/effect/planefire01.gif
	attack	0 160 280 90 6 0 0 0 10 35
	frame	data/chars/misc/traps/plane1/effect/planefire02.gif
	frame	data/chars/misc/traps/plane1/effect/planefire03.gif
	frame	data/chars/misc/traps/plane1/effect/planefire04.gif
	frame	data/chars/misc/traps/plane1/effect/planefire05.gif
	frame	data/chars/misc/traps/plane1/effect/planefire06.gif
	frame	data/chars/misc/traps/plane1/effect/planefire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/plane1/effect/planefire08.gif




		
anim	spawn
	loop	0
	delay	5
	offset	75 85
	bbox	0 0 0 0
	frame	data/chars/misc/traps/plane1/effect/planefire09.gif
	frame	data/chars/misc/traps/plane1/effect/planefire09.gif









		
#|edited by openBor Stats v 0.53
		
