name	 trafficsign
health   200
type     enemy
speedf		0.5
jumpheight	0
nolife   1
noquake		1
makeinv		3
gfxshadow	0
nodrop		1
antigrab	10
nomove	 1
facing	 2
lifespan 90 
subject_to_gravity 0


anim	spawn
	loop    0
	delay   5
	offset  0 0
	bbox    0 0 0 0
	frame	data/chars/misc/traps/cars/empty.gif






anim idle
	loop	1
	delay	8
	offset	50 60
	bbox	0 0 0 0
	sound	data/sounds/bip2.wav
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif
	sound	data/sounds/bip2.wav
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif
	sound	data/sounds/bip2.wav
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif
	frame	data/chars/misc/traps/cars/trafficsign.gif
	frame	data/chars/misc/traps/cars/empty.gif

	delay	100
	frame	data/chars/misc/traps/cars/empty.gif

anim walk
	loop    0
	delay   5
	offset  0 0
	bbox    0 0 0 0
	frame	data/chars/misc/traps/cars/empty.gif


anim	fall
	loop    0
	delay   5
	offset  0 0
	bbox    0 0 0 0
	frame	data/chars/misc/traps/cars/empty.gif
	frame	data/chars/misc/traps/cars/empty.gif
	delay	100
	frame	data/chars/misc/traps/cars/empty.gif

anim 	death
	loop    0
	delay   5
	offset  0 0
	bbox    0 0 0 0
	frame	data/chars/misc/traps/cars/empty.gif


anim 	walk
	loop    0
	delay   5
	offset  0 0
	bbox    0 0 0 0
	frame	data/chars/misc/traps/cars/empty.gif




		
#|edited by openBor Stats v 0.53
		
