name		yurwlrspawn
type		enemy
health		100
speedf		5.5
jumpheight	0
nolife          1
noquake		1
makeinv		3
gfxshadow	1
falldie         1
nodrop		1
antigrab	10
lifespan        17
#diesound        data/sounds/die3.wav


load	yurtlkwler



anim 	spawn
	loop    0
	delay   15
	offset  0 0
	bbox    0 0 0 0
	frame	data/chars/misc/text/wyler2/empty.gif
	frame	data/chars/misc/text/wyler2/empty.gif



anim 	idle
	loop    0
	delay   3
	offset  0 0
	bbox    0 0 0 0
	frame	data/chars/misc/text/wyler2/empty.gif
	frame	data/chars/misc/text/wyler2/empty.gif

anim 	death
	loop    0
	delay   12
	offset  0 0
	bbox    0 0 0 0
	custentity	yurtlkwler
	spawnframe	1 210 40 25 1
	frame	data/chars/misc/text/wyler2/empty.gif
	frame	data/chars/misc/text/wyler2/empty.gif
	frame	data/chars/misc/text/wyler2/empty.gif


anim 	walk
	loop    0
	delay   5
	offset  0 0
	bbox    0 0 0 0
	frame	data/chars/misc/text/wyler2/empty.gif
	frame	data/chars/misc/text/wyler2/empty.gif







