name	king
type	npc
aimove	Wander
speed   17
height  700
gfxshadow	1
hostile		player
subject_to_wall 1
subject_to_obstacle 0
subject_to_platform 0

animationscript data/scripts/escript.c




anim	attack1
	range	-90 150
	rangez	0 50
	loop	0
	delay	8
	offset	125 173
	bbox	0 0 0 0
	frame	data/chars/misc/runpeople/king/idle08.gif
	frame	data/chars/misc/runpeople/king/idle09.gif
	frame	data/chars/misc/runpeople/king/idle10.gif
	delay	150
	frame	data/chars/misc/runpeople/king/idle10.gif
	delay	14
	frame	data/chars/misc/runpeople/king/idle07.gif
	delay	10
	@cmd	dasher 1.5 0 0
	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif
	sound	data/sounds/wmscream4.wav
	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif
	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif
	frame	data/chars/misc/runpeople/king/wk01.gif
	@cmd	stop
	frame	data/chars/misc/runpeople/king/wk02.gif
		
anim	attack2
	range	-90 150
	rangez	-50 0
	loop	0
	delay	14
	offset	125 173
	bbox	0 0 0 0
	frame	data/chars/misc/runpeople/king/idle08.gif
	frame	data/chars/misc/runpeople/king/idle09.gif
	frame	data/chars/misc/runpeople/king/idle10.gif
	delay	150
	frame	data/chars/misc/runpeople/king/idle10.gif
	delay	14
	frame	data/chars/misc/runpeople/king/idle07.gif
	delay	10
	@cmd	flip
	@cmd	dasher 1.5 0 0
	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif
	sound	data/sounds/wmscream4.wav
	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif
	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif
	frame	data/chars/misc/runpeople/king/wk01.gif
	@cmd	stop
	frame	data/chars/misc/runpeople/king/wk02.gif
		

		
anim	idle
	loop	0
	delay	6
	offset	125 173
	bbox	0 0 0 0
	frame	data/chars/misc/runpeople/king/idle01.gif
	frame	data/chars/misc/runpeople/king/idle02.gif
	frame	data/chars/misc/runpeople/king/idle03.gif
	frame	data/chars/misc/runpeople/king/idle04.gif
	frame	data/chars/misc/runpeople/king/idle05.gif
	frame	data/chars/misc/runpeople/king/idle06.gif
	frame	data/chars/misc/runpeople/king/idle07.gif
	frame	data/chars/misc/runpeople/king/idle08.gif
	frame	data/chars/misc/runpeople/king/idle09.gif
	frame	data/chars/misc/runpeople/king/idle10.gif
		
anim	spawn
	loop	1 10 15
	delay	12
	offset	125 173
	bbox	0 0 0 0
	frame	data/chars/misc/runpeople/king/idle01.gif
	frame	data/chars/misc/runpeople/king/idle02.gif
	sound	data/sounds/wmscream1.wav
	frame	data/chars/misc/runpeople/king/idle03.gif
	frame	data/chars/misc/runpeople/king/idle04.gif
	frame	data/chars/misc/runpeople/king/idle05.gif
	frame	data/chars/misc/runpeople/king/idle06.gif
	frame	data/chars/misc/runpeople/king/idle07.gif	
	frame	data/chars/misc/runpeople/king/idle08.gif
	frame	data/chars/misc/runpeople/king/idle09.gif
	sound	data/sounds/wmscream4.wav
	frame	data/chars/misc/runpeople/king/idle10.gif
	frame	data/chars/misc/runpeople/king/idle10.gif
	@cmd	attack1 0 110 50 "ANI_FOLLOW1"
	frame	data/chars/misc/runpeople/king/idle10.gif
	@cmd	attack1 0 110 50 "ANI_FOLLOW1"
	frame	data/chars/misc/runpeople/king/idle10.gif
	@cmd	attack1 0 110 50 "ANI_FOLLOW1"
	frame	data/chars/misc/runpeople/king/idle10.gif
	@cmd	attack1 0 110 50 "ANI_FOLLOW1"
	frame	data/chars/misc/runpeople/king/idle10.gif
	@cmd	attack1 0 110 50 "ANI_FOLLOW1"
	frame	data/chars/misc/runpeople/king/idle10.gif
	frame	data/chars/misc/runpeople/king/idle10.gif




anim	follow1
	loop	0
	delay	15
	offset	125 173
	bbox	0 0 0 0
	frame	data/chars/misc/runpeople/king/idle07.gif
	delay	10
	@cmd	flip
	frame	data/chars/misc/runpeople/king/wk01.gif
	@cmd	dasher 2 0 0
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	sound	data/sounds/wmscream1.wav
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif
	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif

	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif

	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif

	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif

