name          swat
type          enemy
health        240
speed         14
jumpheight    4
throw         5 2
throwdamage   18
blockodds     1
nopassiveblock 1
noquake       1
nolife        1
falldie	      2
nodieblink    1
gfxshadow     1
dust          dust
projectilehit enemy obstacle
diesound      data/sounds/die12.wav
animationscript data/scripts/escript.c




load	bullet2


palette		data/chars/2swat1/map4.gif
alternatepal       data/chars/2swat1/map1.gif
alternatepal       data/chars/2swat1/map2.gif
alternatepal       data/chars/2swat1/map3.gif



anim	attack1
	range	80 110
	loop	0
	delay	8
	offset	100 189
	bbox	79 97 50 91
	followanim	1
	followcond	1
	hitfx	data/sounds/beat2.wav
	frame	data/chars/2swat1/a101.gif
	frame	data/chars/2swat1/a102.gif
	attack	100 95 90 30 7 0 0 0 30 0
	frame	data/chars/2swat1/a103.gif
	frame	data/chars/2swat1/a104.gif
	attack	0 0 0 0
	delay	14
	frame	data/chars/2swat1/a105.gif
		
anim	attack2
	range	0 150
	rangez	25 45
	loop	0
	delay	6
	offset	100 189
	bbox	79 97 50 91
	jumpframe	1 3 1 0.7
	landframe	8 dust
	hitfx	data/sounds/beat2.wav
	frame	data/chars/2swat1/rise6.gif
	frame	data/chars/2swat1/d01.gif
	frame	data/chars/2swat1/d02.gif
	frame	data/chars/2swat1/d03.gif
	frame	data/chars/2swat1/d04.gif
	frame	data/chars/2swat1/d05.gif
	delay	14
	attack	100 95 85 50 10 1 0 0 30 15
	dropv	2 4
	frame	data/chars/2swat1/d06.gif
	delay	100
	frame	data/chars/2swat1/d07.gif
	attack	0 0 0 0
	delay	14
	frame	data/chars/2swat1/d08.gif
	frame	data/chars/2swat1/rise6.gif
	frame	data/chars/2swat1/rise5.gif
		
anim	attack4
	range	0 150
	rangez	-45 -25
	loop	0
	delay	6
	offset	100 189
	bbox	79 97 50 91
	jumpframe	1 3 1 -0.7
	landframe	8 dust
	hitfx	data/sounds/beat2.wav
	frame	data/chars/2swat1/rise6.gif
	frame	data/chars/2swat1/d01.gif
	frame	data/chars/2swat1/d02.gif
	frame	data/chars/2swat1/d03.gif
	frame	data/chars/2swat1/d04.gif
	frame	data/chars/2swat1/d05.gif
	delay	14
	attack	100 95 85 50 10 1 0 0 30 15
	dropv	2 4
	frame	data/chars/2swat1/d06.gif
	delay	100
	frame	data/chars/2swat1/d07.gif
	attack	0 0 0 0
	delay	14
	frame	data/chars/2swat1/d08.gif
	frame	data/chars/2swat1/rise6.gif
	frame	data/chars/2swat1/rise5.gif
		
anim	attack5
	range	200 400
	rangez	-15 15
	loop	0
	delay	11
	offset	100 189
	bbox	79 97 50 91
	sound	data/sounds/grab2.wav
	frame	data/chars/2swat1/c01.gif
	frame	data/chars/2swat1/c02.gif
	frame	data/chars/2swat1/c03.gif
	frame	data/chars/2swat1/c04.gif
	delay	20
	frame	data/chars/2swat1/c05.gif
	delay	9
	frame	data/chars/2swat1/c05.gif
	sound	data/sounds/gun2.wav
	frame	data/chars/2swat1/c06.gif
	@cmd	projectile 1 "bullet2" 60 1 85
	frame	data/chars/2swat1/c07.gif
	frame	data/chars/2swat1/c08.gif
	delay	12
	frame	data/chars/2swat1/c05.gif
	delay	9
	frame	data/chars/2swat1/c05.gif
	sound	data/sounds/gun2.wav
	frame	data/chars/2swat1/c06.gif
	@cmd	projectile 1 "bullet2" 60 1 85
	frame	data/chars/2swat1/c07.gif
	frame	data/chars/2swat1/c08.gif
	delay	20
	frame	data/chars/2swat1/c05.gif
	delay	14
	frame	data/chars/2swat1/c02.gif
	frame	data/chars/2swat1/c01.gif
		
anim	block
	loop	0
	delay	2
	offset	103 190
	bbox	79 74 54 114
	move	-8
	frame	data/chars/2swat1/block01.gif
	frame	data/chars/2swat1/block01.gif
	frame	data/chars/2swat1/block01.gif
	frame	data/chars/2swat1/block02.gif
	frame	data/chars/2swat1/block02.gif
	frame	data/chars/2swat1/block02.gif
	frame	data/chars/2swat1/block02.gif
	frame	data/chars/2swat1/block02.gif
	move	0
	delay	45
	frame	data/chars/2swat1/block02.gif
	delay	7
	bbox	0 0 0 0
	frame	data/chars/2swat1/block03.gif
	frame	data/chars/2swat1/block04.gif
	frame	data/chars/2swat1/block05.gif
	delay	9
	attack	100 95 90 30 9 1 0 0 30 0
	frame	data/chars/2swat1/block06.gif
	frame	data/chars/2swat1/block07.gif
	attack	0 0 0 0
	frame	data/chars/2swat1/block08.gif
	frame	data/chars/2swat1/block09.gif
	frame	data/chars/2swat1/block10.gif
		
anim	burn
	loop	0
	delay	25
	offset	100 189
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	78 98 30 45 5 1 0 0 13 0
	frame	data/chars/2swat1/fall1.gif
	delay	15
	attack	64 115 50 25 5 1 0 0 13 0
	frame	data/chars/2swat1/fall2.gif
	delay	500
	frame	data/chars/2swat1/fall3.gif
	attack	0 0 0 0
	bbox	58 175 85 15
	delay	15
	frame	data/chars/2swat1/fall4.gif
	frame	data/chars/2swat1/fall5.gif
	delay	230
	frame	data/chars/2swat1/fall4.gif
		
anim	fall
	loop	0
	delay	25
	offset	100 189
	bbox	0 0 0 0
	landframe	3
	attack	78 98 30 45 5 1 0 0 13 0
	frame	data/chars/2swat1/fall1.gif
	delay	15
	attack	64 115 50 25 5 1 0 0 13 0
	frame	data/chars/2swat1/fall2.gif
	delay	500
	frame	data/chars/2swat1/fall3.gif
	attack	0 0 0 0
	bbox	58 175 85 15
	delay	15
	frame	data/chars/2swat1/fall4.gif
	frame	data/chars/2swat1/fall5.gif
	delay	230
	frame	data/chars/2swat1/fall4.gif
		
anim	fall10
	loop	0
	delay	10
	offset	100 189
	bbox	80 80 50 75
	landframe	4
	attack	85 88 30 50 5 1 0 0 13 0
	frame	data/chars/2swat1/pain6.gif
	delay	40
	frame	data/chars/2swat1/pain7.gif
	delay	30
	bbox	71 125 63 30
	attack	64 125 45 25 5 1 0 0 13 0
	frame	data/chars/2swat1/fall2.gif
	delay	300
	bbox	77 130 67 35
	attack	0 0 0 0
	frame	data/chars/2swat1/fall3.gif
	bbox	58 167 85 15
	delay	15
	frame	data/chars/2swat1/fall4.gif
	frame	data/chars/2swat1/fall5.gif
	delay	230
	frame	data/chars/2swat1/fall4.gif
		
anim	fall11
	loop	0
	delay	20
	offset	100 189
	bbox	61 185 90 5	
	frame	data/chars/2swat1/pain12.gif
	delay	35
	frame	data/chars/2swat1/fall4.gif
		
anim	fall2
	loop	0
	delay	30
	offset	100 189
	bbox	0 0 0 0
	landframe	3
	attack	85 90 35 45 5 1 0 0 13 0
	frame	data/chars/2swat1/pain7.gif
	delay	10
	attack	64 118 55 25 5 1 0 0 13 0
	frame	data/chars/2swat1/fall2.gif
	attack	0 0 0 0
	delay	300
	frame	data/chars/2swat1/fall3.gif
	delay	15
	frame	data/chars/2swat1/fall4.gif
	frame	data/chars/2swat1/fall5.gif
	frame	data/chars/2swat1/fall4.gif
		
anim	fall4
	loop	0
	delay	6
	offset	100 189
	bbox	0 0 0 0
	jumpframe	0 1.2 1.5
	frame	data/chars/2swat1/pain8.gif
	frame	data/chars/2swat1/pain9.gif
	frame	data/chars/2swat1/pain10.gif
	@cmd	leaper 0 0.2 0
	frame	data/chars/2swat1/pain11.gif
	frame	data/chars/2swat1/fall4.gif
	frame	data/chars/2swat1/fall5.gif
	bbox	58 175 95 15
	frame	data/chars/2swat1/fall4.gif
		
anim	fall7
	delay	1000
	offset	105 130
	frame	data/chars/2swat1/slamck0.gif
	offset	100 110
	frame	data/chars/2swat1/slamck1.gif
	offset	106 130
	frame	data/chars/2swat1/slamck2.gif
	offset	115 125
	frame	data/chars/2swat1/slamck3.gif
	offset	125 125
	frame	data/chars/2swat1/slamck4.gif
	offset	108 122
	frame	data/chars/2swat1/slamck5.gif
	offset	106 155
	frame	data/chars/2swat1/slamck6.gif
	offset	125 140
	frame	data/chars/2swat1/slamck7.gif
	offset	120 105
	frame	data/chars/2swat1/slamck8.gif
	offset	100 130
	frame	data/chars/2swat1/slamck9.gif
	offset	105 130
	frame	data/chars/2swat1/slamck10.gif
	offset	105 130
	frame	data/chars/2swat1/slamck11.gif
	offset	115 125
	frame	data/chars/2swat1/slamck12.gif
	offset	115 125
	frame	data/chars/2swat1/slamck13.gif
	offset	115 125
	frame	data/chars/2swat1/slamck14.gif
	offset	115 125
	frame	data/chars/2swat1/slamck15.gif
		
anim	fall9
	loop	0
	delay	10
	offset	100 180
	bbox	0 0 0 0
	quakeframe	2 5 5
	landframe	2 dust
	attack	75 105 35 45 5 1 0 0 13 0
	frame	data/chars/2swat1/fall1.gif
	delay	350
	offset	100 180
	attack	75 125 45 35 5 1 0 0 13 0
	frame	data/chars/2swat1/fall2.gif
	delay	2
	offset	100 169
	move	-4
	frame	data/chars/2swat1/fall3.gif
	frame	data/chars/2swat1/fall3.gif
	attack	0 0 0 0
