name	 grenade2
health   0
speed    7
type     enemy
jumpheight 4
nolife   1

anim idle
	loop	0
	delay	9
	offset	11 16
	bbox	0 0 0 0
	attack  3 1 19 20 30 0 1 0 5
	move    15
	frame	data/chars/misc/eneshots/gre01.gif
	frame	data/chars/misc/eneshots/gre02.gif
	frame	data/chars/misc/eneshots/gre03.gif
	frame	data/chars/misc/eneshots/gre04.gif
	frame	data/chars/misc/eneshots/gre01.gif
	frame	data/chars/misc/eneshots/gre02.gif
	frame	data/chars/misc/eneshots/gre03.gif
	frame	data/chars/misc/eneshots/gre04.gif

anim attack1
	loop	0
	delay	3
	offset	48 121
	bbox	0 0 0 0
	sound   data/sounds/bang2.wav
	hitfx	data/sounds/fire.wav
	attack  30 90 36 39 30 0 1 0 5
	frame	data/chars/misc/eneshots/bom01.gif
	offset	49 126
	move    -10
	attack  35 73 31 57 30 0 1 0 5
	frame	data/chars/misc/eneshots/bom02.gif
	attack  27 40 44 90 30 0 1 0 5
	frame	data/chars/misc/eneshots/bom03.gif
	frame	data/chars/misc/eneshots/bom04.gif
	frame	data/chars/misc/eneshots/bom05.gif
	frame	data/chars/misc/eneshots/bom06.gif
	attack  0 0 0 0
	frame	data/chars/misc/eneshots/bom07.gif
	frame	data/chars/misc/eneshots/bom08.gif
	frame	data/chars/misc/eneshots/bom09.gif
	frame	data/chars/misc/eneshots/bom10.gif
	frame	data/chars/misc/eneshots/bom11.gif
	frame	data/chars/misc/eneshots/bom12.gif

anim death
	loop	0
	delay	3
	offset	48 121
	bbox	0 0 0 0
	sound   data/sounds/bang2.wav
	hitfx	data/sounds/fire.wav
	attack  30 90 36 39 30 0 1 0 5
	frame	data/chars/misc/eneshots/bom01.gif
	offset	49 126
	move    -10
	attack  35 73 31 57 30 0 1 0 5
	frame	data/chars/misc/eneshots/bom02.gif
	attack  27 40 44 90 30 0 1 0 5
	frame	data/chars/misc/eneshots/bom03.gif
	frame	data/chars/misc/eneshots/bom04.gif
	frame	data/chars/misc/eneshots/bom05.gif
	frame	data/chars/misc/eneshots/bom06.gif
	attack  0 0 0 0
	frame	data/chars/misc/eneshots/bom07.gif
	frame	data/chars/misc/eneshots/bom08.gif
	frame	data/chars/misc/eneshots/bom09.gif
	frame	data/chars/misc/eneshots/bom10.gif
	frame	data/chars/misc/eneshots/bom11.gif
	frame	data/chars/misc/eneshots/bom12.gif



