name		kyurifall
type		none
health		150
mp		100
speedf		2
jumpmove	1 0
running		25 2 1.5 1 0
jumpheight      3
holdblock 	1
noquake		1
falldie		1
nodieblink	2
makeinv		3
shadow		0
dust            zero
risetime        350
modelflag	1
weaploss	3
candamage	enemy obstacle npc
diesound        data/sounds/yurde.wav
atchain         1 1 2 3
icon            data/chars/0yuri/kfyuri/icon.gif
parrow          data/chars/misc/flash/flash/player1.gif  -36 -155
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -155
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -155
animationscript data/scripts/grabscript.c

palette    	data/chars/0yuri/kfyuri/map3.gif
alternatepal	data/chars/0yuri/kfyuri/map2.gif
alternatepal	data/chars/0yuri/kfyuri/map1.gif
alternatepal	data/chars/0yuri/kfyuri/mapal.gif
alternatepal	data/chars/0yuri/kfyuri/map4.gif
alternatepal	data/chars/0yuri/kfyuri/map5.gif
alternatepal	data/chars/0yuri/kfyuri/map6.gif
alternatepal	data/chars/0yuri/kfyuri/map7.gif




anim	attack1
	loop	0
	delay	4
	offset	135 195
	bbox	114 90 45 72
	fastattack	1
	frame	data/chars/0yuri/kfyuri/spw09a.gif
	frame	data/chars/0yuri/kfyuri/spw09.gif
	attack	135 112 84 30 12 0 0 0 7 0
	frame	data/chars/0yuri/kfyuri/spw08.gif
	frame	data/chars/0yuri/kfyuri/spw07.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/spw06a.gif
		
anim	attack2
	range	0 61
	loop	0
	delay	4
	offset	135 178
	bbox	114 75 45 60
	hitfx	data/sounds/beat5.wav
	frame	data/chars/0yuri/kfyuri/air/a05.gif
	frame	data/chars/0yuri/kfyuri/air/a06.gif
	attack2	130 98 90 35 25 0 0 0 12 0
	frame	data/chars/0yuri/kfyuri/air/a07.gif
	attack2	0 0 0 0
	frame	data/chars/0yuri/kfyuri/air/a08.gif
	frame	data/chars/0yuri/kfyuri/air/a09.gif
	frame	data/chars/0yuri/kfyuri/air/a10.gif
		
anim	attack3
	range	0 61
	loop	0
	delay	5
	offset	135 178
	bbox	114 90 45 60
	hitfx	data/sounds/beat5.wav
	frame	data/chars/0yuri/kfyuri/air/a11.gif
	frame	data/chars/0yuri/kfyuri/air/a12.gif
	attack	130 82 90 50 50 1 0 0 50 0
	dropv	2 2 -0.5
	frame	data/chars/0yuri/kfyuri/air/a13.gif
	frame	data/chars/0yuri/kfyuri/air/a14.gif
	frame	data/chars/0yuri/kfyuri/air/a15.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/air/a16.gif
	frame	data/chars/0yuri/kfyuri/air/a17.gif
		
anim	attackdown
	loop	0
	delay	5
	offset	135 178
	bbox	0 0 0 0
	jumpframe	1 1.5 0 1.5
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
		
anim	attackup
	loop	0
	delay	5
	offset	135 178
	bbox	0 0 0 0
	jumpframe	1 1.5 0 -1.5
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
		
anim	block
	loop	1 2 5
	delay	8
	offset	135 178
	bbox	119 90 45 50
	frame	data/chars/0yuri/kfyuri/air/blk00.gif
	frame	data/chars/0yuri/kfyuri/air/blk01.gif
	frame	data/chars/0yuri/kfyuri/air/blk02.gif
	frame	data/chars/0yuri/kfyuri/air/blk01.gif
	frame	data/chars/0yuri/kfyuri/air/blk02.gif
	frame	data/chars/0yuri/kfyuri/air/blk01.gif
	frame	data/chars/0yuri/kfyuri/air/blk02.gif

anim	death
	loop	0
	delay	7
	offset	145 205
	bbox	0 0 0 0
	movez	4
	frame	data/chars/0yuri/kfyuri/fall5.gif
	frame	data/chars/0yuri/kfyuri/fall6.gif
	frame	data/chars/0yuri/kfyuri/fall7.gif
	frame	data/chars/0yuri/kfyuri/fall8.gif
	frame	data/chars/0yuri/kfyuri/fall5.gif #4
	frame	data/chars/0yuri/kfyuri/fall6.gif
	frame	data/chars/0yuri/kfyuri/fall7.gif
	frame	data/chars/0yuri/kfyuri/fall8.gif
	@cmd	looper 4 6
	frame	data/chars/0yuri/kfyuri/fall5.gif
	frame	data/chars/0yuri/kfyuri/fall6.gif
	movez	0
	frame	data/chars/0yuri/kfyuri/fall7.gif
	frame	data/chars/0yuri/kfyuri/fall8.gif
	movez	-4
	frame	data/chars/0yuri/kfyuri/fall5.gif
	frame	data/chars/0yuri/kfyuri/fall6.gif
	frame	data/chars/0yuri/kfyuri/fall7.gif
	frame	data/chars/0yuri/kfyuri/fall8.gif
	frame	data/chars/0yuri/kfyuri/fall5.gif #16
	frame	data/chars/0yuri/kfyuri/fall6.gif
	frame	data/chars/0yuri/kfyuri/fall7.gif
	frame	data/chars/0yuri/kfyuri/fall8.gif
	@cmd	looper 16 6
	frame	data/chars/0yuri/kfyuri/fall5.gif
	frame	data/chars/0yuri/kfyuri/fall6.gif
	frame	data/chars/0yuri/kfyuri/fall7.gif
