name	1bah
type	none
shadow	5


alternatepal	data/bgs/25lvl/bck/ALTbah1.gif




anim	idle
	loop	1
	delay	10
	offset	50 115
	jumpframe 1 3 0 0 1
	landframe 8
	frame	data/bgs/25lvl/bck/bah1.gif
	frame	data/bgs/25lvl/bck/bah2.gif
	frame	data/bgs/25lvl/bck/bah2.gif
	frame	data/bgs/25lvl/bck/bah3.gif
	frame	data/bgs/25lvl/bck/bah3.gif
	frame	data/bgs/25lvl/bck/bah2.gif
	frame	data/bgs/25lvl/bck/bah2.gif
	delay	80
	frame	data/bgs/25lvl/bck/bah1.gif
	delay	10
	frame	data/bgs/25lvl/bck/bah1.gif
		
#|edited by openBor Stats v 0.53
		
