name          rodder2
type          enemy
subtype       chase
health        90
speed         19
jumpheight     6
jumpmove       0  4
throw         5 2
throwdamage   18
shadow        0
noquake       1
falldie	      2
nodieblink    1
gfxshadow     1
icon	data/chars/1streetguy4/icon.gif
icondie	data/chars/1streetguy4/icond.gif
dust            dust

projectilehit enemy obstacle
diesound      data/sounds/die4.wav
animationscript data/scripts/escript.c


palette		   data/chars/1streetguy4/mapal.gif
alternatepal       data/chars/1streetguy4/map1.gif
alternatepal       data/chars/1streetguy4/map2.gif
alternatepal       data/chars/1streetguy4/map3.gif
alternatepal       data/chars/1streetguy4/map4.gif


load	grenade3


anim	jump
	loop	0
	delay	20
	offset	103 189
	range	30 90
	bbox	0 0 0 0
	frame	data/chars/1streetguy4/rise2.gif
	delay	15
	frame	data/chars/1streetguy4/ju01.gif
	frame	data/chars/1streetguy4/ju02.gif



anim	jumpland
	loop	0
	delay	12
	offset	103 189
	bbox	83 95 38 96
	frame	data/chars/1streetguy4/rise2.gif



anim	attack1
	range	10 61
	loop	0
	delay	30
	offset	103 189
	bbox	83 95 38 96
	hitfx	data/sounds/beat2.wav
	frame	data/chars/1streetguy4/idle01.gif
	delay	6
	frame	data/chars/1streetguy4/b101.gif
	frame	data/chars/1streetguy4/b102.gif
	frame	data/chars/1streetguy4/b103.gif
	delay	13
	attack2	97 110 69 28 11 0 0 0 8
	frame	data/chars/1streetguy4/b104.gif
	delay	8
	attack2	0 0 0 0
	frame	data/chars/1streetguy4/b102.gif
	frame	data/chars/1streetguy4/b100.gif
		
anim	attack2
	range	62 90
	loop	0
	delay	30
	offset	103 189
	bbox	79 97 50 91
	jumpframe	1 2 1 0
	landframe	8
	hitfx	data/sounds/beat5.wav
	frame	data/chars/1streetguy4/idle01.gif
	delay	13
	frame	data/chars/1streetguy4/rise2.gif
	delay	7
	frame	data/chars/1streetguy4/ju01.gif
	sound	data/sounds/bguyb05.wav
	frame	data/chars/1streetguy4/ju02.gif
	frame	data/chars/1streetguy4/ju03.gif
	delay	15
	attack2	104 124 62 31 14 0 0 0 38
	frame	data/chars/1streetguy4/ju04.gif
	delay	8
	attack2	0 0 0 0
	frame	data/chars/1streetguy4/ju03.gif
	delay	130
	frame	data/chars/1streetguy4/ju01.gif
	delay	11
	frame	data/chars/1streetguy4/rise2.gif
	delay	8
	frame	data/chars/1streetguy4/rise3.gif
		
anim	burn
	loop	0
	delay	25
	offset	103 189
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	78 98 30 45 5 1 0 0 13 30
	frame	data/chars/1streetguy4/fall1.gif
	delay	15
	attack	64 130 50 25 5 1 0 0 13 30
	frame	data/chars/1streetguy4/fall2.gif
	delay	500
	frame	data/chars/1streetguy4/fall3.gif
	attack	0 0 0 0
	bbox	58 175 85 15
	delay	15
	frame	data/chars/1streetguy4/fall4.gif
	frame	data/chars/1streetguy4/fall5.gif
	delay	50
	frame	data/chars/1streetguy4/fall4.gif
		
anim	fall
	loop	0
	delay	25
	offset	103 189
	bbox	0 0 0 0
	landframe	3
	attack	78 98 30 45 5 1 0 0 13 30
	frame	data/chars/1streetguy4/fall1.gif
	delay	15
	attack	64 130 50 25 5 1 0 0 13 30
	frame	data/chars/1streetguy4/fall2.gif
	delay	500
	frame	data/chars/1streetguy4/fall3.gif
	attack	0 0 0 0
	bbox	58 175 85 15
	delay	15
	frame	data/chars/1streetguy4/fall4.gif
	frame	data/chars/1streetguy4/fall5.gif
	delay	50
	frame	data/chars/1streetguy4/fall4.gif
		
anim	fall10
	loop	0
	delay	10
	offset	103 189
	bbox	80 80 50 75
	landframe	4
	attack	85 88 30 50 5 1 0 0 13 30
	frame	data/chars/1streetguy4/pain6.gif
	delay	40
	frame	data/chars/1streetguy4/pain7.gif
	delay	30
	bbox	71 125 63 30
	attack	64 125 45 25 5 1 0 0 13 30
	frame	data/chars/1streetguy4/fall2.gif
	delay	300
	bbox	77 130 67 35
	attack	0 0 0 0
	frame	data/chars/1streetguy4/fall3.gif
	bbox	58 167 85 15
	delay	15
	frame	data/chars/1streetguy4/fall4.gif
	frame	data/chars/1streetguy4/fall5.gif
	delay	50
	frame	data/chars/1streetguy4/fall4.gif
		
anim	fall11
	loop	0
	delay	20
	offset	108 189
	bbox	61 185 90 5	
	frame	data/chars/1streetguy4/pain12.gif
	delay	35
	frame	data/chars/1streetguy4/fall4.gif
		
anim	fall2
	loop	0
	delay	30
	offset	103 189
	bbox	0 0 0 0
	landframe	3
	attack	85 90 35 45 5 1 0 0 13 30
	frame	data/chars/1streetguy4/pain6.gif
	delay	10
	attack	64 125 55 25 5 1 0 0 13 30
	frame	data/chars/1streetguy4/fall2.gif
	attack	0 0 0 0
	delay	300
	frame	data/chars/1streetguy4/fall3.gif
	delay	15
	bbox	58 175 85 15
	frame	data/chars/1streetguy4/fall4.gif
	frame	data/chars/1streetguy4/fall5.gif
	frame	data/chars/1streetguy4/fall4.gif
		
anim	fall4
	loop	0
	delay	6
	offset	108 189
	bbox	0 0 0 0
	jumpframe	0 1.2 1.5
	frame	data/chars/1streetguy4/pain8.gif
	frame	data/chars/1streetguy4/pain9.gif
	frame	data/chars/1streetguy4/pain10.gif
	@cmd	leaper 0 0.2 0
	frame	data/chars/1streetguy4/pain11.gif
	frame	data/chars/1streetguy4/fall4.gif
