name	 cndlamp
health	 5
nolife  1
noatflash 1
flash     Flash5
type	 obstacle
shadow	 6
animationscript data/scripts/escript.c


load	potfire




anim	fall
	delay	35
	offset	27 75
	sound	data/sounds/glass.wav
	platform   1 1 1 1 1 1 1 1
	@cmd	spawn01 "potfire" 1 1 1
	frame	data/chars/misc/xenpot/lamp03.gif
	delay	20
	frame	data/chars/misc/xenpot/lamp04.gif
		
anim	idle
	loop	1
	delay	11
	offset	27 110
	bbox	5 20 45 85
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/misc/xenpot/lamp01.gif
	frame	data/chars/misc/xenpot/lamp02.gif
	frame	data/chars/misc/xenpot/lamp00.gif
		
#|edited by openBor Stats v 0.53
		
