name		crocker
type		enemy
health		250
mp		100
speedf		1.7
jumpheight	0
nolife          1
noquake		1
falldie		1
nodieblink	2
makeinv		3
gfxshadow	1
nodrop		1
facing          3
nomove          0 1
antigrab	10
hostile				player npc
candamage			player npc
diesound        data/sounds/bgdie7.wav
animationscript data/scripts/escript.c




load	bike5crash
load	explosion1
load	frag

alternatepal       data/chars/2bike7/map1.gif
alternatepal       data/chars/2bike7/map2.gif
alternatepal       data/chars/2bike7/map3.gif
alternatepal       data/chars/2bike7/map4.gif





anim	attack1
	range	25 260
	loop	0
	delay	5
	offset	145 150
	bbox	95 55 80 82
	frame	data/chars/2bike7/biker05.gif
	frame	data/chars/2bike7/biker06.gif
	frame	data/chars/2bike7/biker05.gif
	sound	data/sounds/grab.wav
	frame	data/chars/2bike7/biker06.gif
	frame	data/chars/2bike7/biker05.gif
	frame	data/chars/2bike7/biker06.gif
	frame	data/chars/2bike7/biker03.gif
	frame	data/chars/2bike7/biker04.gif
	frame	data/chars/2bike7/biker03.gif
	frame	data/chars/2bike7/biker04.gif
	frame	data/chars/2bike7/biker03.gif
	frame	data/chars/2bike7/biker04.gif
	frame	data/chars/2bike7/biker03.gif
	frame	data/chars/2bike7/biker04.gif
	frame	data/chars/2bike7/biker07.gif
	frame	data/chars/2bike7/biker08.gif
	frame	data/chars/2bike7/biker07.gif
	frame	data/chars/2bike7/biker08.gif
	frame	data/chars/2bike7/biker07.gif
	frame	data/chars/2bike7/biker08.gif
	sound	data/sounds/gun.wav
	frame	data/chars/2bike7/xbiker01.gif
	forcedirection 2
	attack	140 70 245 24 6 1 0 0 11 0
	frame	data/chars/2bike7/xbiker02.gif
	attack	0 0 0 0
	frame	data/chars/2bike7/xbiker03.gif
	frame	data/chars/2bike7/biker08.gif
	frame	data/chars/2bike7/xbiker01.gif
	frame	data/chars/2bike7/xbiker02.gif
	frame	data/chars/2bike7/xbiker03.gif
	frame	data/chars/2bike7/biker08.gif
	sound	data/sounds/gun.wav
	frame	data/chars/2bike7/xbiker01.gif
	attack	140 70 245 14 6 1 0 0 11 0
	frame	data/chars/2bike7/xbiker02.gif
	attack	0 0 0 0
	frame	data/chars/2bike7/xbiker03.gif
	frame	data/chars/2bike7/biker08.gif
	frame	data/chars/2bike7/xbiker01.gif
	frame	data/chars/2bike7/xbiker02.gif
	frame	data/chars/2bike7/xbiker03.gif
	frame	data/chars/2bike7/biker08.gif
	sound	data/sounds/gun.wav
	frame	data/chars/2bike7/xbiker01.gif
	attack	140 70 245 14 6 1 0 0 11 0
	frame	data/chars/2bike7/xbiker02.gif
	attack	0 0 0 0
	frame	data/chars/2bike7/xbiker03.gif
	frame	data/chars/2bike7/biker08.gif
	frame	data/chars/2bike7/xbiker01.gif
	frame	data/chars/2bike7/xbiker02.gif
	frame	data/chars/2bike7/xbiker03.gif
	frame	data/chars/2bike7/biker08.gif
	sound	data/sounds/gun.wav
	frame	data/chars/2bike7/xbiker01.gif
	attack	140 70 245 14 6 1 0 0 11 0
	frame	data/chars/2bike7/xbiker02.gif
	attack	0 0 0 0
	frame	data/chars/2bike7/xbiker03.gif
	frame	data/chars/2bike7/biker08.gif
	frame	data/chars/2bike7/biker07.gif
	frame	data/chars/2bike7/biker08.gif
	frame	data/chars/2bike7/biker03.gif
	frame	data/chars/2bike7/biker04.gif
	frame	data/chars/2bike7/biker03.gif
	frame	data/chars/2bike7/biker04.gif
	frame	data/chars/2bike7/biker05.gif
	frame	data/chars/2bike7/biker06.gif
	frame	data/chars/2bike7/biker05.gif
	frame	data/chars/2bike7/biker06.gif
		
anim	attack2
	range	-268 -40
	loop	0
	delay	5
	offset	145 150
	bbox	95 55 80 82
	frame	data/chars/2bike7/biker05.gif
	frame	data/chars/2bike7/biker06.gif
	frame	data/chars/2bike7/biker05.gif
	sound	data/sounds/grab.wav
	frame	data/chars/2bike7/biker06.gif
	frame	data/chars/2bike7/biker05.gif
	frame	data/chars/2bike7/biker06.gif
	frame	data/chars/2bike7/biker09.gif
	frame	data/chars/2bike7/biker10.gif
	frame	data/chars/2bike7/biker09.gif
	frame	data/chars/2bike7/biker10.gif
	frame	data/chars/2bike7/biker09.gif
	frame	data/chars/2bike7/biker10.gif
	frame	data/chars/2bike7/biker09.gif
	frame	data/chars/2bike7/biker10.gif
	offset	181 150
	frame	data/chars/2bike7/biker11.gif
	frame	data/chars/2bike7/biker12.gif
	frame	data/chars/2bike7/biker11.gif
	frame	data/chars/2bike7/biker12.gif
	frame	data/chars/2bike7/biker11.gif
	frame	data/chars/2bike7/biker12.gif
	sound	data/sounds/gun.wav
	frame	data/chars/2bike7/xbiker04.gif
	forcedirection 2
	attack2	-190 75 245 24 6 1 0 0 11 0
	frame	data/chars/2bike7/xbiker05.gif
	attack2	0 0 0 0
	frame	data/chars/2bike7/xbiker06.gif
	frame	data/chars/2bike7/biker12.gif
	frame	data/chars/2bike7/xbiker04.gif
	frame	data/chars/2bike7/xbiker05.gif
	frame	data/chars/2bike7/xbiker06.gif
	frame	data/chars/2bike7/xbiker07.gif
	sound	data/sounds/gun.wav
	frame	data/chars/2bike7/xbiker04.gif
	attack2	-190 75 245 14 6 1 0 0 11 0
	frame	data/chars/2bike7/xbiker05.gif
	attack2	0 0 0 0
	frame	data/chars/2bike7/xbiker06.gif
	frame	data/chars/2bike7/xbiker07.gif
	frame	data/chars/2bike7/xbiker04.gif
	frame	data/chars/2bike7/xbiker05.gif
	frame	data/chars/2bike7/xbiker06.gif
	sound	data/sounds/gun.wav
	frame	data/chars/2bike7/xbiker07.gif
	frame	data/chars/2bike7/xbiker04.gif
	attack2	-190 75 245 14 6 1 0 0 11 0
	frame	data/chars/2bike7/xbiker05.gif
	attack2	0 0 0 0
	frame	data/chars/2bike7/xbiker06.gif
	frame	data/chars/2bike7/xbiker07.gif
	frame	data/chars/2bike7/xbiker04.gif
