name	ggirl8
type	none
shadow	6
setlayer	1000



alternatepal	data/bgs/14lvl/roomstuff/9ggirl/9ggirlALT.gif


anim	idle
	loop	1
	delay	12
	offset	40 120
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl1.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl2.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl3.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl4.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl5.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl6.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl7.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl8.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl9.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl10.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl11.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl12.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl13.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl14.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl15.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl16.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl17.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl18.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl19.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl20.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl21.gif

	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl23.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl24.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl17.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl14.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl12.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl10.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl3.gif
	frame	data/bgs/14lvl/roomstuff/9ggirl/9ggirl2.gif
		
#|edited by openBor Stats v 0.53
		
