name	byohand
type	npc
speed   14
falldie	1
lifespan  	14
gfxshadow	1
nodieblink	3
subject_to_wall 1
hostile		player
diesound      data/sounds/empty.wav
animationscript data/scripts/escript.c



anim	backwalk
	loop	1
	delay	12
	offset	105 130
	bbox	0 0 0 0
	frame	data/chars/misc/runpeople/prisoner/byohad06.gif
	frame	data/chars/misc/runpeople/prisoner/byohad07.gif
	frame	data/chars/misc/runpeople/prisoner/byohad08.gif
	sound	data/sounds/bed.wav
	frame	data/chars/misc/runpeople/prisoner/byohad09.gif
	frame	data/chars/misc/runpeople/prisoner/byohad10.gif

		
anim	death
	loop	0
	delay	12
	offset	105 130
	bbox	0 0 0 0
	@cmd	dasher -1.2 0 0.1
	frame	data/chars/misc/runpeople/prisoner/byohad06.gif
	frame	data/chars/misc/runpeople/prisoner/byohad07.gif
	frame	data/chars/misc/runpeople/prisoner/byohad08.gif
	sound	data/sounds/bed.wav
	frame	data/chars/misc/runpeople/prisoner/byohad09.gif
	frame	data/chars/misc/runpeople/prisoner/byohad10.gif
	frame	data/chars/misc/runpeople/prisoner/byohad06.gif
	frame	data/chars/misc/runpeople/prisoner/byohad07.gif
	frame	data/chars/misc/runpeople/prisoner/byohad08.gif
	sound	data/sounds/bed.wav
	frame	data/chars/misc/runpeople/prisoner/byohad09.gif
	frame	data/chars/misc/runpeople/prisoner/byohad10.gif
	@cmd	looper 5 5
	delay	6
	frame	data/chars/misc/runpeople/prisoner/byohad06.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad07.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad08.gif
	sound	data/sounds/bed.wav
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad09.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad10.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad06.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad07.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad08.gif
	sound	data/sounds/bed.wav
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad09.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad10.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad06.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad07.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad08.gif
	sound	data/sounds/bed.wav
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad09.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
	frame	data/chars/misc/runpeople/prisoner/byohad10.gif
	frame	data/chars/misc/runpeople/prisoner/byohad11.gif
		
anim	idle
	loop	1
	delay	12
	offset	75 130
	bbox	0 0 0 0
	frame	data/chars/misc/runpeople/prisoner/byohad02.gif
	frame	data/chars/misc/runpeople/prisoner/byohad02.gif
	frame	data/chars/misc/runpeople/prisoner/byohad02.gif



anim	walk
	loop	1
	delay	12
	offset	75 130
	bbox	0 0 0 0
	frame	data/chars/misc/runpeople/prisoner/byohad01.gif
	frame	data/chars/misc/runpeople/prisoner/byohad02.gif
	frame	data/chars/misc/runpeople/prisoner/byohad03.gif
	sound	data/sounds/bed.wav
	frame	data/chars/misc/runpeople/prisoner/byohad04.gif
	frame	data/chars/misc/runpeople/prisoner/byohad05.gif


	
anim	spawn
	loop	0
	delay	17
	offset	75 130
	bbox	0 0 0 0
	jumpframe	0 3.5 0
	landframe	3 dust
	frame	data/chars/misc/runpeople/prisoner/byohad01.gif
	frame	data/chars/misc/runpeople/prisoner/byohad02.gif
	delay	300
	frame	data/chars/misc/runpeople/prisoner/byohad02.gif
	delay	17
	frame	data/chars/misc/runpeople/prisoner/byohad03.gif
	frame	data/chars/misc/runpeople/prisoner/byohad03.gif
		
#|edited by openBor Stats v 0.53
		
