name	  plnsmk1
type	  trap
facing	  2
alpha	  1
subject_to_gravity 0







anim	idle
	delay	5
	loop	1
	offset	60 30
	#drawmethod	250 250 0 0 0 1
	frame	data/chars/misc/traps/plane1/effect/smk07.gif
	attack	0 140 160 160 1 1 1 1 10 15
	frame	data/chars/misc/traps/plane1/effect/smk04.gif
	frame	data/chars/misc/traps/plane1/effect/empty.gif
	frame	data/chars/misc/traps/plane1/effect/smk05.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/plane1/effect/smk06.gif
		
#|edited by openBor Stats v 0.53
		
