name          sethwp4
type          enemy
aimove        Avoid
health        200
speed         3
nolife		1
jumpheight    6
jumpmove      0  4
throw         5 2
throwdamage   18
shadow        0
noquake       1
blockodds     1
falldie	      2
nodieblink    1
gfxshadow     1
escapehits    3
offscreenkill 	10000
dust            dust
projectilehit enemy obstacle
diesound      data/sounds/die1.wav
animationscript data/scripts/escript.c

palette		data/chars/beyond/3seth/mpal.gif


load	morph

		
anim	death
	loop	0
	delay	12
	offset	108 189
	bbox	0 0 0 0
	@cmd	changeopenborvariant "slowmotion" 1
	frame	data/chars/beyond/3seth/fall4.gif
	@cmd	damage_all_enemies 600 1 1
	frame	data/chars/beyond/3seth/rise1.gif
	frame	data/chars/beyond/3seth/rise2.gif
	frame	data/chars/beyond/3seth/rise3.gif
	frame	data/chars/beyond/3seth/rise4.gif
	frame	data/chars/beyond/3seth/idle02.gif
	frame	data/chars/beyond/3seth/idle03.gif
	frame	data/chars/beyond/3seth/det01.gif
	delay	6

	frame	data/chars/beyond/3seth/det02.gif #8
	frame	data/chars/beyond/3seth/det03.gif
	frame	data/chars/beyond/3seth/det04.gif
	sound	data/sounds/seth2.wav
	frame	data/chars/beyond/3seth/det02.gif
	frame	data/chars/beyond/3seth/det03.gif
	frame	data/chars/beyond/3seth/det04.gif
	@cmd	looper 8 4
	frame	data/chars/beyond/3seth/det02.gif
	sound	data/sounds/seth2.wav
	frame	data/chars/beyond/3seth/det03.gif
	drawmethod 256 256 0 0 0 1 -1
	frame	data/chars/beyond/3seth/det04.gif
	frame	data/chars/beyond/3seth/det05.gif #17
	sound	data/sounds/seth2.wav
	frame	data/chars/beyond/3seth/det06.gif
	frame	data/chars/beyond/3seth/det07.gif
	frame	data/chars/beyond/3seth/det05.gif
	sound	data/sounds/seth2.wav
	frame	data/chars/beyond/3seth/det06.gif
	frame	data/chars/beyond/3seth/det07.gif
	@cmd	looper 17 4
	frame	data/chars/beyond/3seth/det05.gif
	frame	data/chars/beyond/3seth/det06.gif
	frame	data/chars/beyond/3seth/det07.gif
	nodrawmethod
	delay	12
	@cmd	leaper 0 2 0
	frame	data/chars/beyond/3seth/fall1.gif
	frame	data/chars/beyond/3seth/fall2.gif
	frame	data/chars/beyond/3seth/fall3.gif
	sound	data/sounds/fall.wav
	frame	data/chars/beyond/3seth/fall4.gif
