name	 redchair2
type	 obstacle
health	 20
nolife  1
noatflash 1
flash     Flash
shadow	6
candamage	npc
diesound   data/sounds/wood.wav



anim	fall
	delay	20
	offset	30 83
	bbox	0 0 0 0
	frame	data/chars/misc/object/bchair02.gif
	frame	data/chars/misc/object/bchair03.gif
	frame	data/chars/misc/object/bchair04.gif
	frame	data/chars/misc/object/bchair05.gif
		
anim	idle
	delay	1000
	offset	30 83
	bbox	5 -5 65 90
	platform	1 1 1 1 1 1 1 1
	frame	data/chars/misc/object/bchair01.gif
		
anim	spawn
	delay	550
	offset	30 83
	bbox	0 0 0 0
	hitfx	data/sounds/empty.wav
	frame	data/chars/misc/object/bchair01.gif
	frame	data/chars/misc/object/bchair01.gif
	delay	15
	frame	data/chars/misc/object/bchair01.gif
	attack	250 20 150 50 12 0 1 1 0 50
	frame	data/chars/misc/object/bchair01.gif
	frame	data/chars/misc/object/bchair01.gif
	attack	0 0 0 0
	frame	data/chars/misc/object/bchair01.gif
		
#|edited by openBor Stats v 0.53
		
