name	   litesofa
health	   45
noatflash  1
flash      flash5
type	   obstacle
subject_to_wall 	0
subject_to_platform	0
diesound   data/sounds/wood.wav




alternatepal	data/chars/misc/object/litesofamap1.gif
alternatepal	data/chars/misc/object/litesofamap2.gif





anim	fall
	loop	0
	delay	85
	offset	50 69
	frame	data/chars/misc/object/litesofa2.gif
		
anim	idle
	delay	300
	offset	55 75
	bbox	0 4 110 80
	platform	-20 85 30 30 110 110 20 40
	frame	data/chars/misc/object/litesofa.gif
		
#|edited by openBor Stats v 0.53
		
