name		johnnygun3
type		enemy
health		100
speed		12
jumpheight	0
nolife          1
noquake		1
makeinv		3
falldie		1
nodieblink	1
facing		3
nomove		1
shadow		0
nodrop		1
antigrab	10
hostile		player
offscreenkill 	5000
lifespan  	63
setlayer  -500
subject_to_platform 0
subject_to_wall 0
subject_to_obstacle 0
subject_to_hole 0
subject_to_minz 0
subject_to_maxz 0

animationscript data/scripts/escript.c


load	jonysmtlk3
load	steam
load	planeatck1
load	jmissle1






anim	death
	loop	0
	delay	280
	offset	105 190
	bbox	0 0 0 0
	frame	data/chars/3johnny/mchgun/mgun08.gif
	delay	14
	frame	data/chars/3johnny/mchgun/mgun08.gif
	@cmd	killgun 2 0
	frame	data/chars/3johnny/mchgun/mgun08.gif
	frame	data/chars/3johnny/mchgun/mgun08.gif
	@cmd	killgun 1 0
	frame	data/chars/3johnny/mchgun/mgun08.gif
	frame	data/chars/3johnny/mchgun/mgun08.gif
	frame	data/chars/3johnny/mchgun/mgun07.gif
	frame	data/chars/3johnny/mchgun/mgun06.gif
	frame	data/chars/3johnny/mchgun/mgun05.gif
	delay	50
	frame	data/chars/3johnny/mchgun/mgun01.gif

	
	delay	20
	frame	data/chars/3johnny/mchgun/out04.gif
	frame	data/chars/3johnny/mchgun/out03.gif
	frame	data/chars/3johnny/mchgun/out02.gif

	delay	120
	frame	data/chars/3johnny/mchgun/out01.gif
	delay	12
	frame	data/chars/3johnny/mchgun/out02.gif
	frame	data/chars/3johnny/mchgun/out03.gif
	frame	data/chars/3johnny/mchgun/out04.gif
	frame	data/chars/3johnny/mchgun/out03.gif
	
	delay	2
	offset	105 195
	frame	data/chars/3johnny/mchgun/out05.gif
	offset	105 200
	frame	data/chars/3johnny/mchgun/out05.gif
	offset	105 205
	frame	data/chars/3johnny/mchgun/out05.gif

	offset	105 210
	frame	data/chars/3johnny/mchgun/out06.gif
	offset	105 215
	frame	data/chars/3johnny/mchgun/out06.gif
	offset	105 220
	frame	data/chars/3johnny/mchgun/out06.gif

	offset	105 225
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 230
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 235
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 240
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 245
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 250
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 255
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 260
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 265
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 270
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 275
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 280
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 285
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 290
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 295
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 300
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 305
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 310
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 315
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 320
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 325
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 330
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 335
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 340
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 345
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 350
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 355
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 360
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 365
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 370
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 375
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 380
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 385
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 390
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 395
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 400
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 405
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 410
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 415
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 420
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 425
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 430
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 435
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 440
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 445
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 450
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 455
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 460
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 465
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 470
	frame	data/chars/3johnny/mchgun/out07.gif
	offset	105 470
	frame	data/chars/3johnny/mchgun/empty.gif
	delay	50
	frame	data/chars/3johnny/mchgun/empty.gif
	frame	data/chars/3johnny/mchgun/empty.gif

		
anim	idle
	loop	1
	delay	3
	offset	105 190
	bbox	0 0 0 0
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	sound	data/sounds/planegun.wav
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif
	frame	data/chars/3johnny/mchgun/xmgun01.gif
	frame	data/chars/3johnny/mchgun/xmgun02.gif
	frame	data/chars/3johnny/mchgun/xmgun03.gif
	frame	data/chars/3johnny/mchgun/xmgun04.gif

		
anim	spawn
	loop	0
	delay	430
	offset	105 190
	bbox	0 0 0 0
	quakeframe	3 85 7
@script
if(frame==1)
{
  changeentityproperty(getlocalvar("self"), "type", openborconstant("TYPE_OBSTACLE"));
}
	@end_script	
	frame	data/chars/3johnny/mchgun/mgun01.gif
	delay	7
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
	frame	data/chars/3johnny/mchgun/mgun02.gif
	frame	data/chars/3johnny/mchgun/mgun01.gif
