name	byodoor1
type	 obstacle
health	 90
nolife  1
noatflash 1
flash     flash5
setlayer	300
offscreenkill 	15000
subject_to_obstacle 	0
subject_to_wall 	0
subject_to_platform	0
offscreenkill 	15000 
animationscript data/scripts/escript.c

alternatepal	data/bgs/beyond/door/bdm1.gif






anim	fall
	delay	30
	offset	75 190
	sound	data/sounds/klunk.wav
	frame	data/bgs/beyond/door/bdoor02.gif
	frame	data/bgs/beyond/door/bdoor03.gif

		
anim	follow1
	loop	1
	delay	30
	offset	95 300
	bbox	33 100 110 250 20
	platform	50 370 -30 -30 100 100 140 350
	frame	data/bgs/beyond/door/bdoor04.gif
	delay	6
	frame	data/bgs/beyond/door/bdoor05.gif
	frame	data/bgs/beyond/door/bdoor06.gif
	frame	data/bgs/beyond/door/bdoor07.gif
	frame	data/bgs/beyond/door/bdoor06.gif
	frame	data/bgs/beyond/door/bdoor05.gif

anim	follow10
	loop	1
	delay	6
	offset	95 300
	bbox	0 0 0 0 0
	drawmethod 256 256 1 0 0 1 2
	platform	50 370 -30 -30 100 100 140 350
	frame	data/bgs/beyond/door/bdoor10.gif
	@cmd	layer -1
	frame	data/bgs/beyond/door/bdoor11.gif
	frame	data/bgs/beyond/door/bdoor12.gif
	sound	data/sounds/super1.wav
	frame	data/bgs/beyond/door/bdoor13.gif
	frame	data/bgs/beyond/door/bdoor14.gif
	frame	data/bgs/beyond/door/bdoor15.gif
	frame	data/bgs/beyond/door/bdoor16.gif
	frame	data/bgs/beyond/door/bdoor17.gif
	frame	data/bgs/beyond/door/bdoor16.gif
	frame	data/bgs/beyond/door/bdoor15.gif
	frame	data/bgs/beyond/door/bdoor14.gif
	frame	data/bgs/beyond/door/bdoor13.gif
	frame	data/bgs/beyond/door/bdoor12.gif
	@cmd	anichange "ANI_FOLLOW2"
	frame	data/bgs/beyond/door/bdoor11.gif


anim	follow2
	loop	1
	delay	5
	offset	95 300
	bbox	0 0 0 0 0
	drawmethod 256 256 1 0 0 1 2
	platform	50 370 -30 -30 100 100 140 350
	frame	data/bgs/beyond/door/bdoor10.gif
	frame	data/bgs/beyond/door/bdoor11.gif
	frame	data/bgs/beyond/door/bdoor12.gif
	frame	data/bgs/beyond/door/bdoor13.gif
	frame	data/bgs/beyond/door/bdoor14.gif
	frame	data/bgs/beyond/door/bdoor15.gif
	frame	data/bgs/beyond/door/bdoor16.gif
	frame	data/bgs/beyond/door/bdoor17.gif
	frame	data/bgs/beyond/door/bdoor16.gif
	frame	data/bgs/beyond/door/bdoor15.gif
	frame	data/bgs/beyond/door/bdoor14.gif
	frame	data/bgs/beyond/door/bdoor13.gif
	frame	data/bgs/beyond/door/bdoor12.gif
	frame	data/bgs/beyond/door/bdoor11.gif


		
anim	idle
	loop	0
	delay	10
	offset	75 190
	bbox	-10 15 135 235 55
	platform	40 290 -30 -30 90 90 140 350
	frame	data/bgs/beyond/door/bdoor01.gif
		
anim	spawn
	loop	0
	delay	10
	offset	75 190
	frame	data/bgs/beyond/door/bdoor01.gif
	frame	data/bgs/beyond/door/bdoor01.gif
		
#|edited by openBor Stats v 0.53
		
