name          jackpc
type          npc
aimove	      Avoid	
health        99000
speed         19
jumpheight    5
cantgrab      1
nolife        1
nodieblink    1
gfxshadow     1
aggression    50
subject_to_wall		0
subject_to_hole		0
offscreenkill 	40000
candamage     enemy
hostile       enemy
dust            dust
projectilehit enemy obstacle
diesound      data/sounds/jack6.wav
animationscript data/scripts/escript.c

load	jacksmtlk
load	1up




anim	attack1
	range	0 220
	rangez	-35 35
	loop	0
	delay	9
	offset	108 190
	bbox	0 0 0 0
	frame	data/chars/3jack/xpnc02.gif
	frame	data/chars/3jack/xpnc03.gif
	frame	data/chars/3jack/xpnc04.gif
	delay	7
	frame	data/chars/3jack/xpnc05.gif
	frame	data/chars/3jack/xpnc06.gif
	frame	data/chars/3jack/xpnc05.gif
	frame	data/chars/3jack/xpnc06.gif
	frame	data/chars/3jack/xpnc05.gif #7
	frame	data/chars/3jack/xpnc06.gif
	frame	data/chars/3jack/xpnc05.gif
	frame	data/chars/3jack/xpnc06.gif
	frame	data/chars/3jack/xpnc05.gif
	frame	data/chars/3jack/xpnc06.gif
	frame	data/chars/3jack/xpnc05.gif
	frame	data/chars/3jack/xpnc06.gif
	@cmd	looper 7 5
	frame	data/chars/3jack/xpnc05.gif
	frame	data/chars/3jack/xpnc06.gif
	frame	data/chars/3jack/xpnc05.gif
	frame	data/chars/3jack/xpnc06.gif
	bbox	84 98 47 90
	delay	9
	frame	data/chars/3jack/xpnc04.gif
	frame	data/chars/3jack/xpnc03.gif
	frame	data/chars/3jack/xpnc02.gif
		
anim	attack2
	range	35 90
	loop	0
	delay	7
	offset	108 190
	bbox	84 98 47 90
	sound	data/sounds/jack1.wav
	hitfx	data/sounds/beat2.wav
	frame	data/chars/3jack/a101.gif
	frame	data/chars/3jack/a102.gif
	delay	11
	attack	124 99 68 12 17 0 0 0 8
	frame	data/chars/3jack/a103.gif
	hitfx	data/sounds/beat1.wav
	attack	0 0 0 0
	delay	8
	frame	data/chars/3jack/a102.gif
	frame	data/chars/3jack/a101.gif
	frame	data/chars/3jack/a102.gif
	delay	11
	hitfx	data/sounds/beat3.wav
	attack	124 99 85 20 10 1 0 0 8 0
	frame	data/chars/3jack/a103.gif
	hitfx	data/sounds/beat1.wav
	attack	0 0 0 0
	frame	data/chars/3jack/a102.gif
	frame	data/chars/3jack/a101.gif
	frame	data/chars/3jack/idle01.gif
		
anim	attack3
	range	95 150
	loop	0
	delay	11
	offset	108 190
	bbox	84 98 47 90
	sound	data/sounds/jack2.wav
	hitfx	data/sounds/beat5.wav
	frame	data/chars/3jack/a101.gif
	delay	2
	move	3
	frame	data/chars/3jack/b101.gif
	frame	data/chars/3jack/b101.gif
	attack	110 116 71 44 17 1 0 0 35 0
	dropv	3 4 0
	frame	data/chars/3jack/b103.gif
	move	5
	frame	data/chars/3jack/b102.gif
	attack	113 92 47 45 10 1 0 0 35 0
	dropv	3 4 0
	frame	data/chars/3jack/b102.gif
	frame	data/chars/3jack/b102.gif
	frame	data/chars/3jack/b102.gif
	frame	data/chars/3jack/b102.gif
	frame	data/chars/3jack/b102.gif
	frame	data/chars/3jack/b102.gif
	frame	data/chars/3jack/b103.gif
	frame	data/chars/3jack/b103.gif
	frame	data/chars/3jack/b103.gif
	frame	data/chars/3jack/b103.gif
	frame	data/chars/3jack/b103.gif
	move	3
	frame	data/chars/3jack/b103.gif
	frame	data/chars/3jack/b103.gif
	move	0
	attack	0 0 0 0
	delay	16
	frame	data/chars/3jack/b102.gif
	frame	data/chars/3jack/b101.gif
	delay	20
	frame	data/chars/3jack/land.gif
		
anim	attack4
	range	151 200
	loop	0
	delay	8
	offset	108 190
	bbox	84 98 47 90
	sound	data/sounds/jack1.wav
	hitfx	data/sounds/beat2.wav
	frame	data/chars/3jack/a105.gif
	frame	data/chars/3jack/a104.gif
	frame	data/chars/3jack/a105.gif
	delay	1
	move	5
	attack	124 99 68 25 30 1 1 0 35 0
	dropv	3 4 0
	frame	data/chars/3jack/a106.gif
	frame	data/chars/3jack/a106.gif
	frame	data/chars/3jack/a106.gif
	frame	data/chars/3jack/a106.gif
	frame	data/chars/3jack/a106.gif
	frame	data/chars/3jack/a106.gif
	frame	data/chars/3jack/a106.gif
	frame	data/chars/3jack/a107.gif
	frame	data/chars/3jack/a107.gif
	frame	data/chars/3jack/a107.gif
	frame	data/chars/3jack/a107.gif
	frame	data/chars/3jack/a107.gif
	frame	data/chars/3jack/a107.gif
	frame	data/chars/3jack/a107.gif
	frame	data/chars/3jack/a108.gif
	frame	data/chars/3jack/a108.gif
	frame	data/chars/3jack/a108.gif
	frame	data/chars/3jack/a108.gif
	frame	data/chars/3jack/a108.gif
	frame	data/chars/3jack/a108.gif
	frame	data/chars/3jack/a108.gif
	frame	data/chars/3jack/a108.gif
	frame	data/chars/3jack/a109.gif
	frame	data/chars/3jack/a109.gif
	frame	data/chars/3jack/a109.gif
	frame	data/chars/3jack/a109.gif
	frame	data/chars/3jack/a109.gif
	frame	data/chars/3jack/a109.gif
	frame	data/chars/3jack/a109.gif
	attack	0 0 0 0
	move	0
	delay	3
	move	3
	frame	data/chars/3jack/a108.gif
	frame	data/chars/3jack/a108.gif
	frame	data/chars/3jack/a108.gif
	move	0
	delay	15
	frame	data/chars/3jack/a106.gif
	frame	data/chars/3jack/a105.gif
	frame	data/chars/3jack/a104.gif
		
anim	attack5
	range	201 290
	loop	0
	delay	8
	offset	108 190
	bbox	84 98 47 90
	jumpframe	13 3 4 0
	landframe	16 dust
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen1
	frame	data/chars/3jack/land.gif
	delay	4
	frame	data/chars/3jack/ch01.gif
	frame	data/chars/3jack/ch02.gif
	frame	data/chars/3jack/ch03.gif
	frame	data/chars/3jack/ch04.gif
	frame	data/chars/3jack/ch01.gif
	frame	data/chars/3jack/ch02.gif
	sound	data/sounds/jack3.wav
	frame	data/chars/3jack/ch03.gif
