name	 lashot1
type     none
health   0
nolife   1
offscreenkill 	250
lifespan  	15
alpha    1
subject_to_gravity 0
subject_to_hole 0
subject_to_platform 0
candamage player
animationscript data/scripts/escript.c


alternatepal	data/chars/beyond/shots/map1.gif
alternatepal	data/chars/beyond/shots/map2.gif

load	lsfla



anim	follow1
	loop	1
	delay	4
	offset	30 25
	bbox	0 0 0 0
	followanim	5
	followcond	1
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	drawmethod	250 250 0 0 0 1 1
	@cmd	dasher 3 0 0
	frame	data/chars/beyond/shots/lashot01.gif
	attack	10 5 40 50 10 1 0 0 15 12
	frame	data/chars/beyond/shots/emp.gif
	frame	data/chars/beyond/shots/lashot01a.gif
	frame	data/chars/beyond/shots/emp.gif
	frame	data/chars/beyond/shots/lashot01b.gif
	frame	data/chars/beyond/shots/emp.gif
		
anim	follow10
	loop	1
	delay	5
	offset	35 35
	bbox	0 0 0 0
	followanim	5
	followcond	1
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	landframe	2
	drawmethod	250 250 0 0 0 1
	@cmd	dasher 1.5 -3 0
	frame	data/chars/beyond/shots/lashot07.gif
	delay	600
	attack	25 10 40 65 10 0 0 0 22 22
	frame	data/chars/beyond/shots/lashot07.gif
	delay	9
	frame	data/chars/beyond/shots/xlashot02.gif
	@cmd	stop
	frame	data/chars/beyond/shots/xlashot03.gif
	frame	data/chars/beyond/shots/xlashot04.gif
	frame	data/chars/beyond/shots/emp.gif
	@cmd	suicide
	frame	data/chars/beyond/shots/emp.gif
		
anim	follow11
	loop	1
	delay	5
	offset	30 25
	bbox	0 0 0 0
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	landframe	2
	drawmethod	250 250 0 0 0 1
	@cmd	dasher 0 -3 0
	frame	data/chars/beyond/shots/lashot08.gif
	delay	600
	attack	10 5 40 50 10 0 0 0 15 12
	frame	data/chars/beyond/shots/lashot08.gif
	delay	9
	frame	data/chars/beyond/shots/xlashot02.gif
	@cmd	stop
	frame	data/chars/beyond/shots/xlashot03.gif
	frame	data/chars/beyond/shots/xlashot04.gif
	frame	data/chars/beyond/shots/emp.gif
	@cmd	suicide
	frame	data/chars/beyond/shots/emp.gif
		
anim	follow2
	loop	1
	delay	4
	offset	30 25
	bbox	0 0 0 0
	followanim	5
	followcond	1
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	drawmethod	250 250 0 0 0 1 1
	@cmd	dasher -3 0 0
	frame	data/chars/beyond/shots/lashot05.gif
	attack	10 5 40 50 10 1 0 0 15 12
	frame	data/chars/beyond/shots/emp.gif
	frame	data/chars/beyond/shots/lashot05a.gif
	frame	data/chars/beyond/shots/emp.gif
	frame	data/chars/beyond/shots/lashot05b.gif
	frame	data/chars/beyond/shots/emp.gif
		
anim	follow5
	loop	0
	delay	5
	offset	25 30
	bbox	0 0 0 0
	frame	data/chars/beyond/shots/lashot02.gif
	@cmd	stop
	frame	data/chars/beyond/shots/lashot02.gif
	delay	17
	frame	data/chars/beyond/shots/lashot03.gif
	frame	data/chars/beyond/shots/lashot04.gif
	frame	data/chars/beyond/shots/emp.gif
	@cmd	suicide
	frame	data/chars/beyond/shots/emp.gif
		
anim	follow7
	loop	1
	delay	5
	offset	30 25
	bbox	0 0 0 0
	followanim	5
	followcond	1
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	landframe	2
	drawmethod	250 250 0 0 0 1 2
	@cmd	dasher 2 -1 0
	frame	data/chars/beyond/shots/lashot06.gif
	delay	600
	attack	10 5 40 50 10 0 0 0 15 12
	frame	data/chars/beyond/shots/lashot06.gif
	delay	9
	frame	data/chars/beyond/shots/lashot02.gif
	@cmd	stop
	frame	data/chars/beyond/shots/lashot03.gif
	frame	data/chars/beyond/shots/lashot04.gif
	frame	data/chars/beyond/shots/emp.gif
	@cmd	suicide
	frame	data/chars/beyond/shots/emp.gif
		
anim	idle
	loop	1
	delay	5
	offset	30 25
	bbox	0 0 0 0
	followanim	5
	followcond	1
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	@cmd	dasher 3 0 0
	frame	data/chars/beyond/shots/lashot01.gif
	attack	10 5 40 50 10 0 0 0 15 12
	frame	data/chars/beyond/shots/lashot01.gif
		
anim	spawn
	loop	0
	delay	5
	offset	30 25
	bbox	0 0 0 0
	frame	data/chars/beyond/shots/emp.gif
		
#|edited by openBor Stats v 0.53
		
