name          graynosed
type          enemy
health        250
mp		3000
speed         16
jumpheight    6
jumpmove      0  4
throw         5 2
throwdamage   18
shadow        0
noquake       1
blockodds     1
falldie	      2
nodieblink    1
gfxshadow     1
escapehits    3
risetime      1350 1350
candamage     player npc
hostile       player npc
dust            dust
projectilehit enemy obstacle
diesound      data/sounds/alien6.wav
icon		data/chars/beyond/1alien4/icon.gif
icondie		data/chars/beyond/1alien4/icond.gif
animationscript data/scripts/escript.c


alternatepal	data/chars/beyond/1alien4/map0.gif
alternatepal	data/chars/beyond/1alien4/map1.gif
alternatepal	data/chars/beyond/1alien4/map2.gif
alternatepal	data/chars/beyond/1alien4/map3.gif
alternatepal	data/chars/beyond/1alien4/map4.gif
alternatepal	data/chars/beyond/1alien4/map5.gif


load	gnpwr1



anim	attack1
	range	100 220
	rangez	20 45
	loop	0
	delay	10
	offset	101 190
	hitfx	data/sounds/beat2.wav
	frame	data/chars/beyond/1alien4/a01.gif
	frame	data/chars/beyond/1alien4/a02.gif
	frame	data/chars/beyond/1alien4/a03.gif
	frame	data/chars/beyond/1alien4/a04.gif
	frame	data/chars/beyond/1alien4/a05.gif
	sound	data/sounds/alien4.wav
	frame	data/chars/beyond/1alien4/a06.gif
	frame	data/chars/beyond/1alien4/a07.gif
	bbox	85 96 39 91
	frame	data/chars/beyond/1alien4/a08.gif
	@cmd	target 3 3 1 1 0
	@cmd	dash
	frame	data/chars/beyond/1alien4/a09.gif
	frame	data/chars/beyond/1alien4/a10.gif
	offset	65 190
	attack	95 110 120 40 15 1 0 0 35 0
	dropv	3 3
	frame	data/chars/beyond/1alien4/a11.gif
	delay	25
	frame	data/chars/beyond/1alien4/a12.gif
	delay	12
	@cmd	stop
	frame	data/chars/beyond/1alien4/a12.gif
	attack	0 0 0 0
	delay	14
	frame	data/chars/beyond/1alien4/a13.gif
	frame	data/chars/beyond/1alien4/a16.gif
	frame	data/chars/beyond/1alien4/a17.gif
	frame	data/chars/beyond/1alien4/a18.gif
	frame	data/chars/beyond/1alien4/a19.gif
	frame	data/chars/beyond/1alien4/a20.gif
		
anim	attack2
	range	100 220
	rangez	-20 -45
	loop	0
	delay	10
	offset	101 190
	hitfx	data/sounds/beat2.wav
	frame	data/chars/beyond/1alien4/a01.gif
	frame	data/chars/beyond/1alien4/a02.gif
	frame	data/chars/beyond/1alien4/a03.gif
	frame	data/chars/beyond/1alien4/a04.gif
	frame	data/chars/beyond/1alien4/a05.gif
	sound	data/sounds/alien4.wav
	frame	data/chars/beyond/1alien4/a06.gif
	frame	data/chars/beyond/1alien4/a07.gif
	bbox	85 96 39 91
	frame	data/chars/beyond/1alien4/a08.gif
	@cmd	target 3 3 1 1 0
	@cmd	dash
	frame	data/chars/beyond/1alien4/a09.gif
	frame	data/chars/beyond/1alien4/a10.gif
	offset	65 190
	attack	95 110 120 40 15 1 0 0 35 0
	dropv	3 3
	frame	data/chars/beyond/1alien4/a11.gif
	delay	25
	frame	data/chars/beyond/1alien4/a12.gif
	delay	12
	@cmd	stop
	frame	data/chars/beyond/1alien4/a12.gif
	attack	0 0 0 0
	delay	14
	frame	data/chars/beyond/1alien4/a13.gif
	frame	data/chars/beyond/1alien4/a16.gif
	frame	data/chars/beyond/1alien4/a17.gif
	frame	data/chars/beyond/1alien4/a18.gif
	frame	data/chars/beyond/1alien4/a19.gif
	frame	data/chars/beyond/1alien4/a20.gif
		
anim	attack3
	range	190 290
	rangez	-10 10
	loop	0
	offset	70 190
	bbox	85 96 39 91
	delay	9
	sound	data/sounds/burnt.wav
	frame	data/chars/beyond/1alien4/a20.gif
	frame	data/chars/beyond/1alien4/a19.gif
	frame	data/chars/beyond/1alien4/a18.gif
	frame	data/chars/beyond/1alien4/a17.gif
	sound	data/sounds/punch3.wav
	frame	data/chars/beyond/1alien4/a16.gif
	@cmd	spawnAni "gnpwr1" 70 1 1 "ANI_FOLLOW1"
	frame	data/chars/beyond/1alien4/a14.gif
	frame	data/chars/beyond/1alien4/a15.gif
	frame	data/chars/beyond/1alien4/xa15.gif
	frame	data/chars/beyond/1alien4/xa16.gif
	frame	data/chars/beyond/1alien4/a15.gif
	frame	data/chars/beyond/1alien4/xa15.gif
	frame	data/chars/beyond/1alien4/xa16.gif
	frame	data/chars/beyond/1alien4/a15.gif
	frame	data/chars/beyond/1alien4/xa15.gif
	frame	data/chars/beyond/1alien4/xa16.gif
	frame	data/chars/beyond/1alien4/a15.gif
	frame	data/chars/beyond/1alien4/xa15.gif
	frame	data/chars/beyond/1alien4/xa16.gif
	frame	data/chars/beyond/1alien4/a15.gif
	frame	data/chars/beyond/1alien4/xa15.gif
	frame	data/chars/beyond/1alien4/xa16.gif
	frame	data/chars/beyond/1alien4/a16.gif
	frame	data/chars/beyond/1alien4/a17.gif
	frame	data/chars/beyond/1alien4/a18.gif
	frame	data/chars/beyond/1alien4/a19.gif
	frame	data/chars/beyond/1alien4/a20.gif
		
anim	attack4
	range	0 150
	loop	0
	delay	9
	offset	101 185
	bbox	85 85 39 91
	hitfx	data/sounds/beat2.wav
	sound	data/sounds/punch3.wav
	@cmd	dasher 1 0 0
	frame	data/chars/beyond/1alien4/c01.gif
	attack	95 85 125 40 11 1 0 0 35 0
	dropv	3 3
	frame	data/chars/beyond/1alien4/c02.gif
	frame	data/chars/beyond/1alien4/c03.gif
	attack	0 0 0 0
	@cmd	stop
	frame	data/chars/beyond/1alien4/c04.gif
		
anim	backwalk
	loop	1 2 7
	delay	7
	offset	101 190
	bbox	85 96 39 91
	@cmd	flip
	frame	data/chars/beyond/1alien4/fall9.gif
	frame	data/chars/beyond/1alien4/fall8.gif
	frame	data/chars/beyond/1alien4/wlk01.gif
	frame	data/chars/beyond/1alien4/wlk02.gif
	frame	data/chars/beyond/1alien4/wlk01.gif
	frame	data/chars/beyond/1alien4/wlk02.gif
	frame	data/chars/beyond/1alien4/wlk01.gif
