name	Evearm2
type	none
lifespan  55

shadow    0

palette		data/chars/2badgirl10/map1.gif

alternatepal       data/chars/2badgirl10/map2.gif
alternatepal       data/chars/2badgirl10/map3.gif
alternatepal       data/chars/2badgirl10/map4.gif
alternatepal       data/chars/2badgirl10/idle01.gif
alternatepal       data/chars/2badgirl10/map5.gif
alternatepal       data/chars/2badgirl10/map6.gif
alternatepal       data/chars/2badgirl10/map7.gif
alternatepal       data/chars/2badgirl10/map8.gif




anim	special
	loop	0
	delay	40
	offset	100 198
	frame	data/chars/2badgirl10/z2grab05.gif
	delay	14
	frame	data/chars/2badgirl10/z2grab06.gif
	frame	data/chars/2badgirl10/z2grab07.gif
	frame	data/chars/2badgirl10/z2grab06.gif
	frame	data/chars/2badgirl10/z2grab07.gif
	delay	35
	frame	data/chars/2badgirl10/z2grab06.gif
	frame	data/chars/2badgirl10/z2grab07.gif
	delay	12
	frame	data/chars/2badgirl10/z2grab08.gif
	frame	data/chars/2badgirl10/z2grab09.gif
	frame	data/chars/2badgirl10/z2grab10.gif
	delay	4
	frame	data/chars/2badgirl10/z2grab11.gif
	offset	100 193
	frame	data/chars/2badgirl10/z2grab11.gif
	offset	100 188
	frame	data/chars/2badgirl10/z2grab11.gif
	delay	15
	offset	100 183
	frame	data/chars/2badgirl10/z2grab12.gif
	delay	50
	offset	100 178
	frame	data/chars/2badgirl10/z2grab13.gif
	frame	data/chars/2badgirl10/empty.gif




		
anim	idle
	loop	0
	delay	25
	offset	125 215
	bbox	0 0 0 0
	frame	data/chars/misc/empty.gif
		
