name	 tire1
health	 5
nolife  1
noatflash 1
flash     Flash
type	 obstacle
shadow	 6









anim	fall
	delay	10
	offset	50 90
	sound	data/sounds/klunk.wav
	frame	data/chars/misc/object/tire/tire1.gif
	frame	data/chars/misc/object/tire/tire2.gif
	frame	data/chars/misc/object/tire/tire1.gif
	frame	data/chars/misc/object/tire/tire2.gif
	frame	data/chars/misc/object/tire/tire1.gif
	frame	data/chars/misc/object/tire/tire2.gif
		
anim	idle
	delay	1000
	offset	50 95
	bbox	15 0 70 95
	platform	-5 100 20 20 85 85 20 60
	frame	data/chars/misc/object/tire/tire0.gif
		
#|edited by openBor Stats v 0.53
		
