name	disco03
type	none
speed   10
setlayer 200
alpha   3

anim idle
	 loop      1
	 delay     16
	 offset    1 1
	 frame     data/chars/misc/junk/disco/dist10.gif
	 delay     8
	 frame     data/chars/misc/junk/disco/dist11.gif
	 frame     data/chars/misc/junk/disco/dist12.gif
	 frame     data/chars/misc/junk/disco/dist13.gif
	 frame     data/chars/misc/junk/disco/dist14.gif
	 delay     16
	 frame     data/chars/misc/junk/disco/dist15.gif
	 delay     8
	 frame     data/chars/misc/junk/disco/dist14.gif
	 frame     data/chars/misc/junk/disco/dist13.gif
	 frame     data/chars/misc/junk/disco/dist12.gif
	 frame     data/chars/misc/junk/disco/dist11.gif
	 delay     16
	 frame     data/chars/misc/junk/disco/dist10.gif
	 delay     8
	 frame     data/chars/misc/junk/disco/dist11.gif
	 frame     data/chars/misc/junk/disco/dist12.gif
	 frame     data/chars/misc/junk/disco/dist13.gif
	 frame     data/chars/misc/junk/disco/dist14.gif
	 delay     16
	 frame     data/chars/misc/junk/disco/dist15.gif
	 delay     8
	 frame     data/chars/misc/junk/disco/dist14.gif
	 frame     data/chars/misc/junk/disco/dist13.gif
	 frame     data/chars/misc/junk/disco/dist12.gif
	 frame     data/chars/misc/junk/disco/dist11.gif





