name	 syarm
type     none
health   0
nolife   1
offscreenkill 	50
subject_to_gravity 0
subject_to_hole 0
subject_to_platform 0
candamage       player npc
animationscript data/scripts/escript.c



alternatepal	data/chars/beyond/1alien6/map1.gif
alternatepal	data/chars/beyond/1alien6/map2.gif
alternatepal	data/chars/beyond/1alien6/map3.gif
alternatepal	data/chars/beyond/1alien6/map4.gif
alternatepal	data/chars/beyond/1alien6/map5.gif
alternatepal	data/chars/beyond/1alien6/map6.gif





anim	follow1
	loop	0
	delay	9
	offset	10 5
	bbox	0 0 0 0
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	frame	data/chars/beyond/1alien6/pw/arm01.gif
	offset	5 43
	attack	1 0 45 40 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/01.gif
	offset	5 82
	attack	1 0 75 80 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/02.gif
	offset	5 77
	attack	1 0 75 80 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/03.gif
	offset	5 97
	attack	1 0 75 95 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/04.gif
	offset	15 105
	attack	1 0 60 100 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/05.gif
	offset	15 100
	attack	1 0 60 95 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/06.gif
	offset	14 100
	attack	1 0 60 90 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/07.gif
	offset	13 100
	attack	1 0 90 95 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/08.gif
	offset	12 103
	attack	1 0 81 101 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/09.gif
	offset	5 105
	attack	1 0 75 100 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/10.gif
	offset	4 100
	attack	1 0 70 100 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/11.gif
	offset	5 98
	attack	1 0 70 100 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/12.gif
	offset	0 81
