music		data/music/base2.ogg

background	data/bgs/47lvl/back.gif
layer      	data/bgs/47lvl/back.gif -2500 0.5 0 0 -210
layer		data/bgs/47lvl/back2.gif -1500 0 0 0 0 0 0 -1 1 1 0 0 0 0 0 -0.1
layer		data/bgs/47lvl/back3.gif -1200 0 0 0 120 0 0 -1 1 1 0 0 0 0 0 0.1
panel		data/bgs/47lvl/panel2.gif
layer		data/bgs/47lvl/ground.gif -800 0 0 -110 255 0 0 1 1 1 0 1 15 15 1
layer		data/bgs/47lvl/panel.gif -500 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0
fglayer		data/bgs/47lvl/front.gif 1000 0 0 0 0 0 0 -1 1 1 0 0 0 0 0 0
fglayer		data/bgs/47lvl/forge.gif 2000 0 0 0 -140 1500 0 -1 1 1 0 0 0 0 0 0.3
fglayer		data/bgs/47lvl/fog.gif 3000 0 0 0 0 0 0 -1 1 1 1 0 0 0 0 0.2




direction       right
light  		20   -90
at       	0
settime         0
notime          1
noslow          0
order		a
spawn1  	190 100 250
spawn2  	195 100 250
spawn3  	200 100 250

bgspeed		14 0
cameraoffset            0 -70
cameratype              1

#---------------------------
wall -70 340 0 0 350 130 110 5000
wall 3410 480 0 0 850 850 160 5000

hole 780 410 340 -20 500 140 180
hole 1400 410 340 -20 500 140 180
hole 2440 410 340 -20 500 140 180
hole -50 480 0 0 3470 3470 140
#---------------------------
#----------------------------------
spawn   stgSET4
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW5"));
} @end_script
coords  -500 515 350
at      0
#----------------------------------
spawn   lava1
coords  1135 -120
at      0

spawn   lava1
coords  1755 -120
at      0

spawn   lava1
coords  2785 -120
at      0

#---------------------------
spawn   grdfire3
coords  735 260
at      0

spawn   grdfire3
coords  688 285
at      0

spawn   grdfire3
coords  635 315
at      0

#-2---
spawn   grdfire3
coords  2392 260
at      0

spawn   grdfire3
coords  2340 285
at      0

spawn   grdfire3
coords  2290 315
at      0

#-3---
spawn   grdfire3
coords  3420 260
at      0

spawn   grdfire3
coords  3375 285
at      0

spawn   grdfire3
coords  3320 315
at      0

#------------------------
spawn   lavahit
coords  0 390
at      0

spawn   lavahit
coords  700 390
at      0

spawn   lavahit
coords  1400 390
at      0

spawn   lavahit
coords  2100 390
at      0

spawn   lavahit
coords  2800 390
at      0

#------------------------
spawn   petroil
item    apple
coords  400 260
at      0

spawn   petroil
coords  470 260
at      0

spawn   petroil
coords  540 260
at      0

spawn   petroil
coords  500 273
at      0

spawn   petroil
item    5bill
coords  430 273
at      0

spawn   petroil
coords  450 266 120
at      0

spawn   petroil
item    7putin
coords  510 266 120
at      0

spawn   drum2
coords  1310 260
at      0

spawn   fdrum
item    potfire2
coords  1450 255
at      0

spawn   fdrum
item    potfire2
coords  2000 255
at      0

spawn   petroil
item    lulcardx
coords  2130 260
at      0

spawn   petroil
coords  2200 260
at      0

spawn   drume
item    7cofe
coords  2280 260
at      0


spawn   box2
coords  3080 260
at      0

spawn   box2
item    diamond
coords  3180 260
at      0

spawn   box
coords  3290 260
at      0

spawn   barrel
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW1"));
} @end_script
item    lulcardx
coords  3875 320
at      0

