music		data/music/ironman3.ogg

background	data/bgs/50lvl/fallbck2.gif 0 7
panel  		data/bgs/50lvl/fall.gif
fglayer		data/bgs/50lvl/fallfrt.gif 2500 0 7 0 0 0 0 -1 -1 1 1

direction       up
light  		10 -30
at       	0
settime         0
notime          1
gravity         -6
noslow          1
order		a
spawn1  	150 5
spawn2  	140 5
spawn3  	160 5


setweap  	4

#----------------------------------
spawn   stgSET4
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW8"));
} @end_script
coords  -500 515 350
at      0
#----------------------------------


#--------wind----


spawn   jonypost
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW1"));
} @end_script
coords  -200 0 200
at      0

#--------------------

group   3 3
at      0

spawn   twfall3
coords  -20 0 700
at      0

spawn   ghost3
coords  40 40
at      0

spawn   ghost3
coords  40 40
at      0

spawn   trevorair
health  180
map     1
coords  -100 -30
at      0


spawn   berretair
health  190
map     1
coords  610 -30
at      0

spawn   twfall2
coords  10 400
at      0

spawn   snakeair
health  160
map     1
coords  510 450
at      0


2pspawn   berretair
health  190
map     2
coords  610 -30
at      0

spawn   ironmanair
health  190
map     1
coords  -150 -30
at      0

2pspawn   ironmanair
health  190
map     2
coords  550 450
at      0

spawn   twfall4
coords  -50 0 700
at      0

spawn   schnellair
health  200
map     1
coords  550 450
at      0

spawn   twfall2
coords  20 400
at      0

spawn   heidernair
health  160
map     1
coords  -150 450
at      0

spawn   twfall3
coords  -50 0 700
at      0

3pspawn   heidernair
health  160
map     2
coords  550 -50
at      0

#--------------------------

group   2 2
at      0

spawn   twfall1
coords  -50 0 700
at      0

#--------------------------


spawn   jonair
health  100
coords  -50 -50
at      0

spawn   twfall2
coords  -40 400
at      0

spawn   ghost1
coords  250 280
at      0


spawn   jonair
flip    1
health  100
coords  550 -50
at      0

#-----------------------


group   3 3
at      0


spawn   trevorair
health  180
map     2
coords  -100 -30
at      0

spawn   twfall4
coords  -20 0 700
at      0



spawn   ironmanair
health  190
map     3
coords  510 -30
at      0

spawn   schnellair
health  200
map     2
coords  550 450
at      0

spawn   twfall3
coords  -20 0 700
at      0

spawn   jonair
health  100
coords  -50 -50
at      0


spawn   snakeair
health  160
map     2
coords  550 -30
at      0

spawn   jonair
flip    1
health  100
coords  550 -50
at      0


spawn   berretair
health  190
map     2
coords  -190 450
at      0

spawn   twfall2
coords  -40 400
at      0


spawn   berretair
health  190
map     3
coords  530 450
at      0

spawn   jonair
health  100
coords  -50 -50
at      0


spawn   trevorair
health  180
map     3
coords  -190 450
at      0

spawn   twfall3
coords  -30 0 700
at      0

spawn   jonair
flip    1
health  100
coords  550 -50
at      0


spawn   heidernair
health  160
map     3
coords  -190 -50
at      0


spawn   schnellair
health  200
map     2
coords  550 450
at      0


spawn   twfall2
coords  -40 400
at      0


spawn   jonair
health  100
coords  -50 -50
at      0


spawn   schnellair
health  200
map     3
coords  -200 -50
at      0

spawn   twfall2
coords  -40 400
at      0

spawn   jonair
flip    1
health  100
coords  550 -50
at      0


spawn   ironmanair
health  190
map     4
coords  -200 -50
at      0


spawn   snakeair
health  190
map     4
coords  550 -50
at      0


spawn   jonair
health  100
coords  -50 -50
at      0

spawn   twfall2
coords  -40 400
at      0

spawn   ghost2
health  190
map     3
coords  -200 450
at      0

spawn   ghost1
item    1up
coords  150 280
at      0

spawn   jonair
flip    1
health  100
coords  550 -50
at      0


spawn   trevorair
health  190
map     4
coords  550 -50
at      0


spawn   berretair
health  190
map     2
coords  410 -30
at      0

spawn   jonair
health  100
coords  -50 -50
at      0



spawn   twfall2
coords  10 400
at      0

spawn   ironmanair
health  190
map     1
coords  -150 -30
at      0

spawn   ghost2
health  190
map     2
coords  550 450
at      0

spawn   twfall4
coords  -50 0 700
at      0

spawn   jonair
flip    1
health  100
coords  550 -50
at      0

spawn   twfall4
coords  -20 0 700
at      0

spawn   twfall2
coords  -40 400
at      0

spawn   jonair
health  100
coords  -50 -50
at      0


spawn   heidernair
health  160
map     1
coords  -200 -50
at      0


spawn   ghost2
health  160
map     2
coords  550 -50
at      0

spawn   jonair
flip    1
health  100
coords  550 -50
at      0

spawn   twfall3
coords  -30 0 700
at      0


2pspawn   schnellair
health  200
map     1
coords  -220 450
at      0

3pspawn   jonair
health  100
coords  -50 -50
at      0


2pspawn   schnellair
health  200
map     2
coords  550 -50
at      0

#-----------------------

group   4 4
at      0

spawn   ghost1
coords  200 280
at      0

spawn   twfall2
coords  -40 400
at      0


spawn   twfall3
coords  -30 0 700
at      0

spawn   jonair
flip    1
coords  550 -50
at      0

spawn   snakeair
health  160
map     4
coords  -150 -30
at      0


spawn   ironmanair
health  190
map     3
coords  550 450
at      0


spawn   berretair
health  180
map     3
coords  550 -50
at      0

spawn   jonair
coords  -50 -50
at      0

spawn   twfall4
coords  -20 0 700
at      0

spawn   ghost1
coords  250 280
at      0

spawn   twfall2
coords  -40 400
at      0

spawn   trevorair
health  180
map     3
coords  550 450
at      0


spawn   jonair
flip    1
coords  550 -50
at      0


spawn   heidernair
health  160
map     3
coords  -220 450
at      0


spawn   heidernair
health  160
map     2
coords  550 450
at      0

spawn   twfall2
coords  -40 400
at      0


spawn   schnellair
health  210
map     2
coords  -220 -50
at      0

spawn   twfall3
coords  -30 0 700
at      0

spawn   jonair
coords  -50 -50
at      0


spawn   ironmanair
health  190
coords  550 -50
at      0

spawn   twfall2
coords  -40 400
at      0


spawn   snakeair
health  170
map     4
coords  550 -50
at      0


spawn   trevorair
health  180
map     3
coords  -220 -50
at      0

3pspawn   jonair
flip    1
coords  550 -50
at      0

3pspawn   twfall4
coords  -20 0 700
at      0

2pspawn   trevorair
health  180
map     4
coords  550 -50
at      0

2pspawn   berretair
health  180
map     4
coords  -250 450
at      0

3pspawn   berretair
health  180
map     3
coords  550 -50
at      0

3pspawn   jonair
coords  -50 -50
at      0

3pspawn   twfall2
coords  -40 400
at      0


3pspawn   ironmanair
health  180
map     3
coords  -250 450
at      0

#----------------------

group   3 3
at      0

2pspawn   ghost1
coords  150 280
at      0

2pspawn   twfall3
coords  -30 0 700
at      0

2pspawn   jonair
flip    1
coords  550 -50
at      0

2pspawn   heidernair
health  160
map     2
coords  550 450
at      0

2pspawn   twfall2
coords  -40 400
at      0

2pspawn   ghost1
coords  550 450
at      0

2pspawn   jonair
coords  -50 -50
at      0


2pspawn   ghost1
coords  -220 -50
at      0

2pspawn   heidernair
health  160
map     1
coords  550 -50
at      0

2pspawn   ghost1
coords  550 450
at      0

#----------------------
group   2 2
at      0

spawn   ghost1
item    1up
coords  200 280
at      0

spawn   jonair
flip    1
coords  550 -50
at      0


2pspawn   trevorair
health  180
map     4
coords  -220 -50
at      0


spawn   twfall2
coords  -40 400
at      0

spawn   jonair
coords  -50 -50
at      0

#------------------------
spawn   fallspawn
coords  550 -50
at      0


spawn   ironmanair
health  190
map     4
coords  550 -50
at      0


spawn   twfall2
coords  -40 400
at      0


spawn   jonair
flip    1
coords  550 -50
at      0

#----------------------
group   1 1
at      0

spawn   ghost1
coords  530 450
at      0

spawn   snakeair2
health  250
map     1
coords  530 450
at      0

spawn   snakeair2
health  250
map     2
coords  -220 450
at      0


spawn   snakeair2
health  250
map     3
coords  550 -50
at      0


spawn   snakeair2
health  250
map     4
coords  -250 -50
at      0


