music		data/music/1bonus.ogg
background 	data/bgs/0bonus3/bonus3bck.gif 0.3 0
layer		data/bgs/0bonus3/water.gif -1000 0.3 0 -50 100 0 0 4 1 1 0 1 4 4 1
layer		data/bgs/0bonus3/back2.gif -500 0.1 0 0 120 0 0 4 1 1
panel		data/bgs/0bonus3/bonus3.gif
fglayer         data/bgs/0bonus3/bonus3frt.gif 1000 0 0 0 0 0 0 1 1 1
fglayer         data/bgs/0bonus3/bonus3frt2.gif 2000 -0.1 0 -30 340 0 0 1 1 1
fglayer         data/bgs/0bonus3/light.gif 3000 -0.3 0 0 195 0 0 1 1 1 1 0 0 0 0 0


direction       both
light		0 -30
at		0
type            1 0 1
noreset         1
settime         55
noslow          0
order		a
spawn1  	260 390
spawn2  	145 130
spawn3  	185 130

cameratype      1
cameraoffset    0 -120


#---------------
wall    660 460  0 130 1100 1100 130 160
wall    95 460  -1100 -1100 130 0 130 160
wall    50 330  -500 -500 340 170 100 5000
wall    660 330  -320 0 500 500 100 5000
#---------------


spawn   1spawn
@script
void main()
{
    changeopenborvariant("ypos", 310);
}
@end_script
flip    1
coords  280 410
at      0

spawn   2spawn
flip    1
coords  285 415
at      0

spawn   3spawn
flip    1
coords  290 420
at      0

#-------//-badbreak---//--------
spawn   badbreak
coords  50 340
at      0
#-------//-badbreak---//--------

#----------------------

spawn   1up
coords  100 380 370
at      0

spawn   1up
flip    1
coords  770 380 370
at      0

#------------
spawn   grdfire
coords  200 345
at      0


spawn   grdfire
coords  180 365
at      0

spawn   grdfire
coords  155 395
at      0

spawn   grdfire
coords  125 425
at      0


#----------//-------------



spawn   grdfire
coords  685 345
at      0


spawn   grdfire
coords  705 375
at      0

spawn   grdfire
coords  730 395
at      0

spawn   grdfire
coords  760 425
at      0


#---------------
spawn   tire2
item    gold
health  140
coords  375 275
at      0

spawn   tire2
health  140
coords  355 290
at      0

spawn   tire2
item    ring
health  140
coords  435 290
at      0

spawn   tire1
health  110
coords  400 290 90
at      0

#-----------//---------

spawn   tire2
health  140
coords  350 305
at      0

spawn   tire2
item    moneybag
health  140
coords  410 305
at      0

spawn   tire2
health  140
coords  470 305
at      0


spawn   tire1
item    lulcardx
health  110
coords  380 305 90
at      0


spawn   tire1
item    diamond
health  110
coords  430 305 90
at      0


#---------------



#----------//-------------



spawn   drum2
health  180
coords  370 385
at      0

spawn   drum
item    ruby
map     2
health  180
coords  435 385
at      0

