music		data/music/templest1.ogg


background	data/bgs/26lvl/staback.gif
panel		data/bgs/26lvl/stadium1.gif
fglayer    	data/bgs/26lvl/stafront2.gif 3000 -0.5 0 0 0 0 1 1 1 1
layer           data/bgs/26lvl/stafron3t.gif 4000 0 0 1400 0 0 0 1 1 1 0 0 0 0 0 3
layer           data/bgs/26lvl/light.gif 1500 0 0 0 0 0 0 1 1 1 1 0 0 0 0 3
layer           data/bgs/26lvl/light2.gif 1500 0 0 2690 0 0 0 1 1 1 1 0 0 0 0 3

direction       right
light  		-155   -55
at       	0
settime         0
notime          1
noslow          1
blocked         1
order		a
spawn1  	50 45
spawn2  	55 55
spawn3  	60 65

cameraoffset    0 -90
cameratype      1


shadowcolor     -2
at              0
shadowalpha     6
at              0


#-----------------------
wall    0 220  -550 -550 390 255 60 5000
wall    720 220  0 0 410 295 60 5000
wall    1260 220  0 0 410 295 60 5000
wall    2490 220  -30 110 400 400 60 5000
wall    2900 210  30 30 300 300 60 5000
wall    2980 245  30 30 220 220 60 5000

#-----------------------
#----------------------------------
spawn   stgSET3
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW9"));
} @end_script
coords  -500 515 350
at      0
#----------------------------------

spawn   xenpot
flip    1
map	1
item    potfire
health  5
coords  400 190
at      0

spawn   xenpot
flip    1
map	1
item    potfire
health  5
coords  620 190
at      0

spawn   zenpot
health  5
map     5
item    rune
itemalias ANI_FOLLOW6
coords  1170 190
at      0

spawn   zenpot
health  5
map     5
item    5dime
coords  1410 230
at      0

spawn   xenpot
flip    1
map	2
item    potfire
health  5
coords  1820 180
at      0

spawn   xenpot
flip    1
map	2
item    potfire
health  5
coords  2340 180
at      0

spawn   zenpot
health  5
map     5
item    7putin
coords  2760 235
at      0


spawn   xenpot
flip    1
map	1
item    potfire
health  5
coords  500 305
at      0


spawn   xenpot
flip    1
map	1
item    potfire
health  5
coords  1050 305
at      0


spawn   xenpot
flip    1
map	1
item    potfire
health  5
coords  2950 310
at      0

#-----------------------

spawn   bag1
health  300
item    ruby
coords  2000 200
at      0


spawn   bag1
health  300
item    7burger
coords  2200 200
at      0


spawn   bag1
map     1
health  700
item    food2
coords  1700 240
at      0

spawn   bag1
health  300
coords  2400 240
at      0

spawn   woodtrain1
health  300
item    food3
coords  1950 250
at      0

spawn   woodtrain1
map     1
health  700
item    5gbar
coords  2260 250
at      0


spawn   woodtrain1
health  300
coords  1750 310
at      0

spawn   woodtrain1
health  300
item    cheese
coords  2400 310
at      0

spawn   bag1
health  300
coords  2100 280
at      0

spawn  flare
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW1"));
} @end_script
coords  70 230 45
at      0

spawn  flare
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW1"));
} @end_script
coords  840 230 35
at      0

spawn  flare
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW1"));
} @end_script
coords  1375 230 35
at      0

spawn  flare
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW1"));
} @end_script
coords  2770 230 35
at      0

