name          remboat
type	      npc
subtype	      chase
health        80000
speed         16
jumpheight    4
shadow        0
noquake       1
facing	      1
nolife        1
nodieblink    1
dust            dust
candamage     enemy
hostile	      enemy
diesound      data/sounds/die4.wav
animationscript data/scripts/escript.c


load	swater3
load	remboat3






anim	backwalk
	loop	1
	delay	5
	offset	400 250
	bbox	270 160 265 95
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
		
anim	fall
	loop	0
	delay	5
	offset	400 250
	bbox	0 0 0 0
	frame	data/chars/3remuinho/boat/bt01.gif
		
anim	follow2
	loop	0
	delay	5
	offset	400 250
	bbox	0 0 0 0
	frame	data/chars/3remuinho/boat/bt01.gif
	frame	data/chars/3remuinho/boat/bt02.gif
	@cmd	dasher -2 0 0
	frame	data/chars/3remuinho/boat/bt01.gif
	frame	data/chars/3remuinho/boat/bt02.gif
	frame	data/chars/3remuinho/boat/bt01.gif
	frame	data/chars/3remuinho/boat/bt02.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif


		
anim	idle
	loop	1
	delay	5
	offset	400 250
	bbox	270 160 265 95
	frame	data/chars/3remuinho/boat/bt01.gif
	@cmd	attack1 -600 100 20 "ANI_FOLLOW2"
	frame	data/chars/3remuinho/boat/bt02.gif
		
anim	pain
	loop	0
	delay	5
	offset	400 250
	bbox	0 0 0 0
	frame	data/chars/3remuinho/boat/pain01.gif
	@cmd	leaper -4 3 0
	frame	data/chars/3remuinho/boat/pain01.gif
	frame	data/chars/3remuinho/boat/pain01.gif
	frame	data/chars/3remuinho/boat/pain01.gif
	frame	data/chars/3remuinho/boat/pain01.gif
	frame	data/chars/3remuinho/boat/pain01.gif
	frame	data/chars/3remuinho/boat/pain01.gif
	frame	data/chars/3remuinho/boat/pain01.gif
	frame	data/chars/3remuinho/boat/pain01.gif
	frame	data/chars/3remuinho/boat/pain01.gif
	frame	data/chars/3remuinho/boat/pain01.gif


		
anim	rise
	loop	0
	delay	14
	offset	400 250
	bbox	0 0 0 0
	frame	data/chars/3remuinho/boat/bt02.gif
		
anim	spawn
	loop	0
	delay	5
	offset	400 250
	bbox	0 0 0 0
	frame	data/chars/3remuinho/boat/bt04.gif
	@cmd	spawnbind "remboat3" 100 60 1
	frame	data/chars/3remuinho/boat/bt03.gif
	@cmd	spawnbind2 "swater3" -170 1 1 -1
	frame	data/chars/3remuinho/boat/bt03.gif
	@cmd	targetCam 5 220 280
	@cmd	dasher -3 0 0
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
	frame	data/chars/3remuinho/boat/bt03.gif
	@cmd	subscreen 1
	frame	data/chars/3remuinho/boat/bt03.gif
	frame	data/chars/3remuinho/boat/bt04.gif
		

		
#|edited by openBor Stats v 0.53
		
