name	 plgrdaim
type     none
health   0
nolife   1
facing   3
lifespan 20
subject_to_platform 0
subject_to_obstacle 0
subject_to_gravity 1
subject_to_wall 0
subject_to_hole 0
animationscript data/scripts/escript.c

load	plrocket2



anim	idle
	loop	0
	delay	5
	offset	58 62
	bbox	0 0 0 0
	frame	data/chars/3deterrent/damage/scope01.gif
	sound	data/sounds/bip2.wav
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	sound	data/sounds/bip2.wav
	frame	data/chars/3deterrent/damage/scope04.gif
	@cmd	tosser "plrocket2" 0 500 0 0 0.3 0
	frame	data/chars/3deterrent/damage/scope01.gif
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	sound	data/sounds/bip2.wav
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	sound	data/sounds/bip2.wav
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	sound	data/sounds/bip2.wav
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	sound	data/sounds/bip2.wav
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	sound	data/sounds/bip2.wav
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	sound	data/sounds/bip2.wav
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	sound	data/sounds/bip2.wav
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	frame	data/chars/3deterrent/damage/scope04.gif
	frame	data/chars/3deterrent/damage/scope01.gif
	frame	data/chars/3deterrent/damage/scope02.gif
	frame	data/chars/3deterrent/damage/scope03.gif
	frame	data/chars/3deterrent/damage/scope04.gif
	delay	100
	frame	data/chars/3deterrent/damage/grdempty.gif
	frame	data/chars/3deterrent/damage/grdempty.gif
	@cmd	suicide
	frame	data/chars/3deterrent/damage/grdempty.gif
	frame	data/chars/3deterrent/damage/grdempty.gif
		
anim	death
	loop	0
	delay	1
	offset	58 62
	bbox	0 0 0 0
	frame	data/chars/3deterrent/damage/grdempty.gif
		
anim	fall
	loop	0
	delay	1
	offset	58 62
	bbox	0 0 0 0
	frame	data/chars/3deterrent/damage/grdempty.gif
		
anim	pain
	loop	0
	delay	1
	offset	58 62
	bbox	0 0 0 0
	frame	data/chars/3deterrent/damage/grdempty.gif
		
anim	spawn
	loop	0
	delay	50
	offset	58 62
	bbox	0 0 0 0
	frame	data/chars/3deterrent/damage/grdempty.gif
	frame	data/chars/3deterrent/damage/grdempty.gif
	frame	data/chars/3deterrent/damage/grdempty.gif
	@cmd	beidle
	frame	data/chars/3deterrent/damage/grdempty.gif
		
#|edited by openBor Stats v 0.53
		
