name		kyoplr
type		player
health		150
mp		100
mprate          1
chargerate      2
speed		11
running		26 3.1 3 1 1
jumpheight	4
nodieblink	2
secret		0 1
weaploss	3
modelflag	1
noquake         0
makeinv		3
riseinv		1
gfxshadow	1
fmap		1
holdblock 	1
falldie		2
dust            dust
candamage	enemy obstacle
projectilehit 	player npc enemy
weapons		Robcar kyoplr Robcar2 robfall Robwtr Robvent mapcurs mrzero ryoturt
atchain         1 1 2 3 4 0 5 6 7 0 8 1
combostyle      1
icon		data/chars/xkyo/iconpl.png
parrow          data/chars/misc/flash/flash/player1.gif  -36 -145
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -145
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -145


animationscript		data/scripts/grabscript.c
ondrawscript 		data/scripts/water_puddle_script.c
script			data/scripts/player_script.c


palette		data/chars/xkyo/idle01.png
alternatepal	data/chars/xkyo/map1.png
alternatepal	data/chars/xkyo/map1.png
alternatepal	data/chars/xkyo/map2.png
alternatepal	data/chars/xkyo/map3.png
alternatepal	data/chars/xkyo/map4.png
alternatepal	data/chars/xkyo/map5.png
alternatepal	data/chars/xkyo/map6.png
alternatepal	data/chars/xkyo/map7.png


load	xkyopw


com	d f a	  freespecial9
com	d f s 	  freespecial7
com	f d s 	  freespecial5
com	d f j 	  freespecial6
com	a2	  freespecial15
com     f d f a freespecial26
com	f d f s freespecial27
com	a3	  freespecial29













anim	attack1
	range	0 135
	rangez	-15 15
	loop	0
	delay	3
	offset	73 120
	bbox	50 25 40 91
	fastattack	1
	hitfx	data/sounds/beat2.wav
	@cmd	attackgrd -60 60 0 1 10 "ANI_FOLLOW10"
	frame	data/chars/xkyo/a05.png
	delay	6
	attack	75 30 72 20 6 0 0 0 1 0
	frame	data/chars/xkyo/a06.png
	frame	data/chars/xkyo/a07.png
	delay	3
	attack	0 0 0 0
	frame	data/chars/xkyo/a08.png
		
anim	attack2
	range	0 65
	rangez	-15 15
	loop	0
	delay	3
	offset	73 120
	bbox	50 25 40 91
	fastattack	1
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xkyo/a12.png
	frame	data/chars/xkyo/a13.png
	delay	6
	attack2	75 40 60 20 20 0 0 0 5 0
	frame	data/chars/xkyo/a14.png
	frame	data/chars/xkyo/a15.png
	attack2	0 0 0 0
	frame	data/chars/xkyo/a12.png
		
anim	attack3
	range	0 65
	rangez	-15 15
	loop	0
	delay	3
	offset	73 120
	bbox	50 25 40 91
	fastattack	1
	hitfx	data/sounds/beat2.wav
	sound	data/sounds/xkyo01.wav
	frame	data/chars/xkyo/a09.png
	delay	6
	attack	75 30 60 20 30 0 0 0 7 0
	frame	data/chars/xkyo/a10.png
	frame	data/chars/xkyo/a11.png
	attack	0 0 0 0
	frame	data/chars/xkyo/a09.png
		
anim	attack4
	range	0 65
	rangez	-15 15
	loop	0
	delay	3
	offset	73 120
	bbox	50 25 40 91
	fastattack	1
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xkyo01.wav
	frame	data/chars/xkyo/a16.png
	frame	data/chars/xkyo/a17.png
	frame	data/chars/xkyo/a18.png
	offset	73 135
	bbox	50 40 50 91
	attack10	75 20 60 60 40 1 1 0 40 15
	dropv	4.5 1.2 0
	frame	data/chars/xkyo/a19.png
	frame	data/chars/xkyo/a20.png
	delay	6
	frame	data/chars/xkyo/a21.png
	attack10	0 0 0 0
	frame	data/chars/xkyo/a22.png
	offset	73 120
	bbox	50 25 40 91
	frame	data/chars/xkyo/a23.png
	frame	data/chars/xkyo/a24.png
		
anim	attack5
	range	65 85
	rangez	-15 15
	loop	0
	delay	3
	offset	73 120
	bbox	50 25 40 91
	fastattack	1
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xkyo/b20.png
	frame	data/chars/xkyo/b21.png
	delay	6
	attack2	75 60 72 40 20 0 1 0 5 0
	frame	data/chars/xkyo/b22.png
	attack2	0 0 0 0
	delay	5
	frame	data/chars/xkyo/b21.png
	frame	data/chars/xkyo/b23.png
		
anim	attack6
	range	65 85
	rangez	-15 15
	loop	0
	delay	3
	offset	73 120
	bbox	50 25 40 91
	fastattack	1
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/xkyo02.wav
	frame	data/chars/xkyo/b39.png
	frame	data/chars/xkyo/b40.png
	delay	6
	attack2	75 60 80 40 30 0 0 0 5 0
	frame	data/chars/xkyo/b41.png
