name goldengloves
type player
health  170
gfxshadow	1
speed   10
mp              150
mprate          1
chargerate      9
speed		11
running		28 3.3 3 1 1
jumpheight	4.3
falldie		2
noquake		1
nodieblink	2
makeinv		3
riseinv		1
holdblock 	1
blockpain	15
modelflag	1
weaploss	3
dust            dust
candamage	enemy obstacle
weapons		pltank kfyuri syuribike2 yurifall syurwtr syurivent mapcurs mrzero
atchain         1 1 2 3 4 5 0 6 7 8 0 1
combostyle      1
icon            data/chars/goldengloves/icon.gif
parrow          data/chars/misc/flash/flash/player1.gif  -36 -145
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -145
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -145

animationscript		data/scripts/grabscript.c
ondrawscript	data/scripts/water_puddle_script.c
script		data/scripts/player_script.c

palette		data/chars/goldengloves/idle-01.png

load	goldenglovespw

com	d f a	  freespecial9
com	d f s 	  freespecial7
com	f d s 	  freespecial5
com	d f j 	  freespecial6
com	a2	  freespecial15
com     f d f a   freespecial26
com	f d f s   freespecial27
com	a3	  freespecial29




























anim	attack1
	cancel	2 5 0 d f a freespecial9
	cancel	2 5 0 d f s freespecial7
	cancel	2 5 0 d f j freespecial6
	range	0 145
	rangez	-25 25
	fastattack	1
	delay	3
	offset	24 104
	bbox	11 13 26 92
	@cmd	attackgrd -75 75 0 1 20 "ANI_FOLLOW10"
	frame	data/chars/goldengloves/attack-01.png
	sound	data/sounds/goldshh.wav
	offset	24 103
	frame	data/chars/goldengloves/attack-02.png
	attack	20 19 54 33 10 0 1 0 5 15
	offset	24 104
	frame	data/chars/goldengloves/attack-03.png
	offset	24 104
	frame	data/chars/goldengloves/attack-04.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	24 104
	frame	data/chars/goldengloves/attack-01.png
		
anim	attack2
	cancel	2 6 0 d f a freespecial9
	cancel	2 5 0 d f s freespecial7
	cancel	2 6 0 d f j freespecial6
	bbox	12 11 27 94
	offset	24 104
	delay	3
	range	0 65
	rangez	-25 25
	fastattack	1
	frame	data/chars/goldengloves/attack2-01.png
	offset	23 103
	frame	data/chars/goldengloves/attack2-02.png
	attack	26 11 64 36 20 0 1 0 12 15
	offset	23 103
	frame	data/chars/goldengloves/attack2-03.png
	offset	23 103
	frame	data/chars/goldengloves/attack2-04.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	24 104
	frame	data/chars/goldengloves/attack2-05.png
	offset	24 104
	frame	data/chars/goldengloves/attack2-06.png
		
anim	attack3
	cancel	2 6 0 d f a freespecial9
	cancel	2 6 0 d f s freespecial7
	cancel	2 6 0 d f j freespecial6
	bbox	13 11 28 91
	offset	24 102
	range	0 65
	rangez	-25 25
	fastattack	1
	sound	data/sounds/goldshu.wav
	delay	4
	frame	data/chars/goldengloves/attack3-01.png
	offset	23 103
	frame	data/chars/goldengloves/attack3-02.png
	offset	23 103
	frame	data/chars/goldengloves/attack3-03.png
	attack	36 7 59 31 0 0 1 0 8 15
	offset	23 103
	frame	data/chars/goldengloves/attack3-04.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	24 103
	frame	data/chars/goldengloves/attack3-05.png
	offset	24 104
	frame	data/chars/goldengloves/attack3-06.png
		
anim	attack4
	cancel	2 10 0 d f a freespecial9
	cancel	2 10 0 d f s freespecial7
	cancel	2 12 0 d f j freespecial6
	offset	26 94
	range	0 65
	rangez	-25 25
	fastattack	1
	delay	1
	hitfx	data/sounds/beat5.wav
	frame	data/chars/goldengloves/attack4-01.png
	offset	26 88
	frame	data/chars/goldengloves/attack4-02.png
	delay	2
	attack	40 6 44 52 20 0 1 0 20 20
	offset	28 97
	frame	data/chars/goldengloves/attack4-03.png
	delay	3
	offset	27 97
	frame	data/chars/goldengloves/attack4-04.png
	offset	27 95
	frame	data/chars/goldengloves/attack4-05.png
	offset	26 91
	frame	data/chars/goldengloves/attack4-06.png
	delay	3
	attack	0 0 0 0 0 0 0 0 0 0
	offset	25 101
	frame	data/chars/goldengloves/attack4-07.png
	delay	7
	attack	36 15 44 46 20 0 1 0 20 20
	offset	25 104
	frame	data/chars/goldengloves/attack4-08.png
	delay	9
	attack	36 15 46 46 20 0 0 1 20 20
	offset	25 102
	frame	data/chars/goldengloves/attack4-09.png
	delay	6
	offset	25 102
	frame	data/chars/goldengloves/attack4-10.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	4
	offset	24 105
	frame	data/chars/goldengloves/attack4-11.png
	offset	24 105
	frame	data/chars/goldengloves/attack4-12.png
		
anim	attack5
	cancel	2 8 0 d f a freespecial9
	cancel	2 8 0 d f s freespecial7
	cancel	2 13 0 d f j freespecial6
	staydown	200 200
	range	0 65
	rangez	-25 25
	fastattack	1
	delay	1
	hitfx	data/sounds/hard2.wav
	bbox	12 11 27 93
	offset	24 104
	frame	data/chars/goldengloves/attack5-01.png
	delay	2
	offset	24 104
	frame	data/chars/goldengloves/attack5-02.png
	sound	data/sounds/goldhaa.wav
	attack	26 7 64 37 20 0 1 0 15 15
	delay	1
	offset	24 101
	frame	data/chars/goldengloves/attack5-03.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	2
	offset	19 99
	frame	data/chars/goldengloves/attack5-04.png
	delay	4
	hitfx	data/sounds/beat4.wav
	blast	31 -4 66 46 40 1 1 0 40 15
	dropv	2 4
	offset	11 96
	frame	data/chars/goldengloves/attack5-05.png
	delay	8
	offset	11 94
	frame	data/chars/goldengloves/attack5-06.png
	offset	12 94
	frame	data/chars/goldengloves/attack5-07.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	14 97
	frame	data/chars/goldengloves/attack5-08.png
	delay	10
	offset	14 99
	frame	data/chars/goldengloves/attack5-09.png
	delay	3
	offset	17 99
	frame	data/chars/goldengloves/attack5-10.png
	offset	20 102
	frame	data/chars/goldengloves/attack5-11.png
	offset	24 104
	frame	data/chars/goldengloves/attack5-12.png
	delay	4
	offset	24 105
	frame	data/chars/goldengloves/attack4-12.png
		
anim	attack6
	cancel	2 13 0 d f a freespecial9
	cancel	2 13 0 d f s freespecial7
	cancel	2 18 0 d f j freespecial6
	bbox	15 6 25 84
	delay	3
	offset	28 90
	range	65 85
	rangez	-25 25
	fastattack	1
	hitfx	data/sounds/beat5.wav
	frame	data/chars/goldengloves/attack6-01.png
	@cmd	dasher 0.3 0 0
	delay	4
	offset	26 80
	frame	data/chars/goldengloves/attack6-02.png
	attack	43 7 43 44 15 0 1 0 5 15
	offset	35 93
	frame	data/chars/goldengloves/attack6-03.png
	offset	41 95
	frame	data/chars/goldengloves/attack6-04.png
