name		bigali
type		enemy
subtype		chase
health		2000
speedf		1.1
noatflash	1
flash		cardam
falldie		1
nodieblink	2
shadow		0
nodrop		1
facing          1
nomove          0 1
cantgrab	1
aggression      20
nopain		1
offscreenkill	10000
hostile				player
candamage			player
icon		data/bgs/beyond/lvl2/mali/icon.gif
diesound        data/sounds/empty.wav
animationscript data/scripts/escript.c

lifebarstatus 300 10 0 1 0 2 5 
lifeposition 115  240
nameposition -200 -200
iconposition 50 227
nolife 1

load	cardam
load	bigaliarm1
load	bigaliarm2
load	mrkarate3


anim	attack1
	range	-50 100
	rangez	-15 15
	loop	0
	delay	4
	offset	550 650
	bbox	385 435 90 210
	@cmd	dasher -2 0 0 
	frame	data/bgs/beyond/lvl2/mali/idl01.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle07.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif


anim	attack2
	range	-120 -55
	rangez	-15 15
	loop	0
	delay	4
	offset	550 650
	bbox	385 435 90 210
	@cmd	dasher 2 0 0 
	frame	data/bgs/beyond/lvl2/mali/idl01.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle07.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif





anim	attack3
	range	-250 -130
	rangez	-15 15
	loop	0
	delay	4
	offset	550 650
	bbox	385 435 90 210
	@cmd	dasher 2 0 0 
	frame	data/bgs/beyond/lvl2/mali/idl01.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle07.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif
	frame	data/bgs/beyond/lvl2/mali/idl01.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle07.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
