name		exp5ene
type  trap
candamage	obstacle enemy
alpha		1
nolife     1
subject_to_gravity	0
lifespan 2



palette	none




anim	idle
	sound	data/sounds/xplosion.wav
	delay	5
	quakeframe	2 8 4
	offset	72 114
	frame	data/chars/misc/explosion/5/bomb00.gif
	offset	87 147
	attack	0 25 175 145 100 1 1 1 1 35
	frame	data/chars/misc/explosion/5/bomb01.gif
	offset	99 161
	frame	data/chars/misc/explosion/5/bomb02.gif
	offset	106 173
	frame	data/chars/misc/explosion/5/bomb03.gif
	offset	112 187
	frame	data/chars/misc/explosion/5/bomb04.gif
	attack	0 25 220 185 100 1 1 1 1 35
	offset	110 187
	frame	data/chars/misc/explosion/5/bomb05.gif
	offset	113 192
	frame	data/chars/misc/explosion/5/bomb06.gif
	offset	113 184
	frame	data/chars/misc/explosion/5/bomb07.gif
	offset	116 196
	frame	data/chars/misc/explosion/5/bomb08.gif
	attack	0 25 235 190 100 1 1 1 1 35
	offset	117 197
	frame	data/chars/misc/explosion/5/bomb09.gif
	offset	119 197
	frame	data/chars/misc/explosion/5/bomb10.gif
	offset	119 200
	frame	data/chars/misc/explosion/5/bomb11.gif
	attack	0 0 0 0
	offset	120 195
	frame	data/chars/misc/explosion/5/bomb12.gif
	offset	120 199
	frame	data/chars/misc/explosion/5/bomb13.gif
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.53
		
