name		deterrent
type		enemy
health		100
speed		10
jumpheight	0
noquake		1
falldie		1
nodieblink	2
makeinv		3
gfxshadow	1
nodrop		1
facing          3
nomove          0 1
antigrab	10
aggression      25
nopain		1
hostile				player npc
candamage			player npc
diesound        data/sounds/crash.wav
animationscript data/scripts/escript.c


load	detcannon
load	detegun
load	detrocket
load	tankgun2
load	explosion1
load	explosion2
load	explosion3
load	cardam2



anim	attack1
	range 	120 160
	delay	5
	offset	330 290
	bbox	175 190 350 85 35
	#platform	90 295 25 25 450 450 20 70
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif



anim	attack2
	range 	-160 -120
	delay	5
	offset	330 290
	bbox	175 190 350 85 35
	#platform	90 295 25 25 450 450 20 70
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif



		
anim	death
	loop	0
	delay	50
	offset	330 290
	bbox	0 0 0 0
	#platform	90 295 25 25 450 450 20 70
	@cmd	spawner2 "cardam2" 0 50 10
	@cmd	spawner "explosion3" 40 20 10
	frame	data/chars/3deterrent/deterrent01.gif
	@cmd	killgun 1 0
	frame	data/chars/3deterrent/deterrent02.gif
	@cmd	killgun 2 0
	frame	data/chars/3deterrent/deterrent01.gif
	@cmd	killgun 3 0
	frame	data/chars/3deterrent/deterrent02.gif
	@cmd	killgun 4 0
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
		
anim	fall
	loop	0
	delay	5
	offset	330 290
	bbox	175 190 350 85 35
	#platform	90 295 25 25 450 450 20 70
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
		
anim	idle
	loop	1
	delay	5
	offset	330 290
	bbox	175 190 350 85 35
	#platform	90 295 25 25 450 450 20 70
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	sound	data/sounds/tank2.wav
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif



		
anim	pain
	loop	0
	delay	5
	offset	330 290
	bbox	175 190 350 85 35
	#platform	90 295 25 25 450 450 20 70
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	move	9
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
		
anim	pain2
	loop	0
	delay	5
	offset	330 290
	bbox	175 190 350 85 35
	#platform	90 295 25 25 450 450 20 70
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	move	-9
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
		
anim	rise
	loop	0
	delay	5
	offset	330 290
	bbox	175 190 350 85 35
	#platform	90 295 25 25 450 450 20 70
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent02.gif
		
anim	spawn
	loop	0
	delay	15
	offset	330 290
	bbox	0 0 0 0
	frame	data/chars/3deterrent/deterrent01.gif
	@cmd	spawnGun "detrocket" -64 88 1 1
	frame	data/chars/3deterrent/deterrent01.gif
	@cmd	spawnGun "detcannon" 30 115 1 2
	frame	data/chars/3deterrent/deterrent01.gif
	@cmd	spawnGun "tankgun2" -247 30 1 3
	frame	data/chars/3deterrent/deterrent01.gif
	@cmd	spawnGun "detegun" 60 56 1 4
	frame	data/chars/3deterrent/deterrent01.gif
	frame	data/chars/3deterrent/deterrent01.gif




		
#|edited by openBor Stats v 0.53
		
