name		bag2
type		enemy
subtype		notgrab
health		100
jumpheight	0
nolife          1
noquake		1
falldie		1
nodieblink	3
makeinv		3
shadow		6
noatflash 	1
flash     	flash5
nodrop		1
nomove          1 1 
antigrab	80
aggression      55
hostile				player npc
candamage			player npc

diesound        data/sounds/burnt.wav
animationscript data/scripts/escript.c




alternatepal       data/chars/misc/bonus/bag/map1.gif
alternatepal       data/chars/misc/bonus/bag/map2.gif





anim	attack1
		
anim	death
	loop	0
	delay	16
	offset	102 270
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/misc/bonus/bag/bag06.gif
	frame	data/chars/misc/bonus/bag/bag07.gif
	frame	data/chars/misc/bonus/bag/bag08.gif
	frame	data/chars/misc/bonus/bag/bag09.gif
	frame	data/chars/misc/bonus/bag/bag10.gif
	frame	data/chars/misc/bonus/bag/bag11.gif
	frame	data/chars/misc/bonus/bag/bag12.gif
	delay	200
	frame	data/chars/misc/bonus/bag/bag12.gif
		
anim	fall
	loop	0
	delay	5
	offset	102 270
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/misc/bonus/bag/bag01.gif
		
anim	idle
	loop	0
	delay	55
	offset	102 270
	bbox	75 151 45 90
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/misc/bonus/bag/bag01.gif
		
anim	pain
	loop	0
	delay	12
	offset	102 270
	bbox	75 151 45 90
	@cmd	target 50 50 900 600 0
	platform   1 1 1 1 1 1 1 1
	hitfx	data/sounds/beat5.wav
	frame	data/chars/misc/bonus/bag/bag04.gif
	frame	data/chars/misc/bonus/bag/bag05.gif
	frame	data/chars/misc/bonus/bag/bag04.gif
	frame	data/chars/misc/bonus/bag/bag03.gif
	frame	data/chars/misc/bonus/bag/bag01.gif
	frame	data/chars/misc/bonus/bag/bag02.gif
	frame	data/chars/misc/bonus/bag/bag01.gif
	frame	data/chars/misc/bonus/bag/bag03.gif
	frame	data/chars/misc/bonus/bag/bag01.gif
	frame	data/chars/misc/bonus/bag/bag02.gif
	frame	data/chars/misc/bonus/bag/bag01.gif
	frame	data/chars/misc/bonus/bag/bag03.gif
		
anim	pain2
	loop	0
	delay	12
	offset	102 270
	bbox	75 151 45 90
	@cmd	target 50 50 900 600 0
	platform   1 1 1 1 1 1 1 1
	hitfx	data/sounds/beat5.wav
	frame	data/chars/misc/bonus/bag/bag04.gif
	frame	data/chars/misc/bonus/bag/bag05.gif
	frame	data/chars/misc/bonus/bag/bag04.gif
	frame	data/chars/misc/bonus/bag/bag03.gif
	frame	data/chars/misc/bonus/bag/bag01.gif
	frame	data/chars/misc/bonus/bag/bag02.gif
	frame	data/chars/misc/bonus/bag/bag01.gif
	frame	data/chars/misc/bonus/bag/bag03.gif
	frame	data/chars/misc/bonus/bag/bag01.gif
	frame	data/chars/misc/bonus/bag/bag02.gif
	frame	data/chars/misc/bonus/bag/bag01.gif
	frame	data/chars/misc/bonus/bag/bag03.gif
		
anim	rise
	loop	0
	delay	5
	offset	102 270
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/misc/bonus/bag/bag01.gif
		
anim	spawn
	loop	0
	delay	5
	offset	102 270
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/misc/bonus/bag/bag01.gif
		
anim	walk
	loop	0
	delay	5
	offset	102 270
	bbox	75 151 45 90
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/misc/bonus/bag/bag01.gif
		
#|edited by openBor Stats v 0.53
		
