name          overlord2
type          enemy
health        3000
speed         11
jumpheight    5
jumpspeed     25
throw         5 2
throwdamage   18
shadow        0
cantgrab      1
aggression    -135
grabdistance  50
nolife        1
falldie	      1
nodieblink    3
blockodds     1
nopassiveblock 1
gfxshadow     1
#risetime      1350 1350
dust            dust
projectilehit enemy obstacle
diesound      data/sounds/alien5.wav
icon		data/chars/beyond/3overlord/icon.gif
animationscript data/scripts/escript.c


lifebarstatus 300 10 0 1 0 2 5 
lifeposition 115  240
nameposition -200 -200
iconposition 50 227
nolife 1

palette	data/chars/beyond/3overlord/map1.gif

load	ldrpwr
load	ldrpwr2
load	ldrpwr3
load	ovtlk3
load	mbrain
load	overlordfn



anim	attack1
	range	70 95
	rangez	-14 14
	loop	0
	delay	7
	offset	100 189
	bbox	79 97 50 91
	hitfx	data/sounds/hard1.wav
	hitflash	flashscreen1
	frame	data/chars/beyond/3overlord/a01.gif
	frame	data/chars/beyond/3overlord/a02.gif
	attack	95 125 95 55 17 1 0 0 40 15
	dropv	2 5
	frame	data/chars/beyond/3overlord/a03.gif
	frame	data/chars/beyond/3overlord/a04.gif
	frame	data/chars/beyond/3overlord/a05.gif
	attack	0 0 0 0
	frame	data/chars/beyond/3overlord/a06.gif
		
anim	attack10
	range	-20 55
	rangez	-100 -25
	loop	0
	delay	15
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain1.gif
	frame	data/chars/beyond/3overlord/pain2.gif
	@cmd	spawnbind4 "ldrpwr" 1 1 1 1 4
	@cmd	spawnGun2 "ldrpwr2" 1 1 1 1
	frame	data/chars/beyond/3overlord/e01.gif
	delay	500
	frame	data/chars/beyond/3overlord/e02.gif
	delay	15
	frame	data/chars/beyond/3overlord/e01.gif
	@cmd	killgun 1 0
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif
		
anim	attack11
	range	220 380
	rangez	-50 50
	loop	0
	delay	15
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/k01.gif
	frame	data/chars/beyond/3overlord/k02.gif
	frame	data/chars/beyond/3overlord/k03.gif
	frame	data/chars/beyond/3overlord/k04.gif
	@cmd	spawnbind4 "ldrpwr3" 1 1 1 1 4
	frame	data/chars/beyond/3overlord/k05.gif
	delay	7
	frame	data/chars/beyond/3overlord/k04.gif
	frame	data/chars/beyond/3overlord/k05.gif
	@cmd	attack1 -150 0 15 "ANI_FOLLOW11"
	frame	data/chars/beyond/3overlord/k04.gif
	frame	data/chars/beyond/3overlord/k05.gif
	@cmd	looper 6 25
	delay	7
	frame	data/chars/beyond/3overlord/k04.gif
	@cmd	anichange "Ani_FOLLOW11"
	frame	data/chars/beyond/3overlord/k04.gif
		
anim	attack12
	range	-10 50
	rangez	-23 23
	loop	0
	delay	12
	offset	100 189
	bbox	0 0 0 0
	followanim	4
	followcond	1
	hitfx	data/sounds/grab.wav
	frame	data/chars/beyond/3overlord/pain1.gif
	frame	data/chars/beyond/3overlord/pain2.gif
	delay	20
	attack	90 80 70 55 0 0 1 1 15 35
	frame	data/chars/beyond/3overlord/d01.gif
	attack	0 0 0 0
	delay	14
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif
		
anim	attack14
	range	180 280
	rangez	-140 -25
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	followanim	1
	followcond	1
	quakeframe	2 4 8
	hitfx	data/sounds/beat5.wav
	@cmd	target 2 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run01.gif
	attack3	95 100 60 55 5 0 1 1 25 15
	frame	data/chars/beyond/3overlord/run02.gif
	frame	data/chars/beyond/3overlord/run03.gif
	frame	data/chars/beyond/3overlord/run04.gif
	sound	data/sounds/fall2.wav
	frame	data/chars/beyond/3overlord/run05.gif
	frame	data/chars/beyond/3overlord/run06.gif
	frame	data/chars/beyond/3overlord/run01.gif
	@cmd	target 2 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run02.gif
	frame	data/chars/beyond/3overlord/run03.gif
	frame	data/chars/beyond/3overlord/run04.gif
	sound	data/sounds/fall2.wav
	frame	data/chars/beyond/3overlord/run05.gif
	frame	data/chars/beyond/3overlord/run06.gif
	@cmd	looper 6 3
	@cmd	target 1 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run01.gif
	frame	data/chars/beyond/3overlord/run02.gif
