name          overlordfn
type          enemy
health        7500
speed         35
running	      18 0 0 1 0
jumpheight    0
throw         5 2
throwdamage   18
shadow        0
cantgrab      1
grabdistance  50
nolife        1
falldie	      1
nodieblink    3
blockodds     1
nopassiveblock 1
turndelay	15
escapehits    4
gfxshadow     1
#subject_to_wall 0
risetime      50 50
dust            dust
projectilehit enemy obstacle
diesound      data/sounds/alien5.wav
icon		data/chars/beyond/3overlord/icon.gif
animationscript data/scripts/escript.c

lifebarstatus 300 10 0 1 0 2 5 
lifeposition 115  240
nameposition -200 -200
iconposition 50 227
nolife 1



palette		data/chars/beyond/3overlord/map1.gif
alternatepal	data/chars/beyond/3overlord/map2.gif

load	ldrpwr
load	ldrpwr3
load	electov1
load	tentcl
load	tentcl2
load	ovrshoot
load	mbrain
load	ovtlk2
load	ovtlk4
load	tankfall



anim	attack1
	range	70 90
	loop	0
	delay	5
	offset	100 189
	bbox	79 97 50 91
	hitfx	data/sounds/hard1.wav
	frame	data/chars/beyond/3overlord/a01.gif
	frame	data/chars/beyond/3overlord/a02.gif
	attack3	95 125 95 55 30 0 0 0 30 15
	dropv	2 5
	delay	7
	frame	data/chars/beyond/3overlord/a03.gif
	frame	data/chars/beyond/3overlord/a04.gif
	delay	8
	@cmd	attack1 10 140 15 "ANI_ATTACK2" 
	frame	data/chars/beyond/3overlord/a05.gif
	@cmd	attack1 10 140 15 "ANI_ATTACK2" 
	attack3	0 0 0 0
	frame	data/chars/beyond/3overlord/a06.gif
		


		
anim	attack12
	range	-10 50
	rangez	-23 23
	loop	0
	delay	6
	offset	100 189
	bbox	0 0 0 0
	followanim	6
	followcond	1
	hitfx	data/sounds/grab.wav
	frame	data/chars/beyond/3overlord/pain1.gif
	frame	data/chars/beyond/3overlord/pain2.gif
	delay	15
	attack	90 80 70 55 0 0 1 1 15 35
	frame	data/chars/beyond/3overlord/d01.gif
	attack	0 0 0 0
	delay	9
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif


anim	attack2
	range	110 140
	rangez	-15 15
	loop	0
	delay	2
	offset	100 189
	bbox	79 97 50 91
	fastattack 1
	hitfx	data/sounds/hard2.wav
	move	5
	frame	data/chars/beyond/3overlord/bx01.gif
	frame	data/chars/beyond/3overlord/bx01.gif
	frame	data/chars/beyond/3overlord/bx01.gif
	frame	data/chars/beyond/3overlord/bx02.gif
	frame	data/chars/beyond/3overlord/bx02.gif
	frame	data/chars/beyond/3overlord/bx02.gif
	move	3
	attack3	106 95 87 35 45 0 0 0 35 15
	frame	data/chars/beyond/3overlord/bx03.gif
	frame	data/chars/beyond/3overlord/bx03.gif
	frame	data/chars/beyond/3overlord/bx03.gif
	frame	data/chars/beyond/3overlord/bx03.gif
	frame	data/chars/beyond/3overlord/bx04.gif
	move	2
	frame	data/chars/beyond/3overlord/bx04.gif
	frame	data/chars/beyond/3overlord/bx04.gif
	frame	data/chars/beyond/3overlord/bx04.gif
	attack3	0 0 0 0
	move	0
	delay	9
	frame	data/chars/beyond/3overlord/bx02.gif
	delay	2
	move	5
	frame	data/chars/beyond/3overlord/c01.gif
	frame	data/chars/beyond/3overlord/c01.gif
	frame	data/chars/beyond/3overlord/c01.gif
	move	4
	frame	data/chars/beyond/3overlord/c02.gif
	frame	data/chars/beyond/3overlord/c02.gif
	hitflash	flashscreen1
	frame	data/chars/beyond/3overlord/c02.gif
	move	3
	attack3	115 95 90 45 50 1 0 0 45 15
	dropv	2 6
	frame	data/chars/beyond/3overlord/c03.gif
	frame	data/chars/beyond/3overlord/c03.gif
	frame	data/chars/beyond/3overlord/c03.gif
	frame	data/chars/beyond/3overlord/c03.gif
	delay	12
	move	0
	frame	data/chars/beyond/3overlord/c04.gif
	attack3	0 0 0 0
	delay	11
	frame	data/chars/beyond/3overlord/c02.gif
	frame	data/chars/beyond/3overlord/c01.gif



		
		
anim	attack8
	range	150 315
	rangez	35 170
	loop	0
	delay	7
	offset	100 189
	bbox	79 97 50 91
	followanim	1
	followcond	1
	quakeframe	2 4 8
	hitfx	data/sounds/beat5.wav
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run01.gif
	attack3	95 100 60 55 5 0 1 1 25 15
	frame	data/chars/beyond/3overlord/run02.gif
	frame	data/chars/beyond/3overlord/run03.gif
	frame	data/chars/beyond/3overlord/run04.gif
	sound	data/sounds/fall2.wav
	frame	data/chars/beyond/3overlord/run05.gif
	frame	data/chars/beyond/3overlord/run06.gif
	frame	data/chars/beyond/3overlord/run01.gif
	@cmd	target 3 1.5 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run02.gif
	frame	data/chars/beyond/3overlord/run03.gif
	frame	data/chars/beyond/3overlord/run04.gif
	sound	data/sounds/fall2.wav
	frame	data/chars/beyond/3overlord/run05.gif
	frame	data/chars/beyond/3overlord/run06.gif
	@cmd	looper 6 3
	@cmd	target 1 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run01.gif
	frame	data/chars/beyond/3overlord/run02.gif
	frame	data/chars/beyond/3overlord/run03.gif
	sound	data/sounds/fall2.wav
