name          elisa
type          enemy
subtype	      chase
health        160
speed         10
running	      25 3 3 1 0
jumpheight    4
jumpmove       0  4
throw         5 2
throwdamage   18
blockodds     1
nopassiveblock 1
shadow        0
noquake       1
falldie	      2
nodieblink    1
gfxshadow     1
dust            dust
projectilehit enemy obstacle
diesound      data/sounds/bgdie5.wav
icon	data/chars/2badgirl5/icon.gif
icondie	data/chars/2badgirl5/icond.gif
animationscript data/scripts/escript.c




alternatepal       data/chars/2badgirl5/map1.gif
alternatepal       data/chars/2badgirl5/map2.gif
alternatepal       data/chars/2badgirl5/map3.gif
alternatepal       data/chars/2badgirl5/map4.gif


@script
   void self = getlocalvar("self");
   void anim = getentityproperty(self,"animationID");
   void hp = getentityproperty(self,"health");
   int x = getentityproperty(self, "x");
   int a = getentityproperty(self, "a");
   int z = getentityproperty(self, "z");
   int Dir = getentityproperty(self, "direction");
   int Sx = 10;  //----distance from platform
   int jp = 1;   //----jump velocity


if(anim == openborconstant("ANI_WALK") || anim == openborconstant("ANI_RUN"))
{
	float Hy;
	if(Dir==0)
	{
	Sx = -10;
	jp = -1;
	}

	Hy = checkplatformbelow(x+Sx,z, 70);

	if(Hy > 1 && a <= 7 && hp > 0)
	{
	//changeentityproperty(self, "velocity", 0, 0, 0);
	tossentity(self, 4, jp, 0);
	performattack(self,openborconstant("ANI_JUMP"));
	}
}
@end_script


anim	jump
	range	20 150
	loop	0
	delay	15
	offset	100 193
	bbox	79 97 50 91
	frame	data/chars/2badgirl5/blk13.gif
	frame	data/chars/2badgirl5/a105.gif
	frame	data/chars/2badgirl5/a106.gif

anim	jumpland
	loop	0
	delay	15
	offset	100 193
	bbox	79 97 50 91
	frame	data/chars/2badgirl5/blk13.gif
	frame	data/chars/2badgirl5/blk12.gif





anim	attack1
	range	5 80
	loop	0
	delay	9
	offset	100 193
	bbox	79 97 50 91
	followanim	1
	followcond	1
	hitfx	data/sounds/beat2.wav
	frame	data/chars/2badgirl5/a080.gif
	frame	data/chars/2badgirl5/a081.gif
	attack	121 106 59 20 13 0 0 0 13
	frame	data/chars/2badgirl5/a082.gif
	attack	0 0 0 0
	frame	data/chars/2badgirl5/a083.gif
	frame	data/chars/2badgirl5/a084.gif
	frame	data/chars/2badgirl5/a084.gif
		
anim	attack2
	range	190 360
	loop	0
	delay	11
	offset	100 193
	bbox	0 0 0 0
	jumpframe	1 3 2 0
	landframe	8
	hitfx	data/sounds/beat2.wav
	frame	data/chars/2badgirl5/blk10.gif
	delay	7
	frame	data/chars/2badgirl5/a105.gif
	frame	data/chars/2badgirl5/a106.gif
	sound	data/sounds/bgirl11.wav
	frame	data/chars/2badgirl5/a107.gif
	frame	data/chars/2badgirl5/a108.gif
	frame	data/chars/2badgirl5/a109.gif
	frame	data/chars/2badgirl5/a110.gif
	frame	data/chars/2badgirl5/a117.gif
	frame	data/chars/2badgirl5/a111.gif
	delay	1
	move	4
	bbox	79 97 50 91
	frame	data/chars/2badgirl5/a112.gif
	frame	data/chars/2badgirl5/a113.gif
	frame	data/chars/2badgirl5/a113.gif
	frame	data/chars/2badgirl5/a113.gif
	frame	data/chars/2badgirl5/a113.gif
	frame	data/chars/2badgirl5/a114.gif
	frame	data/chars/2badgirl5/a114.gif
	frame	data/chars/2badgirl5/a114.gif
	frame	data/chars/2badgirl5/a114.gif
	frame	data/chars/2badgirl5/a114.gif
	attack	118 156 85 20 13 1 0 0 33 0
	frame	data/chars/2badgirl5/a115.gif
	frame	data/chars/2badgirl5/a115.gif
	frame	data/chars/2badgirl5/a115.gif
	frame	data/chars/2badgirl5/a115.gif
	frame	data/chars/2badgirl5/a115.gif
	frame	data/chars/2badgirl5/a115.gif
	frame	data/chars/2badgirl5/a115.gif
	frame	data/chars/2badgirl5/a115.gif
	frame	data/chars/2badgirl5/a115.gif
	frame	data/chars/2badgirl5/a116.gif
	frame	data/chars/2badgirl5/a116.gif
	frame	data/chars/2badgirl5/a116.gif
	frame	data/chars/2badgirl5/a116.gif
	frame	data/chars/2badgirl5/a116.gif
	frame	data/chars/2badgirl5/a116.gif
	frame	data/chars/2badgirl5/a116.gif
	frame	data/chars/2badgirl5/a116.gif
	frame	data/chars/2badgirl5/a116.gif
	attack	0 0 0 0
	move	0
	delay	10
	frame	data/chars/2badgirl5/a114.gif
	frame	data/chars/2badgirl5/a113.gif
	frame	data/chars/2badgirl5/a112.gif
	frame	data/chars/2badgirl5/blk11.gif
	frame	data/chars/2badgirl5/blk12.gif
	frame	data/chars/2badgirl5/blk13.gif
		
anim	block
	loop	0
	delay	3
	offset	100 193
	bbox	0 0 0 0
	move	-9
	frame	data/chars/2badgirl5/blk01.gif
	frame	data/chars/2badgirl5/blk01.gif
	frame	data/chars/2badgirl5/blk02.gif
	frame	data/chars/2badgirl5/blk02.gif
	frame	data/chars/2badgirl5/blk03.gif
	frame	data/chars/2badgirl5/blk03.gif
	frame	data/chars/2badgirl5/blk04.gif
	frame	data/chars/2badgirl5/blk04.gif
	frame	data/chars/2badgirl5/blk05.gif
	frame	data/chars/2badgirl5/blk05.gif
	frame	data/chars/2badgirl5/blk06.gif
	frame	data/chars/2badgirl5/blk06.gif
	frame	data/chars/2badgirl5/blk07.gif
	frame	data/chars/2badgirl5/blk07.gif
	frame	data/chars/2badgirl5/blk08.gif
	frame	data/chars/2badgirl5/blk08.gif
	frame	data/chars/2badgirl5/blk09.gif
	frame	data/chars/2badgirl5/blk09.gif
	frame	data/chars/2badgirl5/blk10.gif
	frame	data/chars/2badgirl5/blk10.gif
	move	0
	delay	10
	frame	data/chars/2badgirl5/blk11.gif
	frame	data/chars/2badgirl5/blk12.gif
	frame	data/chars/2badgirl5/blk13.gif
		
anim	burn
	loop	0
	delay	25
	offset	100 188
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	85 85 30 45 5 1 0 0 13 30
	frame	data/chars/2badgirl5/fall1.gif
	delay	15
	attack	77 120 50 25 5 1 0 0 13 30
	frame	data/chars/2badgirl5/fall2.gif
	delay	500
	frame	data/chars/2badgirl5/fall3.gif
	attack	0 0 0 0
	bbox	58 175 85 15
	delay	15
	frame	data/chars/2badgirl5/fall4.gif
	frame	data/chars/2badgirl5/fall5.gif
	delay	170
	frame	data/chars/2badgirl5/fall4.gif
		
anim	death
	loop	0
	delay	30
	offset	100 188
	bbox	0 0 0 0
	frame	data/chars/2badgirl5/fall4.gif
	delay	15
	frame	data/chars/2badgirl5/rise1.gif
	delay	50
	frame	data/chars/2badgirl5/rise2.gif
	delay	15
	frame	data/chars/2badgirl5/pain12.gif
	frame	data/chars/2badgirl5/fall4.gif
	frame	data/chars/2badgirl5/rise1.gif
	frame	data/chars/2badgirl5/fall4.gif
	frame	data/chars/2badgirl5/fall4.gif
		
anim	fall
	loop	0
	delay	25
	offset	100 188
	bbox	83 77 50 68
	landframe	3
	attack	89 79 40 70 5 1 0 0 13 30
	frame	data/chars/2badgirl5/fall1.gif
	delay	15
	bbox	62 104 86 50
	attack	61 106 91 45 5 1 0 0 13 30
	frame	data/chars/2badgirl5/fall2.gif
	delay	500
	bbox	70 125 85 40
	attack	68 123 91 45 5 1 0 0 13 30
	frame	data/chars/2badgirl5/fall3.gif
	delay	15
	attack	0 0 0 0
	bbox	68 175 85 15
	frame	data/chars/2badgirl5/fall4.gif
	frame	data/chars/2badgirl5/fall5.gif
	delay	170
	frame	data/chars/2badgirl5/fall4.gif


anim	fall9
	loop	0
	delay	10
	offset	100 188
	bbox	83 77 50 68
	quakeframe	2 5 5
	landframe	2 dust
	attack	89 79 40 70 5 1 0 0 13 30
	frame	data/chars/2badgirl5/fall1.gif
	delay	350
	bbox	62 104 86 50
	attack	61 106 91 45 5 1 0 0 13 30
	frame	data/chars/2badgirl5/fall2.gif
	delay	2
	move	-4
	bbox	70 125 85 40
	attack	68 123 91 45 5 1 0 0 13 30
	frame	data/chars/2badgirl5/fall3.gif
	frame	data/chars/2badgirl5/fall3.gif
	frame	data/chars/2badgirl5/fall3.gif
	@cmd	looper 3 5
	move	-3
	attack	0 0 0 0
	bbox	0 0 0 0
	frame	data/chars/2badgirl5/fall4.gif
	frame	data/chars/2badgirl5/fall4.gif
	frame	data/chars/2badgirl5/fall4.gif
	@cmd	looper 6 4
	move	-2
	frame	data/chars/2badgirl5/fall5.gif
	frame	data/chars/2badgirl5/fall5.gif
