name	 	ssleonapw
type    	none
shadow  	0
alpha		1
lifespan  	12
offscreenkill 	200
falldie	 	1
nolife          1
subject_to_hole 0
subject_to_gravity 0
subject_to_wall 0
subject_to_platform 0
subject_to_minz    0
subject_to_maxz    0
candamage	enemy obstacle

animationscript data/scripts/escript.c

palette	none








anim	follow1
		
anim	follow2
	loop	0
	delay	4
	offset	-47 47
	bbox	0 0 0 0
	frame	data/chars/ssleona/pw/pwc1.png
	frame	data/chars/ssleona/pw/pwc2.png
	frame	data/chars/ssleona/pw/pwc3.png
	frame	data/chars/ssleona/pw/pwc4.png
	frame	data/chars/ssleona/pw/pwc5.png
	frame	data/chars/ssleona/pw/pwc6.png
	frame	data/chars/ssleona/pw/pwc7.png
	frame	data/chars/ssleona/pw/pwc8.png
	frame	data/chars/ssleona/pw/pwc9.png
	frame	data/chars/ssleona/pw/pwc10.png
	frame	data/chars/ssleona/pw/pwc11.png
	frame	data/chars/ssleona/pw/pwc12.png
	frame	data/chars/ssleona/pw/pwc13.png
	frame	data/chars/ssleona/pw/pwc14.png
	frame	data/chars/ssleona/pw/pwc15.png
	frame	data/chars/ssleona/pw/pwc16.png
	frame	data/chars/ssleona/pw/pwc17.png
	frame	data/chars/ssleona/pw/pwc18.png
	frame	data/chars/ssleona/pw/pwc19.png
	frame	data/chars/ssleona/pw/pwc20.png
	frame	data/chars/ssleona/pw/pwc21.png
	frame	data/chars/ssleona/pw/pwc22.png
	frame	data/chars/ssleona/pw/pwc23.png
	frame	data/chars/ssleona/pw/pwc24.png
	frame	data/chars/ssleona/pw/emp.png
	@cmd	suicide
	frame	data/chars/ssleona/pw/emp.png
		
anim	follow3
	loop	0
	delay	4
	offset	10 -45
	bbox	0 0 0 0
	sound	data/sounds/burn.wav
	frame	data/chars/ssleona/pw/pwd1.png
	offset	29 -25
	frame	data/chars/ssleona/pw/pwd2.png
	offset	29 25
	frame	data/chars/ssleona/pw/pwd3.png
	frame	data/chars/ssleona/pw/pwd4.png
	frame	data/chars/ssleona/pw/pwd5.png
	frame	data/chars/ssleona/pw/pwd6.png
	frame	data/chars/ssleona/pw/pwd7.png
	frame	data/chars/ssleona/pw/pwd8.png
	frame	data/chars/ssleona/pw/pwd9.png
	frame	data/chars/ssleona/pw/pwd10.png
	frame	data/chars/ssleona/pw/pwd11.png
	frame	data/chars/ssleona/pw/pwd12.png
	offset	10 15
	frame	data/chars/ssleona/pw/pwd13.png
	offset	20 -55
	frame	data/chars/ssleona/pw/pwd14.png
	offset	29 -45
	frame	data/chars/ssleona/pw/pwd15.png
	offset	24 -45
	frame	data/chars/ssleona/pw/pwd16.png
	frame	data/chars/ssleona/pw/emp.png
	@cmd	suicide
	frame	data/chars/ssleona/pw/emp.png
		
anim	follow5
	loop	0
	delay	5
	offset	-30 20
	bbox	0 0 0 0
	frame	data/chars/ssleona/pw/rf05.png
	offset	55 20
	frame	data/chars/ssleona/pw/rf06.png
	frame	data/chars/ssleona/pw/rf07.png
	frame	data/chars/ssleona/pw/rf08.png
	frame	data/chars/ssleona/pw/rf09.png
	frame	data/chars/ssleona/pw/rf10.png
	offset	55 0
	frame	data/chars/ssleona/pw/rf11.png
	offset	55 -10
	frame	data/chars/ssleona/pw/rf12.png
	offset	55 -20
	frame	data/chars/ssleona/pw/rf13.png
	offset	55 -30
	frame	data/chars/ssleona/pw/rf14.png
	offset	55 -40
	frame	data/chars/ssleona/pw/rf15.png
	@cmd	suicide
	frame	data/chars/ssleona/pw/emp.png
		
anim	idle
		
anim	spawn
	loop	0
	delay	3
	offset	1 1
	bbox	0 0 0 0
	frame	data/chars/ssleona/pw/emp.png
		
#|edited by openBor Stats v 0.67
		
