name		shpfar
type		none
setlayer	-900
shadow		0
facing		1
nomove		0 1
offscreenkill 	10000
subject_to_obstacle 0
subject_to_hole 0
subject_to_gravity 0
subject_to_wall 0
subject_to_minz 0
subject_to_maxz 0
candamage	obstacle
animationscript data/scripts/escript.c


alternatepal	data/bgs/beyond/lvl2/bck/fshipmap1.gif


load	shpfshw




		
anim	idle
	loop	1
	delay	10
	offset	350 255
	bbox	0 0 0 0
	@cmd	spawnGun "shpfshw" -50 1 1 1
	frame	data/bgs/beyond/lvl2/bck/fship01.gif
	delay	1650
	@cmd	dasher 0.3 0 0
	frame	data/bgs/beyond/lvl2/bck/fship01.gif
	delay	14
	frame	data/bgs/beyond/lvl2/bck/fship01.gif
	sound	data/sounds/alien12.wav
	frame	data/bgs/beyond/lvl2/bck/fship02.gif
	frame	data/bgs/beyond/lvl2/bck/fship03.gif
	frame	data/bgs/beyond/lvl2/bck/fship04.gif
	frame	data/bgs/beyond/lvl2/bck/fship05.gif
	frame	data/bgs/beyond/lvl2/bck/fship06.gif
	frame	data/bgs/beyond/lvl2/bck/fship07.gif
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	delay	60
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 50 80 1 2 "ANI_FOLLOW1"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 38 75 1 3 "ANI_FOLLOW2"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 35 75 -1 4 "ANI_FOLLOW3"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 50 80 1 2 "ANI_FOLLOW1"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 38 75 1 3 "ANI_FOLLOW2"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 35 75 -1 4 "ANI_FOLLOW3"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 50 80 1 2 "ANI_FOLLOW1"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 38 75 1 3 "ANI_FOLLOW2"
