name		jonpl3
type		player
health		160
mp		200
mprate          6
speed		12
running		17 3 2.5 1 1
height		105
secret		0 999999
nodieblink	2
falldie		2
noquake         0
makeinv		3
riseinv		1
weaploss	3
modelflag	1
gfxshadow	1
fmap		1
holdblock 	1
dust            dust
candamage	enemy obstacle
projectilehit 	enemy
weapons		jonyrod2 jonpl2 Robcar2 fastryofall ryowtr ryovent mapcurs mrzero jonpl1
diesound        data/sounds/die6.wav
atchain         1 2 3 0
combostyle      0
icon		data/chars/3johnny/iconpl.gif
parrow          data/chars/misc/flash/flash/player1.gif  -36 -145
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -145
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -145

animationscript data/scripts/escript.c
script		data/scripts/player_script.c

palette		data/chars/3johnny/mapal.gif
alternatepal	data/chars/3johnny/map1.gif
alternatepal	data/chars/3johnny/map2.gif


com	d f a	freespecial2
com	f d a	freespecial4
com	f d s	freespecial3
com	d f s	freespecial1
com	a3 freespecial10
com	a4 freespecial20
com	a2	  freespecial15


load	bullnpc
load	mine1




































anim	attack1
	range	0 120
	rangez	-40 40
	loop	0
	delay	5
	offset	101 190
	bbox	85 96 39 91
	staydown	300 300
	fastattack	1
	hitflash	Flash4
	hitfx	data/sounds/sl1.wav
	@cmd	attackgrd -15 90 0 1 10 "ANI_FOLLOW10"
	frame	data/chars/3johnny/a301.gif
	attack	108 74 103 32 15 0 1 0 5 0
	frame	data/chars/3johnny/a303.gif
	frame	data/chars/3johnny/a304.gif
	attack	0 0 0 0
	frame	data/chars/3johnny/a302.gif
		
anim	attack2
	range	0 120
	rangez	-40 40
	loop	0
	delay	5
	offset	101 190
	bbox	85 96 39 91
	hitflash	Flash4
	hitfx	data/sounds/sl1.wav
	frame	data/chars/3johnny/a301b.gif
	bbox	85 96 39 91
	frame	data/chars/3johnny/a305.gif
	attack	105 90 110 45 25 0 1 0 5 0
	dropv	4 2
	frame	data/chars/3johnny/a307.gif
	frame	data/chars/3johnny/a308.gif
	attack	0 0 0 0
	frame	data/chars/3johnny/a306.gif
	frame	data/chars/3johnny/a305.gif
		
anim	attack3
	range	0 120
	rangez	-40 40
	loop	0
	delay	7
	offset	101 190
	bbox	85 96 39 91
	staydown	300 300
	hitfx	data/sounds/beat5.wav
	frame	data/chars/3johnny/gun01.gif
	move	6
	frame	data/chars/3johnny/bx01.gif
	frame	data/chars/3johnny/bx02.gif
	frame	data/chars/3johnny/bx03.gif
	attack	115 85 80 50 55 1 1 0 20 10
	dropv	3 4
	frame	data/chars/3johnny/bx04.gif
	delay	12
	move	0
	frame	data/chars/3johnny/bx05.gif
	attack	0 0 0 0
	delay	10
	frame	data/chars/3johnny/bx03.gif
	frame	data/chars/3johnny/bx02.gif
	frame	data/chars/3johnny/bx01.gif
		
anim	attackdown
	loop	0
	delay	8
	offset	101 190
	bbox	0 0 0 0
	jumpframe	0 2 0 1
	landframe	5 dust
	frame	data/chars/3johnny/gnju02.gif
	frame	data/chars/3johnny/gnju02a.gif
	frame	data/chars/3johnny/gnju03.gif
	frame	data/chars/3johnny/gnju02a.gif
	delay	300
	frame	data/chars/3johnny/gnju02.gif
	delay	9
	frame	data/chars/3johnny/gnju01.gif
		
anim	attackup
	loop	0
	delay	8
	offset	101 190
	bbox	0 0 0 0
	jumpframe	0 2 0 -1
	landframe	5 dust
	frame	data/chars/3johnny/gnju02.gif
	frame	data/chars/3johnny/gnju02a.gif
	frame	data/chars/3johnny/gnju03.gif
	frame	data/chars/3johnny/gnju02a.gif
	delay	300
	frame	data/chars/3johnny/gnju02.gif
	delay	9
	frame	data/chars/3johnny/gnju01.gif
		
anim	burn
	loop	0
	delay	25
	offset	101 190
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	78 98 30 45 5 1 0 0 13 0
	frame	data/chars/3johnny/gnfall1.gif
	delay	15
	attack	64 130 50 25 5 1 0 0 13 0
	frame	data/chars/3johnny/gnfall2.gif
	delay	500
	frame	data/chars/3johnny/gnfall3.gif
	attack	0 0 0 0
	delay	15
	frame	data/chars/3johnny/gnfall4.gif
	frame	data/chars/3johnny/gnfall5.gif
	frame	data/chars/3johnny/gnfall4.gif
		
anim	death
	loop	0
	delay	14
	offset	101 190
	bbox	0 0 0 0
	frame	data/chars/3johnny/gnfall4.gif
	delay	30
	frame	data/chars/3johnny/gnrise1.gif
	frame	data/chars/3johnny/gnrise2.gif
	frame	data/chars/3johnny/gnrise2.gif
	frame	data/chars/3johnny/gnrise2.gif
	frame	data/chars/3johnny/gnrise2.gif
	frame	data/chars/3johnny/gnrise1.gif
	delay	100
	frame	data/chars/3johnny/gnfall4.gif
		
anim	fall
	loop	0
	delay	25
	offset	101 190
	bbox	0 0 0 0
	landframe	3
	attack	78 98 30 45 5 1 0 0 13 0
	frame	data/chars/3johnny/gnfall1.gif
	delay	15
	attack	64 130 50 25 5 1 0 0 13 0
	frame	data/chars/3johnny/gnfall2.gif
	delay	500
	frame	data/chars/3johnny/gnfall3.gif
	attack	0 0 0 0
	delay	15
	frame	data/chars/3johnny/gnfall4.gif
	frame	data/chars/3johnny/gnfall5.gif
	frame	data/chars/3johnny/gnfall4.gif
		
anim	fall7
	delay	1000
	offset	100 165
	frame	data/chars/3johnny/slamck0.gif
	offset	80 185
