name		leonaplr
type		player
health		150
mp		100
mprate          1
chargerate      2
speed		16
running		26 3.1 2 1 1
jumpheight	4
nodieblink	2
secret		0 1
weaploss	3
modelflag	1
noquake         0
makeinv		3
riseinv		1
gfxshadow	1
fmap		1
holdblock 	1
falldie		2
dust            dust
candamage	enemy obstacle
projectilehit 	player npc enemy
weapons		yuribike leonaplr yuribike2 yurifall yurwtr yurivent mapcurs mrzero
atchain         1 1 2 3 4 0 5 6 7 0 8 1
combostyle      1
icon		data/chars/xleona/iconpl.png
parrow          data/chars/misc/flash/flash/player1.gif  -36 -145
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -145
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -145


animationscript		data/scripts/grabscript.c
ondrawscript 		data/scripts/water_puddle_script.c
script			data/scripts/player_script.c


palette		data/chars/xleona/idle01.png
alternatepal		data/chars/xleona/idle01.png
alternatepal	data/chars/xleona/map1.png
alternatepal	data/chars/xleona/map2.png
alternatepal	data/chars/xleona/map3.png
alternatepal	data/chars/xleona/map4.png
alternatepal	data/chars/xleona/map5.png
alternatepal	data/chars/xleona/map6.png
alternatepal	data/chars/xleona/map7.png
alternatepal	data/chars/xleona/map8.png
alternatepal	data/chars/xleona/map9.png



load	xleonapw

com	a3	  freespecial29
com	a2 	  freespecial15

com	d f a	  freespecial9
com	d f j	  freespecial8
com	d f s	  freespecial3

com	f d f a freespecial26
com	f d f s freespecial27
























anim	attack1
	range	0 140
	rangez	-15 15
	loop	0
	delay	3
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitflash	Flash4
	hitfx	data/sounds/sl1.wav
	@cmd	attackgrd -60 60 0 1 10 "ANI_FOLLOW10"
	frame	data/chars/xleona/a01.png
	attack	140 120 90 30 6 0 0 0 1 0
	frame	data/chars/xleona/a02.png
	delay	5
	frame	data/chars/xleona/a03.png
	attack	0 0 0 0
	delay	3
	frame	data/chars/xleona/a04.png
		
anim	attack2
	range	0 60
	rangez	-15 15
	loop	0
	delay	4
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitflash	Flash
	hitfx	data/sounds/beat2.wav
	sound	data/sounds/xleona01.wav
	frame	data/chars/xleona/b01.png
	frame	data/chars/xleona/b02.png
	delay	5
	attack	135 110 77 40 20 0 0 0 15 0
	frame	data/chars/xleona/b03.png
	frame	data/chars/xleona/b04.png
	attack	0 0 0 0
	frame	data/chars/xleona/b02.png
	frame	data/chars/xleona/b01.png
		
anim	attack3
	range	0 60
	rangez	-15 15
	loop	0
	delay	4
	offset	130 212
	bbox	118 119 30 75
	fastattack	1
	hitfx	data/sounds/beat2.wav
	sound	data/sounds/xleona01.wav
	frame	data/chars/xleona/b10.png
	frame	data/chars/xleona/b11.png
	delay	5
	attack2	135 140 77 40 20 0 0 0 15 0
	frame	data/chars/xleona/b12.png
	frame	data/chars/xleona/b13.png
	attack2	0 0 0 0
	frame	data/chars/xleona/b11.png
	frame	data/chars/xleona/b10.png
		
anim	attack4
	range	0 60
	rangez	-15 15
	loop	0
	delay	6
	offset	145 211
	bbox	130 125 30 75
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xleona02.wav
	frame	data/chars/xleona/b42.png
	frame	data/chars/xleona/b43.png
	frame	data/chars/xleona/b43a.png
	frame	data/chars/xleona/b44.png
	delay	12
	attack10	135 120 100 60 40 1 0 0 35 15
	dropv	5 1
	frame	data/chars/xleona/b45.png
	attack10	0 0 0 0
	delay	8
	frame	data/chars/xleona/b46.png
	frame	data/chars/xleona/b47.png
	frame	data/chars/xleona/b47a.png
	frame	data/chars/xleona/b48.png
		
anim	attack5
	range	60 85
	rangez	-15 15
	loop	0
	delay	5
	offset	130 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/xleona01.wav
	frame	data/chars/xleona/a10.png
	frame	data/chars/xleona/a11.png
	attack	143 125 75 30 20 0 0 0 10 0
	delay	6
	frame	data/chars/xleona/a12.png
	frame	data/chars/xleona/a13.png
	attack	0 0 0 0
	frame	data/chars/xleona/a14.png
	frame	data/chars/xleona/a15.png
		
anim	attack6
	range	60 85
	rangez	-15 15
	loop	0
	delay	5
	offset	130 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/xleona01.wav
	frame	data/chars/xleona/a30.png
