name          betty
type          enemy
subtype	      chase	
health        4000
speed         7
running	      21 3 3 1 0
jumpheight    4
throw         5 2
throwdamage   18
grabdistance	50
nolife        1
nodieblink    3
escapehits    3
falldie       2
gfxshadow     1
blockodds     1
thold         80
risetime      1500 1500
dust            dust
projectilehit enemy obstacle
diesound      data/sounds/jack6.wav
animationscript data/scripts/escript.c

load	bettytlk


icon		data/chars/3betty/icon.png
lifebarstatus 300 10 0 1 0 2 5 
lifeposition 115  240
nameposition -200 -200
iconposition 50 227
nolife 1

palette	none











anim	attack1
	range	110 150
	loop	0
	delay	3
	offset	130 183
	bbox	0 0 0 0
	fastattack	1
	sound	data/sounds/bgirl12.wav
	hitfx	data/sounds/beat2.wav
	move	7
	frame	data/chars/3betty/a01.png
	frame	data/chars/3betty/a01.png
	frame	data/chars/3betty/a02.png
	frame	data/chars/3betty/a02.png
	frame	data/chars/3betty/a03.png
	frame	data/chars/3betty/a03.png
	attack3	119 82 49 78 8 0 0 0 20 0
	frame	data/chars/3betty/a04.png
	frame	data/chars/3betty/a04.png
	attack3	126 90 60 69 8 0 0 0 20 0
	frame	data/chars/3betty/a05.png
	frame	data/chars/3betty/a05.png
	frame	data/chars/3betty/a06.png
	frame	data/chars/3betty/a06.png
	frame	data/chars/3betty/a06.png
	attack3	0 0 0 0
	frame	data/chars/3betty/a07.png
	bbox	104 94 47 90
	frame	data/chars/3betty/a07.png
	frame	data/chars/3betty/a08.png
	frame	data/chars/3betty/a08.png
	frame	data/chars/3betty/a09.png
	frame	data/chars/3betty/a09.png
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen1
	frame	data/chars/3betty/a10.png
	frame	data/chars/3betty/a10.png
	attack9	130 83 55 65 12 1 0 0 40 0
	dropv	6 1
	frame	data/chars/3betty/a11.png
	frame	data/chars/3betty/a11.png
	attack9	118 61 45 79 12 1 0 0 40 0
	frame	data/chars/3betty/a12.png
	frame	data/chars/3betty/a12.png
	frame	data/chars/3betty/a12.png
	frame	data/chars/3betty/a13.png
	frame	data/chars/3betty/a13.png
	attack9	0 0 0 0
	move	0
	frame	data/chars/3betty/a14.png
	frame	data/chars/3betty/a14.png
	frame	data/chars/3betty/a15.png
	frame	data/chars/3betty/a15.png
		
anim	attack2
	range	60 90
	loop	0
	delay	3
	offset	130 183
	bbox	104 94 47 90
	fastattack	1
	sound	data/sounds/bgirl12.wav
	hitfx	data/sounds/beat2.wav
	hitflash	flash4
	frame	data/chars/3betty/b01.png
	frame	data/chars/3betty/b01.png
	frame	data/chars/3betty/b02.png
	frame	data/chars/3betty/b02.png
	frame	data/chars/3betty/b04.png
	frame	data/chars/3betty/b04.png
	offset	98 183
	bbox	84 94 47 90
	attack5	90 96 110 70 10 0 0 0 20 0
	frame	data/chars/3betty/b05.png
	frame	data/chars/3betty/b05.png
	frame	data/chars/3betty/b06.png
	frame	data/chars/3betty/b06.png
	attack5	0 0 0 0
	offset	130 183
	bbox	104 94 47 90
	frame	data/chars/3betty/b07.png
	frame	data/chars/3betty/b07.png
	@cmd	target 1 1 0 0 0
	frame	data/chars/3betty/b08.png
	frame	data/chars/3betty/b08.png
	delay	4
	frame	data/chars/3betty/bc01.png
	frame	data/chars/3betty/bc01.png
	frame	data/chars/3betty/bc02.png
	frame	data/chars/3betty/bc02.png
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen1
	frame	data/chars/3betty/bc03.png
	frame	data/chars/3betty/bc03.png
	offset	85 183
	attack	90 100 109 63 15 1 0 0 40 0
	dropv	2 4
	frame	data/chars/3betty/bc04.png
	frame	data/chars/3betty/bc04.png
	frame	data/chars/3betty/bc05.png
	frame	data/chars/3betty/bc05.png
	attack	0 0 0 0
	offset	110 183
	frame	data/chars/3betty/bc06.png
	frame	data/chars/3betty/bc06.png
	offset	130 183
	frame	data/chars/3betty/bc07.png
	frame	data/chars/3betty/bc07.png
	frame	data/chars/3betty/bc08.png
	frame	data/chars/3betty/bc08.png
		
anim	attack5
	range	80 110
	rangez	25 45
	loop	0
	delay	3
	offset	130 183
	bbox	104 94 47 90
	followanim	4
	followcond	1
	hitfx	data/sounds/grab.wav
	move	4
	movez	2
	frame	data/chars/3betty/ab01.png
	frame	data/chars/3betty/ab01.png
	frame	data/chars/3betty/ab02.png
	frame	data/chars/3betty/ab02.png
	frame	data/chars/3betty/ab03.png
	frame	data/chars/3betty/ab03.png
	attack	120 95 66 61 0 0 0 1 0 12
	frame	data/chars/3betty/gb01.png
	frame	data/chars/3betty/gb01.png
	frame	data/chars/3betty/gb01.png
	frame	data/chars/3betty/gb01.png
	frame	data/chars/3betty/gb01.png
	frame	data/chars/3betty/gb01.png
	frame	data/chars/3betty/gb01.png
	frame	data/chars/3betty/gb01.png
	frame	data/chars/3betty/gb01.png
	frame	data/chars/3betty/gb01.png
	frame	data/chars/3betty/gb01.png
	attack	0 0 0 0
	delay	8
	move	0
	movez	0
	offset	139 183
	frame	data/chars/3betty/c04.png
	offset	130 183
	frame	data/chars/3betty/blk01.png
		
anim	attack6
	range	80 110
	rangez	-45 -25
	loop	0
	delay	3
	offset	130 183
	bbox	104 94 47 90
	followanim	4
	followcond	1
	hitfx	data/sounds/grab.wav
	move	4
	movez	-2
	frame	data/chars/3betty/ab01.png
	frame	data/chars/3betty/ab01.png
	frame	data/chars/3betty/ab02.png
	frame	data/chars/3betty/ab02.png
	frame	data/chars/3betty/ab03.png
	frame	data/chars/3betty/ab03.png
	attack	120 95 66 61 0 0 0 1 0 12
