name				rock2
health				1
nolife				1
shadow				3
type				none
hostile				enemy player npc
candamage			enemy player npc
speed				0
nomove				1
noquake				1
falldie				1
subtype				flydie
dust				dust01
flash				flash1
antigravity   			60
setlayer			400
nolife				1


alternatepal	data/chars/misc/traps/rock/map1.gif



anim spawn
	loop	0
	jumpframe		0 0.5 0
	landframe		1
	quakeframe		1 20 7


	shadowcoords 208 198
	offset     218 198

	bbox    	0 0 0 0
	delay	9999
	attack1  194 162 48 41 40 1 0 0 0 25
	frame	data/chars/misc/traps/rock/00.gif

	shadowcoords 9999 9999
	delay	2
	sound data/sounds/fall02.wav
	attack1    0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/traps/rock/01.gif
	frame	data/chars/misc/traps/rock/02.gif
	frame	data/chars/misc/traps/rock/03.gif
	frame	data/chars/misc/traps/rock/04.gif
	frame	data/chars/misc/traps/rock/05.gif
	frame	data/chars/misc/traps/rock/06.gif
	frame	data/chars/misc/traps/rock/07.gif
	frame	data/chars/misc/traps/rock/08.gif
	frame	data/chars/misc/traps/rock/09.gif
	frame	data/chars/misc/traps/rock/10.gif
	frame	data/chars/misc/traps/rock/11.gif
	frame	data/chars/misc/traps/rock/12.gif
	frame	data/chars/misc/traps/rock/13.gif
	frame	data/chars/misc/traps/rock/14.gif
	frame	data/chars/misc/traps/rock/15.gif
	frame	data/chars/misc/traps/rock/16.gif
	frame	data/chars/misc/traps/rock/17.gif
	frame	data/chars/misc/traps/rock/18.gif
	frame	data/chars/misc/traps/rock/19.gif
	frame	data/chars/misc/traps/rock/20.gif
	frame	data/chars/misc/traps/rock/21.gif
	frame	data/chars/misc/traps/rock/22.gif
	frame	data/chars/misc/traps/rock/23.gif
	frame	data/chars/misc/traps/rock/24.gif
	frame	data/chars/misc/traps/rock/25.gif
	frame	data/chars/misc/traps/rock/26.gif
	frame	data/chars/misc/traps/rock/27.gif
	frame	data/chars/misc/traps/rock/28.gif
	frame	data/chars/misc/traps/rock/empty.gif
	
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif

anim idle
	loop		0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/traps/rock/01.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif


anim death
	loop		0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif
		frame		data/chars/misc/traps/rock/empty.gif

		
		
		
		
		
