name		daimonplr
type		player
health		160
mp		100
mprate          1
chargerate      2
speed		11
running		24 3.1 3 1 1
jumpheight	4
nodieblink	2
secret		0 1
weaploss	3
modelflag	1
noquake         0
makeinv		3
riseinv		1
gfxshadow	1
fmap		1
holdblock 	1
falldie		2
dust            dust
candamage	enemy obstacle
projectilehit 	player npc enemy
weapons		Robcar daimonplr Robcar2 robfall Robwtr Robvent mapcurs mrzero ryoturt
atchain         1 1 2 3 0 4 5 0 6 1
combostyle      1
icon		data/chars/xdaimon/iconpl.png
parrow          data/chars/misc/flash/flash/player1.gif  -36 -145
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -145
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -145


animationscript		data/scripts/grabscript.c
ondrawscript 		data/scripts/water_puddle_script.c
script			data/scripts/player_script.c


palette		data/chars/xdaimon/palAll.png





com	a2	  freespecial15
com	a3	  freespecial29
com     f d f s freespecial27




















anim	attack1
	range	0 135
	rangez	-15 15
	loop	0
	delay	3
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	@cmd	attackgrd -60 60 0 1 10 "ANI_FOLLOW10"
	frame	data/chars/xdaimon/a01.png
	frame	data/chars/xdaimon/a04.png
	delay	4
	attack	143 110 88 40 6 0 0 0 1 0
	frame	data/chars/xdaimon/a02.png
	delay	5
	frame	data/chars/xdaimon/a03.png
	attack	0 0 0 0
	frame	data/chars/xdaimon/a04.png
		
anim	attack2
	range	0 65
	rangez	-15 15
	loop	0
	delay	5
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat2.wav
	sound	data/sounds/xdaim01.wav
	frame	data/chars/xdaimon/a06.png
	delay	10
	frame	data/chars/xdaimon/a07.png
	delay	5
	frame	data/chars/xdaimon/a08.png
	delay	6
	attack2	141 125 80 35 35 0 0 0 15 0
	frame	data/chars/xdaimon/a09.png
	delay	7
	frame	data/chars/xdaimon/a10.png
	attack2	0 0 0 0
	frame	data/chars/xdaimon/a08.png
	frame	data/chars/xdaimon/a06.png
		
anim	attack3
	range	0 65
	rangez	-15 15
	loop	0
	delay	6
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xdaim02.wav
	frame	data/chars/xdaimon/a15.png
	frame	data/chars/xdaimon/a16.png
	frame	data/chars/xdaimon/a17.png
	delay	8
	attack9	141 125 80 55 55 1 0 0 30 15
	dropv	0.5 1
	frame	data/chars/xdaimon/a18.png
	delay	11
	frame	data/chars/xdaimon/a19.png
	attack9	0 0 0 0
	frame	data/chars/xdaimon/a20.png
	frame	data/chars/xdaimon/a21.png
	frame	data/chars/xdaimon/jump00.png
		
anim	attack4
	range	65 90
	rangez	-15 15
	loop	0
	delay	5
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	staydown	200 200
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xdaim01.wav
	frame	data/chars/xdaimon/b01.png
	frame	data/chars/xdaimon/b02.png
	delay	8
	attack2	145 140 95 55 35 0 0 0 15 0
	frame	data/chars/xdaimon/b03.png
	attack2	0 0 0 0
	frame	data/chars/xdaimon/b02.png
	frame	data/chars/xdaimon/b01.png
		
anim	attack5
	range	65 90
	rangez	-15 15
	loop	0
	delay	9
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xdaim02.wav
	frame	data/chars/xdaimon/b05.png
	frame	data/chars/xdaimon/b06.png
	delay	15
	attack	145 105 95 55 35 1 0 0 45 15
	dropv	3 3
	frame	data/chars/xdaimon/b07.png
	attack	0 0 0 0
	delay	12
	frame	data/chars/xdaimon/b08.png
	frame	data/chars/xdaimon/b05.png
		
anim	attack6
	range	90 145
	rangez	-15 15
	loop	0
	delay	15
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/xdaim02.wav
	frame	data/chars/xdaimon/a30.png
	delay	10
	frame	data/chars/xdaimon/a31.png
	attack	145 105 110 50 60 1 0 0 55 15
	dropv	2 4
	delay	14
	frame	data/chars/xdaimon/a32.png
	@cmd	stop
	delay	12
	frame	data/chars/xdaimon/a33.png
	attack	0 0 0 0
	frame	data/chars/xdaimon/a34.png
	frame	data/chars/xdaimon/a35.png
		
anim	attackdown
	quakeframe	1 4 2
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/run00.png
	@cmd	dasher 2 0 0.4
	sound	data/sounds/run2.wav
	frame	data/chars/xdaimon/dgd01.png #1
	@cmd	spawn01 "dust" 75 1 1
	frame	data/chars/xdaimon/dgd02.png
	frame	data/chars/xdaimon/dgd03.png
	frame	data/chars/xdaimon/dgd04.png
	frame	data/chars/xdaimon/dgd05.png
	frame	data/chars/xdaimon/dgd06.png
	frame	data/chars/xdaimon/dgd07.png
	@cmd	stop
	frame	data/chars/xdaimon/dgd08.png
		
anim	attackup
	quakeframe	1 4 2
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/run00.png
	@cmd	dasher 2 0 -0.4
	sound	data/sounds/run2.wav
	frame	data/chars/xdaimon/dgd01.png
	@cmd	spawn01 "dust" 75 1 1
	frame	data/chars/xdaimon/dgd02.png
	frame	data/chars/xdaimon/dgd03.png
	frame	data/chars/xdaimon/dgd04.png
	frame	data/chars/xdaimon/dgd05.png
	frame	data/chars/xdaimon/dgd06.png
	frame	data/chars/xdaimon/dgd07.png
	@cmd	stop
