name		cadbike
type		enemy
health		340
mp		100
speedf		1.7
jumpheight	0
nolife          1
noquake		1
falldie		1
nodieblink	2
makeinv		3
gfxshadow	1
nodrop		1
facing          3
nomove          0 1
antigrab	10
aggression      15
hostile				player npc
candamage			player npc
diesound        data/sounds/robot2.wav
animationscript data/scripts/escript.c

alternatepal       data/chars/2bike10/map1.gif
alternatepal       data/chars/2bike10/map2.gif
alternatepal       data/chars/2bike10/map3.gif
alternatepal       data/chars/2bike10/map4.gif

load	bike6crash
load	explosion1
load	bfire
load	bullet1
load	missile7

anim	attack1
	range	0 220
	rangez	-15 15
	loop	0
	delay	5
	offset	130 145
	bbox	80 40 80 82
	frame	data/chars/2bike10/bike03.gif
	frame	data/chars/2bike10/bike04.gif
	frame	data/chars/2bike10/bike03.gif
	frame	data/chars/2bike10/bike04.gif
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike07.gif
	@cmd	spawnGun4 "bfire" 125 80 1 -1 2
	frame	data/chars/2bike10/bike08.gif
	sound	data/sounds/exel.wav
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike07.gif
	frame	data/chars/2bike10/bike08.gif
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike07.gif
	frame	data/chars/2bike10/bike08.gif
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike07.gif
	frame	data/chars/2bike10/bike08.gif
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike07.gif
	frame	data/chars/2bike10/bike08.gif
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike07.gif
	frame	data/chars/2bike10/bike08.gif
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike07.gif
	frame	data/chars/2bike10/bike08.gif
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike07.gif
	frame	data/chars/2bike10/bike08.gif
	@cmd	killgun 2 0
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike05.gif
	frame	data/chars/2bike10/bike06.gif
	frame	data/chars/2bike10/bike04.gif
	frame	data/chars/2bike10/bike03.gif
	frame	data/chars/2bike10/bike04.gif
	frame	data/chars/2bike10/bike03.gif



		
anim	attack2
